baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,CmasM_3,pEhEx_1,pEhEx_2,pEhEx_3,CmasM_1.1,CmasM_2.1,CmasM_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_089770A,19.62871876,-7.685163208,1.311020021,-5.861972423,4.57E-09,2.10E-05,0,0,0,51,35,47,0,0,0,38.91435724,42.43343761,36.42451774,100,UP_pEhEx_DOWN_CmasM
EHI_006680A,24.10583687,-7.980091239,1.524310233,-5.235214635,1.65E-07,0.000377871,0,0,0,80,60,14,0,0,0,61.042129,72.7430359,10.84985635,99.96,UP_pEhEx_DOWN_CmasM
EHI_179390A,220.7011118,-2.275657611,0.485950552,-4.682899528,2.83E-06,0.00432376,37,77,120,300,329,607,47.91370763,88.3266527,89.76524162,228.9079837,398.8743135,470.4187716,99.57,UP_pEhEx_DOWN_CmasM
EHI_158270A,4954.133244,1.105849987,0.263993503,4.188928793,2.80E-05,0.032133451,5573,5158,9573,4054,2776,3834,7216.840341,5916.738632,7161.02215,3093.309887,3365.577794,2971.31066,96.79,DOWN_pEhEx_UP_CmasM
EHI_050000A,41.0079654,-2.260249025,0.546807236,-4.133538984,3.57E-05,0.032764188,14,11,16,54,73,95,18.12951099,12.61809324,11.96869888,41.20343707,88.50402701,73.62402521,96.72,UP_pEhEx_DOWN_CmasM
EHI_035670A,244.7605159,-2.098254562,0.531871466,-3.945040665,7.98E-05,0.060983434,75,59,151,284,294,797,97.12238033,67.67886376,112.9545957,216.6995579,356.4408759,617.666822,93.9,UP_pEhEx_DOWN_CmasM
EHI_172280A,85.36073145,-3.014050501,0.790151092,-3.81452425,0.000136446,0.08939132,6,32,16,135,227,100,7.769790426,36.70718034,11.96869888,103.0085927,275.2111525,77.49897391,91.06,UP_pEhEx_DOWN_CmasM
EHI_181610A,203.6557927,1.953653553,0.525242387,3.719527597,0.000199596,0.114418258,240,186,597,139,82,59,310.7916171,213.3604857,446.5820771,106.0606991,99.41548239,45.72439461,88.56,DOWN_pEhEx_UP_CmasM
EHI_019860A,45.35583459,-3.1870787,0.87953559,-3.623592651,0.000290539,0.148045793,7,5,16,41,27,234,9.064755497,5.735496929,11.96869888,31.28409111,32.73436615,181.3475989,85.2,UP_pEhEx_DOWN_CmasM
EHI_178340A,2179.472289,-2.38358513,0.669944298,-3.557885538,0.000373852,0.171448595,287,544,1479,1876,4864,4705,371.6549754,624.0220658,1106.356603,1431.437925,5897.035443,3646.326722,82.86,UP_pEhEx_DOWN_CmasM
EHI_055430A,81.88294806,-1.593971879,0.458448636,-3.476882147,0.000507281,0.203041061,30,34,59,100,110,206,38.84895213,39.00137911,44.13457713,76.30266125,133.3622325,159.6478862,79.7,UP_pEhEx_DOWN_CmasM
EHI_188960A,4646.035981,-1.594299386,0.460186453,-3.464463971,0.000531289,0.203041061,1117,2996,2743,7493,6979,8726,1446.475984,3436.70976,2051.883815,5717.358407,8461.227459,6762.560463,79.7,UP_pEhEx_DOWN_CmasM
EHI_010020A,977.6079602,-2.546000801,0.747079291,-3.407939201,0.000654555,0.203842912,131,202,609,610,1264,3885,169.6404243,231.7140759,455.5586012,465.4462336,1532.45329,3010.835136,79.62,UP_pEhEx_DOWN_CmasM
EHI_115270A,230.4424666,1.420028151,0.421559343,3.368513057,0.000755748,0.203842912,279,242,490,144,147,115,361.2952548,277.5980513,366.5414033,109.8758322,178.2204379,89.12381999,79.62,DOWN_pEhEx_UP_CmasM
EHI_115400A,230.4424666,1.420028151,0.421559343,3.368513057,0.000755748,0.203842912,279,242,490,144,147,115,361.2952548,277.5980513,366.5414033,109.8758322,178.2204379,89.12381999,79.62,DOWN_pEhEx_UP_CmasM
EHI_151350A,68.74569433,-1.912136567,0.566568735,-3.37494191,0.000738313,0.203842912,12,35,41,99,75,206,15.53958085,40.1484785,30.66979089,75.53963464,90.92879487,159.6478862,79.62,UP_pEhEx_DOWN_CmasM
EHI_163670A,3406.451525,-1.595363374,0.470853706,-3.388235783,0.000703438,0.203842912,1116,1427,2673,3643,4428,9302,1445.181019,1636.910823,1999.520757,2779.705949,5368.436049,7208.954553,79.62,UP_pEhEx_DOWN_CmasM
EHI_194430A,85.88540203,-2.331302119,0.695336818,-3.352766685,0.000800081,0.203842912,8,27,58,92,117,282,10.35972057,30.97168341,43.38653345,70.19844835,141.84892,218.5471064,79.62,UP_pEhEx_DOWN_CmasM
EHI_000130A,237.3648944,-2.014702631,0.615000007,-3.275939198,0.001053112,0.24801652,35,94,172,236,368,666,45.32377749,107.8273423,128.663513,180.0742805,446.1572868,516.1431662,75.2,UP_pEhEx_DOWN_CmasM
EHI_013340A,96.06048787,-1.378764353,0.427102466,-3.228181674,0.001245798,0.24801652,34,46,84,136,106,238,44.02881242,52.76657174,62.83566914,103.7716193,128.5126967,184.4475579,75.2,UP_pEhEx_DOWN_CmasM
EHI_017660A,249.411804,-2.220070297,0.687661968,-3.228432575,0.001244706,0.24801652,20,105,157,293,452,595,25.89930142,120.4454355,117.4428578,223.5667975,547.9975371,461.1188948,75.2,UP_pEhEx_DOWN_CmasM
EHI_046600A,96.26464546,-1.733219883,0.537155076,-3.226665744,0.001252417,0.24801652,18,54,64,126,139,232,23.30937128,61.94336683,47.87479553,96.14135317,168.5213665,179.7976195,75.2,UP_pEhEx_DOWN_CmasM
EHI_075040A,116.1985686,3.94171071,1.209787417,3.258184582,0.001121274,0.24801652,117,223,331,1,1,52,151.5109133,255.803163,247.6024581,0.763026612,1.212383932,40.29946643,75.2,DOWN_pEhEx_UP_CmasM
EHI_148190A,1842.934145,-1.973748667,0.613645247,-3.216432745,0.00129795,0.24801652,346,686,1348,1695,2191,6277,448.0579146,786.9101786,1008.362881,1293.330108,2656.333194,4864.610592,75.2,UP_pEhEx_DOWN_CmasM
EHI_118670A,124.376426,-2.293739715,0.716331001,-3.202066799,0.001364454,0.250295357,9,48,79,138,182,380,11.65468564,55.06077051,59.09545073,105.2976725,220.6538755,294.4961008,74.97,UP_pEhEx_DOWN_CmasM
EHI_095830A,225.6729382,-1.563978453,0.494605567,-3.162072077,0.001566508,0.276307885,42,125,192,384,304,453,54.38853298,143.3874232,143.6243866,293.0022192,368.5647152,351.0703518,72.37,UP_pEhEx_DOWN_CmasM
EHI_006160A,91.60399997,-1.251679878,0.405525933,-3.086559394,0.002024875,0.276495846,34,49,83,164,82,210,44.02881242,56.2078699,62.08762545,125.1363644,99.41548239,162.7478452,72.35,UP_pEhEx_DOWN_CmasM
EHI_017750A,895.2555153,-1.956585721,0.631812619,-3.096781645,0.001956339,0.276495846,159,313,715,950,880,3200,205.8994463,359.0421077,534.8512313,724.8752819,1066.89786,2479.967165,72.35,UP_pEhEx_DOWN_CmasM
EHI_031240A,253.1668245,-2.149008354,0.694351099,-3.09498805,0.001968208,0.276495846,62,77,148,191,226,1058,80.28783441,88.3266527,110.7104647,145.738083,273.9987685,819.9391439,72.35,UP_pEhEx_DOWN_CmasM
EHI_044550A,89632.45988,0.911457433,0.291025731,3.131879194,0.001736913,0.276495846,108717,95980,134001,80340,53808,77595,140784.7176,110098.599,100238.6012,61301.55805,65235.95459,60135.3288,72.35,DOWN_pEhEx_UP_CmasM
EHI_058090A,3714.375616,-1.973397348,0.640109623,-3.082905297,0.002049904,0.276495846,882,1398,2376,3209,3393,14453,1142.159193,1603.644941,1777.351784,2448.552399,4113.61868,11200.9267,72.35,UP_pEhEx_DOWN_CmasM
