"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","CDC5_3","pEhEx_1","pEhEx_2","pEhEx_3","CDC5_1.1","CDC5_2.1","CDC5_3.1","pEhEx_1.1","pEhEx_2.1","pEhEx_3.1","Certeza","DE"
"1","EHI_188960A",3332.298113,-1.9024989,0.403160484,-4.718961745,2.37e-06,0.010437373,1658,1348,485,7493,6979,8726,1486.419385,1213.077951,1520.890763,4429.40087,6553.390656,4790.609051,98.96,"UP_pEhEx_DOWN_EhMyb10"
"2","EHI_033240A",6.103839559,-5.591318009,1.352535456,-4.133953003,3.57e-05,0.073844574,0,0,0,12,18,23,0,0,0,7.093662143,16.90228282,12.62709239,92.62,"UP_pEhEx_DOWN_EhMyb10"
"3","EHI_126980A",43.78270824,-2.970681203,0.732748458,-4.054162338,5.03e-05,0.073844574,6,14,4,61,127,140,5.379081006,12.59873243,12.54342897,36.05944923,119.2549955,76.86056236,92.62,"UP_pEhEx_DOWN_EhMyb10"
"4","EHI_103400A",32.13805365,3.019613589,0.790513296,3.81981379,0.000133552,0.14700787,26,68,28,7,4,23,23.30935103,61.19384323,87.80400281,4.137969584,3.756062849,12.62709239,85.3,"DOWN_pEhEx_UP_EhMyb10"
"5","EHI_050640A",19.82913593,3.546480807,1.039432762,3.411938642,0.000645026,0.461725266,18,58,13,4,8,0,16.13724302,52.19474864,40.76614416,2.364554048,7.512125698,0,53.83,"DOWN_pEhEx_UP_EhMyb10"
"6","EHI_057550A",555.5126223,2.15310921,0.63766912,3.376530464,0.000734062,0.461725266,508,777,500,341,156,478,455.4288585,699.2296499,1567.928622,201.5782326,146.4864511,262.4239201,53.83,"DOWN_pEhEx_UP_EhMyb10"
"7","EHI_181610A",169.3491047,2.114157263,0.62537326,3.380632653,0.000723192,0.461725266,262,481,50,139,82,59,234.8865373,432.8564499,156.7928622,82.16825316,76.99928841,32.391237,53.83,"DOWN_pEhEx_UP_EhMyb10"
"8","EHI_152800A",398.2380109,-2.500790888,0.750929855,-3.330258975,0.000867652,0.477534215,191,106,29,755,1419,461,171.2340787,95.39040268,90.93986006,446.3095765,1332.463296,253.0908518,52.25,"UP_pEhEx_DOWN_EhMyb10"
"9","EHI_134840A",51.36353383,-1.995664795,0.621799014,-3.209501381,0.001329654,0.650496323,22,20,8,69,91,217,19.72329702,17.99818919,25.08685795,40.78855732,85.45042982,119.1338717,34.95,"UP_pEhEx_DOWN_EhMyb10"
"10","EHI_178340A",1630.095271,-2.444801196,0.771902984,-3.167238951,0.001538938,0.677594443,301,366,294,1876,4864,4705,269.8505638,329.3668621,921.9420295,1108.975848,4567.372424,2583.063899,32.24,"UP_pEhEx_DOWN_EhMyb10"
"11","EHI_004430A",20.91092683,-4.221300944,1.348944865,-3.129335418,0.001752022,0.688442507,0,0,3,79,61,22,0,0,9.40757173,46.69994244,57.27995845,12.07808837,31.16,"UP_pEhEx_DOWN_EhMyb10"
"12","EHI_100350A",22.03118751,-2.72689713,0.877056698,-3.109145777,0.001876291,0.688442507,3,14,0,41,56,73,2.689540503,12.59873243,0,24.23667899,52.58487989,40.07729323,31.16,"UP_pEhEx_DOWN_EhMyb10"
"13","EHI_155680A",252.0346009,-1.971356717,0.645858889,-3.052302524,0.002270931,0.693923471,74,67,59,550,623,529,66.34199907,60.29393377,185.0155774,325.1261816,585.0067887,290.4231249,30.61,"UP_pEhEx_DOWN_EhMyb10"
"14","EHI_186950A",169.882301,-1.148126646,0.377645631,-3.040222241,0.002364036,0.693923471,125,100,37,376,268,414,112.0641876,89.99094593,116.026718,222.2680805,251.6562109,227.287663,30.61,"UP_pEhEx_DOWN_EhMyb10"
"15","EHI_201200A",157.7371253,-1.249518639,0.406585343,-3.073201384,0.002117755,0.693923471,112,89,32,324,285,376,100.4095121,80.09194188,100.3474318,191.5288779,267.619478,206.4255104,30.61,"UP_pEhEx_DOWN_EhMyb10"
"16","EHI_038300A",44.35589217,-1.795841967,0.616505454,-2.912937682,0.00358046,0.750703212,27,10,9,138,75,96,24.20586453,8.999094593,28.22271519,81.57711465,70.42617842,52.70438562,24.93,"UP_pEhEx_DOWN_EhMyb10"
"17","EHI_092720A",14.30385426,-2.402243721,0.819844363,-2.930121652,0.003388293,0.750703212,4,5,2,15,31,61,3.586054004,4.499547296,6.271714487,8.867077679,29.10948708,33.48924503,24.93,"UP_pEhEx_DOWN_EhMyb10"
