"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","CDC5_3","pEhEx_1","pEhEx_2","pEhEx_3","CDC5_1.1","CDC5_2.1","CDC5_3.1","pEhEx_1.1","pEhEx_2.1","pEhEx_3.1","Certeza","DE"
"1","EHI_050640A",25.09624659,3.900487782,1.002662842,3.890128985,0.000100191,0.445048213,30,36,31,4,8,0,30.31523247,37.25914157,73.08561228,2.375617484,7.541875728,0,55.5,"DOWN_pEhEx_UP_U2AF84"
"2","EHI_188960A",3694.375586,-1.385738494,0.384510915,-3.603898981,0.000313479,0.696236716,1556,2388,887,7493,6979,8726,1572.350057,2471.523057,2091.191551,4450.125453,6579.343838,5001.719557,30.38,"UP_pEhEx_DOWN_U2AF84"
"3","EHI_057550A",413.8442587,1.574083171,0.456094517,3.451221428,0.000558056,0.826294204,731,436,284,341,156,478,738.6811644,451.2496034,669.5585125,202.5213905,147.0665767,273.9883049,17.37,"DOWN_pEhEx_UP_U2AF84"
"4","EHI_000130A",268.2423248,-0.235950479,0.961662415,-0.245356869,0.806180122,0.999772996,59,68,259,236,368,666,59.61995718,70.37837851,610.6185026,140.1614316,346.9262835,381.7493955,0.02,"UP_pEhEx_DOWN_U2AF84"
"5","EHI_000140A",167.3691971,-0.488987402,0.827989715,-0.590571831,0.554807343,0.999772996,117,200,39,476,290,54,118.2294066,206.9952309,91.94641544,282.6984806,273.3929951,30.95265369,0.02,"UP_pEhEx_DOWN_U2AF84"
"6","EHI_000250A",581.4825967,1.217710988,0.724336996,1.681138744,0.092735968,0.999772996,422,393,682,438,278,917,426.43427,406.7456288,1607.88347,260.1301145,262.0801815,525.6219154,0.02,"DOWN_pEhEx_UP_U2AF84"
"7","EHI_000260A",136.1606431,1.80245698,0.71785081,2.510907496,0.012042125,0.999772996,103,106,179,147,57,70,104.0822981,109.7074724,422.0104709,87.30394255,53.73586456,40.12381034,0.02,"DOWN_pEhEx_UP_U2AF84"
"8","EHI_000280A",57.37285916,0.174055549,0.608651895,0.28596896,0.774901896,0.999772996,40,34,46,74,71,86,40.42030996,35.18918926,108.4496182,43.94892346,66.93414708,49.29496698,0.02,"DOWN_pEhEx_UP_U2AF84"
"9","EHI_000290A",28.42471457,-0.229308082,0.860919287,-0.26635259,0.789967674,0.999772996,15,19,19,25,12,113,15.15761623,19.66454694,44.79440752,14.84760928,11.31281359,64.77129383,0.02,"UP_pEhEx_DOWN_U2AF84"
"10","EHI_000300A",65.97157485,-0.37607429,1.04308512,-0.360540365,0.718443076,0.999772996,74,91,1,180,98,44,74.77757342,94.18283007,2.357600396,106.9027868,92.38797766,25.22068078,0.02,"UP_pEhEx_DOWN_U2AF84"
"11","EHI_000410A",43.26537074,0.77594554,0.969604597,0.800270071,0.423554339,0.999772996,15,15,57,38,21,91,15.15761623,15.52464232,134.3832226,22.5683661,19.79742378,52.16095344,0.02,"DOWN_pEhEx_UP_U2AF84"
