baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,UmasM_1,UmasM_2,UmasM_3,pEhEx_1,pEhEx_2,pEhEx_3,UmasM_1.1,UmasM_2.1,UmasM_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_000130A,407.3806181,0.322747867,1.014897811,0.318010211,0.750477191,0.999887746,44,632,562,236,368,666,52.79569313,428.3130182,877.3297489,175.0548964,432.4940271,478.296325,0.01,DOWN_pEhEx_UP_UmasM
EHI_000140A,210.7816866,-0.458572932,1.079042066,-0.424981515,0.67085015,0.999887746,98,547,28,476,290,54,117.5904074,370.7076281,43.71037895,353.0768249,340.8240974,38.78078311,0.01,UP_pEhEx_DOWN_UmasM
EHI_000240A,2373.776115,0.785306005,0.974587792,0.805782723,0.420368142,0.999887746,620,1719,4551,1584,1644,2955,743.9393122,1164.984301,7104.497664,1174.944728,1932.120056,2122.170631,0.01,DOWN_pEhEx_UP_UmasM
EHI_000250A,634.2611214,0.928533398,0.874346286,1.061974429,0.288247294,0.999887746,587,314,1011,438,278,917,704.3425424,212.8010882,1578.256897,324.8900195,326.7210313,658.5551502,0.01,DOWN_pEhEx_UP_UmasM
EHI_000260A,96.71018982,0.642005122,0.614624525,1.044548494,0.296231695,0.999887746,99,142,89,147,57,70,118.7903095,96.234887,138.9365617,109.0384312,66.98956397,50.27138551,0.01,DOWN_pEhEx_UP_UmasM
EHI_000280A,58.61215265,-0.390024526,0.599117099,-0.650998823,0.515047247,0.999887746,48,88,22,74,71,86,57.59530159,59.63852152,34.34386918,54.89009462,83.44314109,61.76198791,0.01,UP_pEhEx_DOWN_UmasM
EHI_000290A,38.349945,0.015446122,0.962519394,0.016047596,0.987196421,0.999887746,22,29,45,25,12,113,26.39784656,19.65360368,70.24882331,18.54395089,14.1030661,81.15237947,0.01,DOWN_pEhEx_UP_UmasM
EHI_000300A,81.91761907,-0.400828751,0.944455001,-0.42440217,0.671272539,0.999887746,67,170,10,180,98,44,80.39344181,115.2107802,15.61084963,133.5164464,115.1750398,31.59915661,0.01,UP_pEhEx_DOWN_UmasM
EHI_000410A,50.3254078,0.62403404,0.973495617,0.641023986,0.521507099,0.999887746,17,36,89,38,21,91,20.39833598,24.39757699,138.9365617,28.18680535,24.68036567,65.35280116,0.01,DOWN_pEhEx_UP_UmasM
EHI_000430A,22.0004853,0.685589083,0.75503837,0.908018864,0.363868255,0.999887746,26,53,9,35,12,15,31.19745503,35.91865501,14.04976466,25.96153124,14.1030661,10.77243975,0.01,DOWN_pEhEx_UP_UmasM
EHI_000440A,322.4772486,-0.046178793,0.704119272,-0.065583765,0.947709215,0.999887746,282,711,84,545,235,422,338.3723969,481.8521455,131.1311369,404.2581293,276.1850445,303.0646384,0.01,UP_pEhEx_DOWN_UmasM
