pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_013900A	17769.2300783607	42655.0116692225	-2.04257310239514	1	-1.26333408590843	30453	32207	48109	30971	17307	7527	48884.7275240608	42721.8286359254	40487.7518649096	25254.5037504112	21926.6665839053	5422.60289388744	100	DOWN_pEhEx_UP_CDC5
EHI_044830A	26037.9473761553	68800.7121621209	-3.59594454245249	1	-1.40180777603602	42177	50178	95027	36062	26602	18706	67704.6974939189	66559.9378176628	79973.177502479	29405.8284926974	33702.732100598	13476.1803817003	100	DOWN_pEhEx_UP_CDC5
EHI_069110A	33531.3469356378	41127.4636044395	-2.09047087048864	1	-0.294591664746113	26835	31391	51116	41631	25831	42321	43076.9271700053	41639.4238119146	43018.3941534166	33946.9260157363	32725.9331212144	30488.9035568235	100	DOWN_pEhEx_UP_CDC5
EHI_188960A	7306.20115594496	1424.79393401268	3.10524247255822	1	2.35836819548057	798	1152	1940	7493	6979	8726	1280.990791193	1528.10092801522	1632.67244419806	6109.97373678058	8841.86780430318	6286.38672141116	100	UP_pEhEx_DOWN_CDC5
EHI_117850A	6620.14848221321	1341.66373765287	1.99206933086563	1	2.30284044243114	716	1244	1639	7024	7714	5476	1149.36015851402	1650.13676601643	1379.35574022713	5727.53977407538	9773.05749282056	3945.02105047531	100	UP_pEhEx_DOWN_CDC5
EHI_182590A	25969.5231157251	61289.6412889261	-2.48354984136921	1	-1.23882373940618	36237	38980	96855	27129	25888	28802	58169.502882783	51706.0539705149	81511.5925684553	22121.6438682931	32798.1478317525	20749.5427859368	100	DOWN_pEhEx_UP_CDC5
EHI_040830A	16930.1788233786	22156.6106698441	-2.01545563179843	0.999999999999997	-0.388139995387451	13439	16487	30364	20289	14036	20559	21572.9764947904	21869.6180557178	25553.848502902	16544.1421520808	17782.5557388164	14811.119024237	100	DOWN_pEhEx_UP_CDC5
EHI_048990A	56010.9133457443	130121.79431491	-2.34088558734009	0.999999999999996	-1.21608276268293	77714	77874	212030	61717	45200	75547	124750.524244076	103298.030962029	178440.999146039	50325.5370496313	57264.9985319535	54425.5853360588	100	DOWN_pEhEx_UP_CDC5
EHI_153070A	109123.194791258	239417.787903492	-2.44655840508788	0.999999999999994	-1.13357255569125	149883	143678	375064	142101	90199	121233	240599.928266141	190585.490568898	315647.761655001	115872.598154312	114275.345189904	87338.702887559	100	DOWN_pEhEx_UP_CDC5
EHI_007510A	17299.4566332503	61957.7207045545	-2.8669854311908	0.999999999999994	-1.840557347071	41255	45584	78079	37214	15620	1967	66224.6555020894	60466.1047766021	65710.0163765673	30345.1972027963	19789.3645369273	1417.06654607102	100	DOWN_pEhEx_UP_CDC5
EHI_007620A	4184.63262858707	14683.7730303766	-2.3913331578216	0.99999999999999	-1.81104984135231	10224	10657	17811	8869	3753	653	16412.0925428036	14136.2600606408	14989.4478884596	7231.99747384318	4754.76857279694	470.434394806497	100	DOWN_pEhEx_UP_CDC5
EHI_156690A	31678.319648821	73447.6160124078	-3.42053097128672	0.999999999999989	-1.21321985321707	50016	52427	92886	46465	27579	27613	80288.2649277058	69543.1834661925	78171.3467277223	37888.6867315507	34940.5175777156	19892.9631604775	100	DOWN_pEhEx_UP_CDC5
EHI_143430A	117444.142062731	294409.243733713	-3.11111457046442	0.999999999999984	-1.32584821353444	165102	223763	423919	160534	123647	80809	265030.252641037	296816.361072456	356763.334985566	130903.312940122	156651.44410355	58216.4364623556	100	DOWN_pEhEx_UP_CDC5
EHI_044550A	65282.6274255361	162344.419942016	-3.10919352963595	0.999999999999984	-1.31428676991571	98905	103273	250407	80340	53808	77595	158767.411281885	136989.207585864	210738.458110466	65511.1824386697	68170.6867479503	55901.0059188516	100	DOWN_pEhEx_UP_CDC5
EHI_025850A	7607.90078917148	21292.3196976648	-1.94576621853179	0.999999999999326	-1.48476279519381	12587	14608	31898	14656	7892	1022	20205.3021162235	19377.168712193	26844.8379510463	11950.8574784807	9998.57009765879	736.269450983521	100	DOWN_pEhEx_UP_CDC5
EHI_191770A	5270.46249619857	14571.7826559244	-1.92867192377154	0.999999999946157	-1.46717590935955	9133	8897	22555	9274	5179	2070	14660.7630275259	11801.6614206175	18981.9211231378	7562.24428598734	6561.40326099529	1491.26982733453	100	DOWN_pEhEx_UP_CDC5
EHI_182990A	8974.0247057831	5245.2588788736	1.92420433957434	0.99999990680539	0.774741177274409	3341	4267	6256	11560	6271	11905	5363.14565585943	5660.07522555636	5264.94784067169	9426.30407008989	7944.88508393541	8576.60255768965	100	UP_pEhEx_DOWN_CDC5
EHI_188730A	8974.0247057831	5245.2588788736	1.92420433957434	0.99999990680539	0.774741177274409	3341	4267	6256	11560	6271	11905	5363.14565585943	5660.07522555636	5264.94784067169	9426.30407008989	7944.88508393541	8576.60255768965	100	UP_pEhEx_DOWN_CDC5
EHI_092120A	15101.3811997104	31481.6264927623	-1.60572305566031	0.999033559820343	-1.05982957226981	17864	17557	55372	17573	13159	17874	28676.2149046013	23288.9479107319	46600.1745258428	14329.4499501462	16671.4627363269	12876.7907699408	99.9	DOWN_pEhEx_UP_CDC5
EHI_016370A	1583.86247138838	3704.26352702878	-1.61126784336779	0.998503962727977	-1.22573966782701	2600	2701	4429	2381	1260	1508	4173.6542068945	3582.81302653568	3727.37435842949	1941.52508571661	1596.32518031552	1086.39367131424	99.85	DOWN_pEhEx_UP_CDC5
EHI_108690A	1583.86247138838	3704.26352702878	-1.61126784336779	0.998503962727977	-1.22573966782701	2600	2701	4429	2381	1260	1508	4173.6542068945	3582.81302653568	3727.37435842949	1941.52508571661	1596.32518031552	1086.39367131424	99.85	DOWN_pEhEx_UP_CDC5
EHI_125780A	5175.28003701357	2063.49145967802	1.52332307026675	0.997500533223053	1.32654946231001	1523	2084	1358	5036	5158	6124	2444.79821426935	2764.37702602753	1142.87071093864	4106.47640977272	6534.79784132337	4411.85334424959	99.75	UP_pEhEx_DOWN_CDC5
EHI_111980A	29430.7610345564	41450.902309817	-1.57597818135211	0.996888005253086	-0.494078658225114	26270	27574	59826	32707	22499	41378	42169.9600058148	36576.2630113642	50348.5884776254	26670.0802093798	28504.5398666023	29809.5473021489	99.69	DOWN_pEhEx_UP_CDC5
EHI_178960A	11225.9759347591	3724.36695496778	1.53594793106113	0.993982177239925	1.59177374061666	2576	5192	459	8458	10570	16805	4135.12816806162	6887.06598806858	386.286933962325	6896.85811633393	13391.3945682024	12106.6615692545	99.4	UP_pEhEx_DOWN_CDC5
EHI_025600A	61732.1941589934	187065.058120642	-1.81428485651673	0.993365067056255	-1.59944512739284	94921	107628	347065	90687	70620	27104	152372.088835628	142766.012743422	292084.258683299	73948.3769207821	89470.225582446	19526.2692753986	99.34	DOWN_pEhEx_UP_CDC5
EHI_107290A	13907.3745062334	6013.68802126585	1.21414321041937	0.987482359524268	1.20952815675002	4405	8148	615	11824	14707	16891	7071.1333774501	10808.1305221076	517.573996485468	9641.57606615422	18632.6622435717	12168.6177070085	98.75	UP_pEhEx_DOWN_CDC5
EHI_188180A	22987.6129892303	8961.84295591634	1.27537782419592	0.986491804602891	1.35898931526139	6911	11813	734	15537	19116	40233	11093.8939322492	15669.666894656	617.722460846071	12669.2462229227	24218.5334499297	28984.666165773	98.65	UP_pEhEx_DOWN_CDC5
EHI_164870A	36803.0501057511	55677.2014764197	-1.55405883465727	0.985590979864075	-0.59726136163425	36256	35708	80518	38367	27051	56066	58200.0026635257	47365.8228624717	67762.6391040926	31285.3813371227	34271.5813116786	40391.0792943661	98.56	DOWN_pEhEx_UP_CDC5
EHI_087570A	7371.48010368698	2831.63413131623	1.27753944274254	0.984637830081984	1.38031945376871	978	1445	6516	5229	6267	12431	1569.93608243954	1916.75854251909	5483.7596115436	4263.85328568339	7939.81738495028	8955.54358627804	98.46	UP_pEhEx_DOWN_CDC5
EHI_015320A	10468.1168949728	21107.0854649465	-1.36209892943783	0.981852965626689	-1.01172544059018	11518	12490	36902	9253	6695	19235	18489.2881365426	16567.691485165	31056.1229565963	7545.12037720949	8482.06117635904	13857.2826709081	98.19	DOWN_pEhEx_UP_CDC5
EHI_056480A	13558.5245652674	6043.30891161978	1.28056809484016	0.981788741283255	1.16578959908301	4350	5259	5597	8833	11155	24261	6982.8445384581	6975.93991356947	4710.34415988482	7202.64220165259	14132.5455447775	17478.1146284846	98.18	UP_pEhEx_DOWN_CDC5
EHI_025830A	2394.3057400741	1004.1693504648	1.28083606608971	0.981525661595547	1.25360479205489	618	832	1218	2317	1872	3656	992.045499946461	1103.62844801099	1025.04898816146	1889.33793515556	2371.6831250402	2633.85627475123	98.15	UP_pEhEx_DOWN_CDC5
