CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	49.206235940423	116.755574851145	133.578891268914	201.84820441508	485.168825930374	534.876916175642
EHI_000140A	71.7005152274735	344.056321635821	267.157782537828	407.117564837196	382.334129129914	43.3683986088358
EHI_000240A	760.587818393395	1388.64609237851	910.976973595559	1354.77777878596	2167.438994102	2373.21514609463
EHI_000250A	767.617280670599	465.780218821057	403.843159650205	374.616582770361	366.513406545228	736.459657857453
EHI_000260A	102.630149247168	117.997655434668	36.5012086606916	125.727483258546	75.148432277259	56.2182944929354
EHI_000280A	63.2651604948296	54.6515456750041	83.8751177735041	63.2913861301523	93.6059419593928	69.0681903770349
EHI_000290A	29.5237415642538	16.1470475857967	24.8518867477049	21.3822250439704	15.8207225846861	90.7523896814528
EHI_000300A	66.0769454057109	155.260072940352	114.939976208135	153.952020316587	129.202567774936	35.3372136812737
EHI_000410A	16.8707094652879	23.5995310869336	24.0752652868391	32.500982066835	27.6862645232007	73.083782840816
EHI_000430A	29.5237415642538	29.8099340045477	23.2986438259734	29.9351150615585	15.8207225846861	12.0467773913433
EHI_000440A	397.867564889706	321.69887113241	445.004097076091	466.132505958554	309.822483950103	338.916003943125
EHI_000480A	23.9001717424912	31.0520145880705	20.1921579825103	29.0798260597997	25.049477425753	12.8498958840995
EHI_000510A	12052.7160204928	12787.2196073674	12224.7984154882	10749.2721741048	13584.7271260505	8630.31132315833
EHI_000520A	18.2766019207285	12.4208058352282	29.5116155128996	19.6716470404527	22.4126903283053	14.4561328696119
EHI_000540A	28.1178491088131	23.5995310869336	41.1609374258863	37.6327160773878	14.5023290359623	85.1305602321593
EHI_000550A	285.396168454453	353.992966304004	261.721432311768	331.85213268242	296.638548462864	137.333262261314
EHI_000560A	44.988558574101	91.9139631806887	84.6517392343699	53.8832071108053	54.0541354976775	9.63742191307463
EHI_000570A	89.977117148202	44.7149010068215	74.5556602431148	57.3043631178406	54.0541354976775	151.789395130925
EHI_000580A	213.69565322698	167.680878775581	159.207399477485	159.939043328898	131.839354872384	198.370267710786
EHI_000590A	16945.2217654262	14129.9087181556	13264.6945515875	11964.6378456041	12970.3557323452	7260.19117451622
EHI_000610A	1753.1478919345	1504.15958664613	1610.71290983563	1669.52413143321	3004.61889754163	4277.40909241962
EHI_000620A	5.62356982176263	7.45248350113692	13.2025648347182	21.3822250439704	36.9150193642676	64.2494794204976
EHI_000650A	95.6006869699647	90.6718825971658	41.9375588867521	88.0947671811579	69.8748580823636	54.6120575074229
EHI_000660A	21.0883868316099	22.3574505034108	10.8727004521209	28.2245370580409	11.8655419385146	20.8810808116617
EHI_000670A	22.4942792870505	6.2104029176141	17.0856721390471	9.40817901934696	13.1839354872384	110.027233507602
EHI_000690A	0	121.723897185236	15.5324292173156	157.373176323622	392.881277519705	0
EHI_000700A	84.3535473264394	78.2510767619376	56.6933666432019	67.5678311389463	68.5564645336398	31.3216212174926
EHI_000710A	42.1767736632197	31.0520145880705	20.1921579825103	39.3432940809055	34.2782322668199	11.2436588985871
EHI_000720A	156.054062553913	166.438798192058	139.015241494974	186.453002383422	141.068109713451	172.670475942587
EHI_000730A	575.010014275229	560.178343168792	824.771991439457	783.444725611074	1100.85861318441	2214.1976845289
EHI_000740A	172.924772019201	106.818930182962	122.706190816793	106.055836218093	104.153090349183	36.1403321740299
EHI_000770A	9.8412471880846	11.1787252517054	16.3090506781814	6.84231201407052	5.27357419489537	51.399583536398
EHI_000780A	26.7119566533725	45.9569815903443	37.2778301215574	23.9480920492468	38.2334129129914	1.60623698551244
EHI_000790A	92.7889020590833	50.9253039244356	108.727004521209	60.7255191248758	52.7357419489537	245.754258783403
EHI_000800A	452.697370651892	273.25772837502	271.817511303023	294.219416605032	278.181038780731	448.14011895797
EHI_000900A	15.4648170098472	12.4208058352282	41.1609374258863	23.092803047488	46.1437742053345	89.9492711886966
EHI_001040A	12.6530320989659	9.93664466818256	20.968779443376	5.13173401055289	2.63678709744768	46.5808725798607
EHI_001050A	577.82179918611	613.587808260273	605.764739475308	661.993687361322	651.286413069578	969.364020756757
EHI_001060A	7.02946227720328	0	5.43635022606045	18.8163580386939	21.0942967795815	17.6686068406368
EHI_001070A	478.003434849823	844.614796795517	698.959314779201	762.917789568862	858.274200219221	262.619747131284
EHI_001100A	30.9296340196945	16.1470475857967	42.7141803476178	21.3822250439704	25.049477425753	239.329310841353
EHI_001120A	56.2356982176263	86.9456408465974	194.931986677311	89.8053451846755	118.655419385146	57.0214129856916
