pEhEx_mean	CmasM_mean	theta	prob	log2FC	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_006680A	51.9104070562744	0.0567869977169972	3.09486124530402	1	9.83624744570226	0	0	0	80	60	14	0.702946227720328	0.62104029176141	0.388310730432889	68.4231201407052	79.1036129234305	11.2436588985871	100	UP_pEhEx_DOWN_CmasM
EHI_044830A	26685.9194094686	54956.2935556991	-2.48947007037668	1	-1.04220598971969	42643	40630	69947	36062	26602	18706	59951.4719773559	50465.7341085322	54322.3413231786	30843.4319814264	35071.9051831516	15023.1345254978	100	DOWN_pEhEx_UP_CmasM
EHI_188960A	7520.62614600554	2469.68412282354	2.26640789601417	1	1.60652625136137	1117	2996	2743	7493	6979	8726	1570.38187272721	3721.27342823437	2130.27266715483	6408.6804901788	9201.06857654369	7008.01196779077	100	UP_pEhEx_DOWN_CmasM
EHI_158270A	3393.89242343343	7236.55632989048	-2.4369167862456	1	-1.09236248696771	5573	5158	9573	4054	2776	3834	7835.03865417078	6406.6516498107	7434.5972448681	3467.34161313023	3659.86049125738	3079.15630122735	100	DOWN_pEhEx_UP_CmasM
EHI_007510A	17632.7669342702	49765.6078435923	-2.18107769684093	1	-1.49689018472789	37582	39449	61094	37214	15620	1967	52836.2502603708	48998.8369393917	47446.9115301339	31828.7249114525	20593.3072310664	1579.73407525148	100	DOWN_pEhEx_UP_CmasM
EHI_089770A	42.3832123884773	0.0567869977169972	3.9061505329725	0.999999999999982	9.54371658433369	0	0	0	51	35	47	0.702946227720328	0.62104029176141	0.388310730432889	43.6197390896995	46.1437742053345	37.7465691595423	100	UP_pEhEx_DOWN_CmasM
EHI_007620A	4266.92007632323	11706.1577848728	-1.8569524514629	0.999963965242094	-1.45600063691401	9342	9300	13481	8869	3753	653	13133.8473187266	11551.3494267622	10469.6339139316	7585.55815659893	4947.93098836058	524.436375769811	100	DOWN_pEhEx_UP_CmasM
EHI_163670A	5516.32892109771	1812.64039382895	1.55166217172182	0.999830996059067	1.60561574268945	1116	1427	2673	3643	4428	9302	1568.97598027177	1772.44899268706	2075.90916489423	3115.81783340736	5837.84663374917	7470.60821961835	99.98	UP_pEhEx_DOWN_CmasM
EHI_148190A	3168.85283542359	800.646085126662	1.33336064952656	0.999729057068961	1.98472409648631	346	686	1348	1695	2191	6277	486.438789582467	852.067280296654	1046.88572924707	1449.71485798119	2888.60026525394	5041.17477903079	99.97	UP_pEhEx_DOWN_CmasM
EHI_178340A	3918.41427017021	750.998895951651	1.55838753710615	0.999630401168039	2.3833872411253	287	544	1479	1876	4864	4705	403.491134711468	675.691837436414	1148.62314062049	1604.52216729954	6412.66622099277	3778.67250841801	99.96	UP_pEhEx_DOWN_CmasM
EHI_103510A	3837.95924770145	1382.51391129242	1.34552694819749	0.999521296136628	1.47304539537319	389	1560	2117	2698	3823	5180	546.892165166415	1937.6457102956	1644.10763265285	2307.56972674528	5040.21853677125	4160.15379247722	99.95	UP_pEhEx_DOWN_CmasM
EHI_090020A	17640.091569903	7166.11550828449	1.3111961634798	0.998456955403996	1.29959484677947	1166	9083	10922	16174	20499	15588	1639.27060304381	11281.8179401378	8482.25959557604	13833.4443144471	27025.74935529	12519.0110650839	99.85	UP_pEhEx_DOWN_CmasM
EHI_158570A	8760.9865482555	2231.71716210761	1.30759102264675	0.997939187564684	1.97293913849967	215	2298	4457	4325	12142	8463	302.266877919741	2854.30118093544	3461.40185107878	3699.12493260687	16007.9344686049	6796.79180419588	99.79	UP_pEhEx_DOWN_CmasM
EHI_105140A	11774.0884964333	5384.65465803414	1.57874870971027	0.996818354041657	1.12868965002306	1721	6103	7852	11325	11496	13200	2419.54091581337	7580.41780123977	6098.0317107181	9686.14794491857	15156.2522361293	10601.1641043821	99.68	UP_pEhEx_DOWN_CmasM
EHI_167270A	11774.0884964333	5384.65465803414	1.57874870971027	0.996818354041657	1.12868965002306	1721	6103	7852	11325	11496	13200	2419.54091581337	7580.41780123977	6098.0317107181	9686.14794491857	15156.2522361293	10601.1641043821	99.68	UP_pEhEx_DOWN_CmasM
EHI_092110A	3100.38052353732	291.790818773772	1.14282772986933	0.995546311236835	3.40943890022297	203	132	538	260	295	10349	285.396168454453	163.954637025012	417.822345945789	222.375140457292	388.926096873533	8311.47328153411	99.55	UP_pEhEx_DOWN_CmasM
EHI_040310A	1891.20687583806	702.7847075097	1.14133218102727	0.995228017454797	1.42815248185481	403	867	613	1757	1241	3103	566.574659542585	1076.88386591428	476.068955510723	1502.74277609024	1636.12639396629	2492.07668302255	99.52	UP_pEhEx_DOWN_CmasM
EHI_176820A	3427.00808018762	730.740739554506	1.14069083235959	0.995088441529858	2.22951804699901	389	464	1350	1125	1655	8582	546.892165166415	576.325390754588	1048.4389721688	962.200126978666	2181.94132313796	6892.36290483388	99.51	UP_pEhEx_DOWN_CmasM
EHI_039020A	1213.58281433731	193.119438250544	1.17804693352134	0.994918399679402	2.6517072709135	26	138	465	248	1359	2014	36.5532038414571	171.407120526149	361.128979302587	212.111672436186	1791.6968327157	1617.48064441103	99.49	UP_pEhEx_DOWN_CmasM
EHI_025600A	63105.4212891107	149086.78977477	-1.62004705583973	0.992676196051378	-1.24031657417089	92546	94263	253476	90687	70620	27104	130109.723181211	117082.242044612	196854.901414414	77563.5937025016	93104.9524108777	21767.7236276646	99.27	DOWN_pEhEx_UP_CmasM
EHI_119540A	8908.34940977279	2132.50266131834	1.18811317444495	0.991352534883344	2.0626106036741	719	1458	4495	3831	4262	21464	1010.83667546183	1810.95349077627	3490.91346659168	3276.61216573802	5618.99330466101	17238.1353285195	99.14	UP_pEhEx_DOWN_CmasM
EHI_098470A	3442.5140517058	152.870645125783	1.18953523386622	0.9907374160971	4.493079237244	0	376	0	486	7755	0	0.702946227720328	467.02229940458	0.388310730432889	415.670454854784	10224.1419703534	0.40155924637811	99.07	UP_pEhEx_DOWN_CmasM
EHI_058090A	6397.81823513391	1613.26110492979	1.28362414817443	0.990645044691381	1.98760004907739	882	1398	2376	3209	3393	14453	1239.99714569866	1736.4286557649	1845.25259101709	2744.62240664404	4473.30931081999	11607.4715758056	99.06	UP_pEhEx_DOWN_CmasM
EHI_010020A	1799.07113228501	306.195405276451	1.28207101833798	0.989927894124005	2.55472769024164	131	202	609	610	1264	3885	184.171911662726	250.90027787161	472.962469667259	521.726291072877	1666.44944558694	3120.11534435791	98.99	UP_pEhEx_DOWN_CmasM
EHI_013220A	2038.07846933295	852.723588388131	1.12028737983676	0.989870199093063	1.25705952797212	333	852	1313	1690	1738	2938	468.162187661739	1058.25265716144	1019.70397811677	1445.4384129724	2291.36798768204	2359.56213171777	98.99	UP_pEhEx_DOWN_CmasM
EHI_179390A	394.483439964765	80.6034415504891	1.09124351423355	0.989154038592257	2.29105139417546	37	77	120	300	329	607	52.0180208513043	95.6402049312571	93.1945753038935	256.586700527644	433.751477530144	487.492925103025	98.92	UP_pEhEx_DOWN_CmasM
EHI_010030A	888.835663864866	258.75721943022	1.05041545122805	0.989005403417866	1.78031759000179	71	273	428	704	770	1296	99.8183643362866	339.08799930173	332.393985250553	602.123457238205	1015.16303251736	1040.84156661206	98.9	UP_pEhEx_DOWN_CmasM
EHI_017750A	1538.4951322878	392.710859129633	1.10890057134735	0.98806306359133	1.96998048240874	159	313	715	950	880	3200	223.536900415064	388.771222642643	555.284344519032	812.524551670874	1160.18632287698	2569.9791768199	98.81	UP_pEhEx_DOWN_CmasM
EHI_025850A	7755.68838637457	17129.024408293	-1.48141806535099	0.985159671701949	-1.14311624029875	11171	14940	21990	14656	7892	1022	15705.2246197276	18556.6839178309	17077.9059244385	12535.1156097772	10404.7618865286	820.787099596856	98.52	DOWN_pEhEx_UP_CmasM
EHI_117850A	6791.37884973146	3041.80659233307	1.04397332413739	0.985135554449146	1.15877608887796	498	4560	3566	7024	7714	5476	700.134442809447	5663.88746086406	2769.43212944737	6007.54994835391	10170.0878348557	4397.87686633306	98.51	UP_pEhEx_DOWN_CmasM
EHI_134810A	1135.03552674318	431.389828497122	1.04387489067389	0.985064975649379	1.39567338924322	149	483	619	1181	923	1465	209.477975860658	599.924921841522	480.728684275917	1010.09631107716	1216.87724547211	1176.56859188786	98.51	UP_pEhEx_DOWN_CmasM
EHI_144610A	2373.14709986655	805.000958076604	1.26922222400061	0.983309336091821	1.55973912359162	363	870	1057	1654	1930	3877	510.338961324958	1080.61010766485	820.888884135128	1414.64800890908	2544.49954903701	3113.69039641586	98.33	UP_pEhEx_DOWN_CmasM
EHI_169350A	6160.61056128172	918.209108534887	1.26863816887112	0.982996855519429	2.74617869095749	175	275	2699	1248	3834	14895	246.031179702115	341.572160468775	2096.10132287674	1067.400674195	5054.72086580721	11962.4499496039	98.3	UP_pEhEx_DOWN_CmasM
EHI_135060A	2467.92580623836	842.150645246222	1.22131975597602	0.975312810579995	1.5511487900296	188	709	1738	1817	2184	3666	264.307781622843	880.635133717679	1349.76809898472	1554.06011619577	2879.37151041287	2944.2323944443	97.53	UP_pEhEx_DOWN_CmasM
EHI_114920A	2155.9021811918	571.522177156715	1.24578310689672	0.973396631037159	1.91541033430561	40	713	979	1963	2567	1825	56.2356982176263	885.60345605177	760.312410187598	1678.93231045255	3384.3162395741	1465.6912492801	97.34	UP_pEhEx_DOWN_CmasM
EHI_147570A	3338.58581517634	1638.59015557451	1.24304127564345	0.972875288808939	1.02678207136421	808	1384	2618	3071	3069	4173	1135.96110399605	1719.03952759558	2033.19498454661	2626.59252440132	4046.14980103347	3351.4134702717	97.29	UP_pEhEx_DOWN_CmasM
EHI_167310A	10158.1531545912	4211.48981975926	1.02814593601397	0.971155927337979	1.27023554690175	927	3105	9380	5302	7576	19413	1303.26230619349	3856.66021183836	7284.70930292101	4534.74228732523	9988.14952513182	15590.9392998765	97.12	UP_pEhEx_DOWN_CmasM
EHI_197990A	3185.80707206133	7208.88554057795	-1.18051406099352	0.969013768554921	-1.17811734096012	3852	6327	10649	4414	4421	231	5415.49773835741	7858.64385194888	8270.24193675968	3775.24565376341	5828.6178789081	185.520371826687	96.9	DOWN_pEhEx_UP_CmasM
EHI_110740A	5484.99822142913	13000.5107619844	-1.18789246011823	0.968216146778292	-1.24500524680738	6330	15024	14798	8562	7195	70	8899.29924293936	18661.0186868468	11492.4443778918	7322.98443305897	9485.84158306804	56.2182944929354	96.82	DOWN_pEhEx_UP_CmasM
EHI_075040A	15.2868703763968	233.521192954683	-1.02984013643388	0.968023265501589	-3.93318850155194	117	223	331	1	1	52	164.489417286557	276.983970125589	257.061703546573	0.855289001758814	1.31839354872384	41.7621616233234	96.8	DOWN_pEhEx_UP_CmasM
EHI_195110A	11.5314597633352	513.312815056836	-1.16925638703028	0.967983394533655	-5.47619121854057	1073	0	72	0	0	41	1508.52260468782	0.62104029176141	55.9167451823361	0.427644500879407	0.659196774361921	32.927858203005	96.8	DOWN_pEhEx_UP_CmasM
EHI_023400A	831.326715703783	3165.85744225712	-1.04680378687494	0.967860920951399	-1.9291088125797	4388	2413	614	1723	438	578	6169.0560944736	2997.14044804056	476.845576971588	1473.66295003044	577.456374341043	464.202488813095	96.79	DOWN_pEhEx_UP_CmasM
