pEhEx_mean	EhMyb10_mean	theta	prob	log2FC	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_188960A	5826.49401734739	1456.79134967982	2.0870957191868	0.999999999984237	1.99983376919776	1658	1348	485	7493	6979	8726	1583.45010030273	1243.10622939006	1501.15819582249	4964.30934113264	7267.48771463024	5486.28960376004	100	UP_pEhEx_DOWN_EhMyb10
EHI_140540A	8502.52903239961	3267.77476052617	2.02825993146236	0.999989136535585	1.37958348153153	4936	2512	872	12921	8262	13719	4714.05892345855	2316.53030283965	2698.9895809427	8560.50193470904	8603.52249581244	8625.53370089205	100	UP_pEhEx_DOWN_EhMyb10
EHI_198740A	33148.0617722774	43324.6863501434	-1.47582820361439	0.997852688961033	-0.38626478921656	41558	44161	15551	46570	34041	54548	39689.3964224251	40724.6396113462	48133.0125839907	30853.8483940407	35448.1371677501	34295.9116784211	99.79	DOWN_pEhEx_UP_EhMyb10
EHI_033240A	13.5183916661653	0.0836079557168556	1.76067307387255	0.928113776038241	7.33706757512759	0	0	0	12	18	23	0.477518124337374	0.461092815055662	1.54758576888916	7.95031524003626	18.7440577250816	14.4607679218979	92.81	UP_pEhEx_DOWN_EhMyb10
EHI_178340A	3034.31125946976	516.652141777145	1.23925777298901	0.916486365513286	2.55410392857735	301	366	294	1876	4864	4705	287.465910851099	337.519940620745	909.980432106827	1242.89928252567	5065.06093193315	2958.17013358824	91.65	UP_pEhEx_DOWN_EhMyb10
EHI_050640A	3.57436023613055	37.5848029384515	-0.715384440461181	0.914314377572306	-3.39439249312334	18	58	13	4	8	0	17.1906524761454	53.4867665464568	40.2372299911182	2.65010508001209	8.33069232225848	0.314364520041258	91.43	DOWN_pEhEx_UP_EhMyb10
EHI_187780A	194.556698156227	1324.48834123611	-0.716304551024995	0.914153536866316	-2.76717258941555	14	16	1267	99	118	633	13.3705074814465	14.7549700817812	3921.58233836513	65.5901007302991	122.877711753313	397.985482372233	91.42	DOWN_pEhEx_UP_EhMyb10
EHI_008450A	191.227686081924	984.624248416082	-0.71000885388002	0.913833970582635	-2.36428185650429	229	238	806	240	183	366	218.703300946517	219.480179966495	2494.70825944933	159.006304800725	190.564586871663	230.114828670201	91.38	DOWN_pEhEx_UP_EhMyb10
EHI_069200A	51.8195651526358	577.278389955861	-0.709895679152179	0.91379815551239	-3.47769840578928	9	31	544	15	1	229	8.59532623807272	28.587754533451	1683.77331655141	9.93789405004532	1.04133654028231	143.978950178896	91.38	DOWN_pEhEx_UP_EhMyb10
EHI_140370A	17879.9788941314	23363.394429962	-0.708186447034668	0.913122034459174	-0.385904862748443	20288	23134	9243	22786	15670	36156	19375.7754131133	21333.8423669954	28608.670523685	15096.3235882888	16317.7435862238	22732.3271732235	91.31	DOWN_pEhEx_UP_EhMyb10
EHI_086060A	25.7147751623824	365.137773515193	-0.705198197330762	0.911368149183646	-3.8277714787175	0	19	346	3	0	119	0.477518124337374	17.5215269721152	1070.9293520713	1.98757881000906	0.520668270141155	74.8187557698195	91.14	DOWN_pEhEx_UP_EhMyb10
EHI_040820A	150.20615627165	1274.03442001458	-0.723501866094202	0.910665646049959	-3.0843884060358	9	19	1219	33	4	673	8.59532623807272	17.5215269721152	3773.01410455177	21.8633669100997	4.16534616112924	423.134643975534	91.07	DOWN_pEhEx_UP_EhMyb10
EHI_103400A	7.72206157843553	58.8608911861661	-0.70319298540678	0.909806302750385	-2.93025142164157	26	68	28	7	4	23	24.8309424655434	62.70862284757	86.664803057793	4.63768389002115	4.16534616112924	14.4607679218979	90.98	DOWN_pEhEx_UP_EhMyb10
EHI_148240A	1487.61097084349	7099.13186608509	-0.700970896829965	0.90773850046425	-2.25464531937326	113	277	6721	399	190	6350	107.919096100246	255.445419540837	20802.6479054081	264.347981731205	197.853942653639	3992.42940452398	90.77	DOWN_pEhEx_UP_EhMyb10
EHI_118270A	48121.8328984381	176763.897578516	-0.700108327743957	0.906852151858657	-1.87706014838675	8972	3544	166489	25137	58145	109725	8568.58522310983	3268.22587311453	515312.014153175	16653.9228490659	60548.5131347149	68987.2939230542	90.69	DOWN_pEhEx_UP_EhMyb10
EHI_031400A	10694.6667805333	19015.8746616581	-0.697147256269167	0.903470622243007	-0.830312766883463	12836	11229	10968	14090	10081	20015	12258.8452879891	10355.2224405201	33947.8414263526	9334.99514434257	10497.713662586	12584.0117372516	90.35	DOWN_pEhEx_UP_EhMyb10
EHI_135760A	81.6373715830537	752.79353804735	-0.696516546681573	0.902698172854417	-3.20495260521156	3	21	718	19	12	349	2.86510874602424	19.3658982323378	2222.33316412484	12.5879991300574	12.4960384833877	219.426434988798	90.27	DOWN_pEhEx_UP_EhMyb10
EHI_007620A	3348.99193775223	8136.70852963392	-0.732400408012771	0.901945717645466	-1.28071840894527	8495	15845	404	8869	3753	653	8113.03293249198	14612.0313091139	1250.44930126244	5875.9454886568	3908.13603567951	410.560063173883	90.19	DOWN_pEhEx_UP_EhMyb10
EHI_065820A	415.195711116371	1938.84015890027	-0.733796259891953	0.900274454931289	-2.22333042409696	317	518	1613	428	260	1111	302.746490829895	477.692156397666	4992.51169043643	283.561243561293	270.7475004734	698.517963531676	90.03	DOWN_pEhEx_UP_EhMyb10
EHI_012480A	7163.84606944903	3317.41719995296	1.02321926696946	0.899958091759541	1.11067388072427	3447	4075	898	8392	5165	17033	3292.00994918185	3757.90644270365	2779.46404092493	5559.92045786536	5378.50323055813	10709.1417397255	90	UP_pEhEx_DOWN_EhMyb10
EHI_125840A	16124.7854402951	45281.0588258794	-0.7350298278408	0.898748490937312	-1.48962772983666	17380	9959	35273	14049	15639	37007	16598.5300019671	9184.04669027868	109175.985652055	9307.83156727245	16285.462153475	23267.3755863337	89.87	DOWN_pEhEx_UP_EhMyb10
EHI_152080A	6445.91812874266	3046.36573681186	1.01899652440424	0.897695966186794	1.08129670695345	5669	2304	498	8185	7812	9618	5414.10049373714	2124.71569177649	1541.3954258136	5422.77751997473	8134.9210526854	6047.11590751365	89.77	UP_pEhEx_DOWN_EhMyb10
EHI_124850A	10392.4248040562	5626.66705190935	0.97450281122296	0.897576928383684	0.885179807062956	10472	2426	1478	15694	10887	15615	10001.139596122	2237.22233865007	4574.66353283636	10397.6872814274	11337.0309140535	9817.6039608885	89.76	UP_pEhEx_DOWN_EhMyb10
EHI_130260A	17479.2436387635	6428.63244203102	0.951995232023459	0.89619942317511	1.44305898602514	20253	0	0	26518	22211	19919	19342.3491444097	0.461092815055662	1.54758576888916	17568.8716279401	23129.1258962104	12523.6537494037	89.62	UP_pEhEx_DOWN_EhMyb10
EHI_105140A	9126.52739174385	4119.87371426304	1.22405986006813	0.896036567238586	1.14746590933472	4781	1688	1992	11325	11496	13200	4566.02830491397	1556.64934362791	6165.58170325442	7503.11000778422	11971.2048670854	8299.22332908922	89.6	UP_pEhEx_DOWN_EhMyb10
