pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_188960A	5841.3592541869	2150.30407673647	1.67331484953855	0.947883261860345	1.44176342862164	1556	2388	887	7493	6979	8726	1679.89853435779	2605.95664580753	2142.72408473541	5041.19028459226	7230.02199525443	5324.7170061042	94.79	UP_pEhEx_DOWN_U2AF84
EHI_141940A	14628.3768454138	7683.46571284391	1.14691921065853	0.946537193293239	0.928940591368955	7635	9238	1991	21731	19399	15767	8242.94685721193	10081.1672922822	4809.65462537565	14620.326447948	20096.7469101506	9621.22542232924	94.65	UP_pEhEx_DOWN_U2AF84
EHI_148820A	16413.9425755203	11713.3960506069	1.16597006748368	0.924999544335445	0.486762395826654	11974	11890	3842	21956	18078	26008	12927.4454051415	12975.2196476765	9281.11153726431	14771.7034416799	18728.2329316821	15870.4148401052	92.5	UP_pEhEx_DOWN_U2AF84
EHI_140540A	8524.35368932049	4573.2896488538	1.73047352268128	0.92134496536318	0.898358159141612	3436	5056	1843	12921	8262	13719	3709.59599232222	5517.46934723738	4452.13132826083	8693.07616004492	8559.16918251786	8371.50958133665	92.13	UP_pEhEx_DOWN_U2AF84
EHI_186720A	10773.8799159566	4945.82781054707	1.12778175949107	0.918323798477976	1.1232539721641	3225	7009	1534	17410	14346	10073	3481.79484145494	7648.72283520309	3705.68066063598	11713.2153816564	14861.9996480757	6146.67366519455	91.83	UP_pEhEx_DOWN_U2AF84
EHI_178340A	3044.62585994298	652.8101206461	1.123475235499	0.90894076491208	2.22152962388533	217	463	490	1876	4864	4705	234.278908711852	505.258763404056	1183.69199720445	1262.14773440479	5038.94927423951	2871.05128509286	90.89	UP_pEhEx_DOWN_U2AF84
EHI_015310A	8579.55393632846	4231.60570337553	1.11941450583737	0.90011957852009	1.01969743694122	3206	5014	1549	12746	11539	8992	3461.28194161381	5471.63593889403	3741.91612993816	8575.33849825343	11954.036939854	5487.03361435812	90.01	UP_pEhEx_DOWN_U2AF84
EHI_130960A	12133.0084096966	13504.6210812664	-0.693679324135802	0.883548449708754	-0.154515845980091	12527	12902	5316	18190	12067	19249	13524.4787531492	14079.5865344258	12841.8503206916	12237.988959927	12501.0281439655	11745.9864371419	88.35	DOWN_pEhEx_UP_U2AF84
EHI_074010A	1048.57196164928	3241.19350531268	-0.69099164495302	0.883507925285095	-1.62809928036343	1053	864	3063	1324	682	2488	1136.84650172157	942.858685920312	7399.28283150458	890.769509782484	706.530305310721	1518.20947870585	88.35	DOWN_pEhEx_UP_U2AF84
EHI_125840A	16203.0551576879	45262.7786208266	-0.69633923447498	0.883431701428816	-1.48205928713523	9569	10267	45714	14049	15639	37007	10330.9441357775	11204.0857966943	110431.216245315	9451.97948862094	16201.5065172351	22582.1455701236	88.34	DOWN_pEhEx_UP_U2AF84
EHI_187780A	196.010842183485	1242.96157988349	-0.69722079349272	0.883363806979139	-2.66477633998741	14	16	1475	99	118	633	15.1147683039904	17.4603460355613	3563.15448138075	66.6058772420438	122.244246373409	386.264710619294	88.34	DOWN_pEhEx_UP_U2AF84
EHI_059840A	6464.10798678984	21645.4635233726	-0.697709084000683	0.883320236381378	-1.74354149075987	2985	2804	23441	4623	3787	19641	3222.68452767225	3059.92564273212	56626.375727489	3110.2926312118	3923.21153403475	11985.1898598318	88.33	DOWN_pEhEx_UP_U2AF84
EHI_054480A	562.992373632581	3056.3928287225	-0.69960282166681	0.883119203438852	-2.44064269580764	109	80	3578	153	43	2420	117.67926750964	87.3017301778066	8643.36727754599	102.936355737704	44.546632153022	1476.71500742289	88.31	DOWN_pEhEx_UP_U2AF84
EHI_137700A	1460.50268466981	5218.07988070349	-0.700313150820853	0.883031975518154	-1.8370540196405	854	686	5590	1438	1069	3696	922.000866543417	748.612336274692	13503.7515599447	967.467186606656	1107.44999468792	2255.34655679133	88.3	DOWN_pEhEx_UP_U2AF84
EHI_163240A	5110.15350419041	9889.55733703883	-0.701356128673176	0.882894370468096	-0.952539317457766	4874	5593	7369	8517	4623	7950	5262.09862240353	6103.48221105591	17801.2782191829	5730.12380273219	4789.28094054467	4851.1918632281	88.29	DOWN_pEhEx_UP_U2AF84
EHI_096410A	200.358916334867	1371.16599299165	-0.701809509952745	0.882832281292431	-2.77474461511517	35	29	1614	55	43	817	37.7869207599761	31.6468771894549	3898.93649691426	37.0032651344688	44.546632153022	498.543868208473	88.28	DOWN_pEhEx_UP_U2AF84
EHI_081320A	10693.730635123	28476.7843728754	-0.702680757655485	0.882706619094855	-1.41302100273245	7904	7148	27670	10827	10557	22451	8533.36633391003	7800.40959138702	66842.3623727495	7284.26093837988	10936.7161776617	13699.8878643188	88.27	DOWN_pEhEx_UP_U2AF84
EHI_176140A	286440.383146535	804026.358823933	-0.684569747385376	0.882609378973123	-1.48900789679546	161371	163577	823789	188361	237744	777073	174220.376855946	178506.938966188	1990025.40139808	126726.764072612	246295.22126949	474179.901224434	88.26	DOWN_pEhEx_UP_U2AF84
EHI_088230A	1294.44994592772	4485.23539447578	-0.704539287982743	0.882425175556411	-1.79284452289506	789	816	4684	1412	1226	2695	851.825156560604	890.477647813628	11315.1292140932	949.974733997634	1270.09700045593	1644.52353099368	88.24	DOWN_pEhEx_UP_U2AF84
