pEhEx_mean	UmasM_mean	theta	prob	log2FC	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_178970A	355.894775710947	455.229675912161	-0.142007294455403	0.854568119673006	-0.355143853144021	649	317	203	502	287	395	828.953980374424	253.655493919126	286.090146544305	415.898841464436	373.885918330057	293.062455081	85.46	DOWN_pEhEx_UP_UmasM
EHI_053450A	18.5825097022335	33.12804156531	-0.141994580053203	0.854568118356584	-0.83410755668043	3	8	60	4	0	68	3.83183658108363	6.40140047745428	84.5586640032428	3.3139349917485	0.651369195696963	50.4512580898937	85.46	DOWN_pEhEx_UP_UmasM
EHI_178830A	10.0621359600822	14.5122457480989	-0.141834483139541	0.854568101797548	-0.528334202923029	16	22	4	14	4	18	20.4364617657793	17.6038513129993	5.63724426688285	11.5987724711197	5.2109535655757	13.3547447885013	85.46	DOWN_pEhEx_UP_UmasM
EHI_099270A	18.9805124103274	27.9582056884315	-0.141831159669122	0.854568101454132	-0.558752833070361	21	59	7	38	13	13	26.8228560675854	47.2103285212253	9.86517746704499	31.4823824216107	16.935599088121	9.64509345836204	85.46	DOWN_pEhEx_UP_UmasM
EHI_069580A	30.5754872154608	43.4594692994446	-0.141707227506119	0.854568088657833	-0.507295069265301	26	35	47	31	17	59	33.2092503693914	28.0061270888625	66.2376201358735	25.6829961860509	22.1465526536967	43.7738856956431	85.46	DOWN_pEhEx_UP_UmasM
EHI_096180A	10.1364354100046	16.6368504208845	-0.141585368797947	0.85456807609401	-0.71483193598521	8	9	22	7	0	32	10.2182308828897	7.20157553713606	31.0048434678557	5.79938623555987	0.651369195696963	23.7417685128912	85.46	DOWN_pEhEx_UP_UmasM
EHI_110200A	11.6154831344322	20.4524452257969	-0.141493630313591	0.854568066647634	-0.816224174406393	11	0	32	2	0	43	14.0500674639733	0.400087529840892	45.0979541350628	1.65696749587425	0.651369195696963	31.9030014391975	85.46	DOWN_pEhEx_UP_UmasM
EHI_086190A	42.803519546475	65.9483559938734	-0.142070974534191	0.854567873824848	-0.62360726741132	18	37	98	30	18	106	22.9910194865018	29.606477208226	138.11248453863	24.8545124381137	23.4492910450907	78.644608198952	85.46	DOWN_pEhEx_UP_UmasM
EHI_152780A	163.325084721766	235.91089699	-0.141091366425528	0.85456727845185	-0.530495671715383	74	150	333	103	33	474	94.5186356667295	120.026258952268	469.300585217997	85.3338260375238	42.9903669159995	351.674946097201	85.46	DOWN_pEhEx_UP_UmasM
EHI_124470A	21.5960564354784	29.6830401597753	-0.141051497686332	0.854566989528082	-0.458870969460774	29	40	14	37	15	21	37.0410869504751	32.0070023872714	19.73035493409	30.6538986736736	19.5410758709089	15.5805355865848	85.46	DOWN_pEhEx_UP_UmasM
EHI_012580A	7.98815052298322	12.2549583108755	-0.141003635806036	0.854566642859027	-0.617432153166696	18	16	1	16	7	3	22.9910194865018	12.8028009549086	1.40931106672071	13.255739966994	9.11916873975748	2.22579079808355	85.46	DOWN_pEhEx_UP_UmasM
EHI_108720A	7.52303755935221	10.6505863630588	-0.14226469418821	0.854566501504437	-0.50154566127585	8	20	4	12	6	7	10.2182308828897	16.0035011936357	5.63724426688285	9.94180497524549	7.81643034836355	5.19351186219494	85.46	DOWN_pEhEx_UP_UmasM
EHI_013870A	61.5754148743364	85.5726772862403	-0.142337447933162	0.85456598529134	-0.474795785300633	34	93	94	65	43	102	43.4274812522811	74.416280550406	132.475240271747	53.8514436159131	56.0177508299388	75.6768871348406	85.46	DOWN_pEhEx_UP_UmasM
