NOISeq_CDC5_1	NOISeq_CDC5_2	NOISeq_CDC5_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_CDC5_1	DESeq2_CDC5_2	DESeq2_CDC5_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_001130A	4294.04807824722	2850.59799852839	5422.32399895264	1253.30703769275	2300.7353392484	28.0963880512303	3807.67097005359	2517.25484285967	4553.03288501427	1106.70296534691	2029.91566554357	27.3390152897726
EHI_007510A	66224.6555020894	60466.1047766021	65710.0163765673	30345.1972027963	19789.3645369273	1417.06654607102	58723.5386428266	53395.3209664565	55175.5788652847	26795.6045233702	17459.9574316028	1378.8677711534
EHI_007620A	16412.0925428036	14136.2600606408	14989.4478884596	7231.99747384318	4754.76857279694	470.434394806497	14553.1319618048	12483.1944440928	12586.3834727595	6386.04333094455	4195.08452245872	457.75325600568
EHI_013900A	48884.7275240608	42721.8286359254	40487.7518649096	25254.5037504112	21926.6665839053	5422.60289388744	43347.6650658101	37726.0245341933	33996.8739818643	22300.3887701752	19345.6775460147	5276.42995092612
EHI_015320A	18489.2881365426	16567.691485165	31056.1229565963	7545.12037720949	8482.06117635904	13857.2826709081	16395.0483114308	14630.2992030327	26077.2962164825	6662.53906203968	7483.63732423691	13483.7425409943
EHI_016370A	4173.6542068945	3582.81302653568	3727.37435842949	1941.52508571661	1596.32518031552	1086.39367131424	3700.91384005209	3163.84612869426	3129.81261023253	1714.41754098309	1408.42166221636	1057.10859120454
EHI_023400A	4210.57499410933	5157.34063205136	1354.94981193757	1404.9759440108	554.913038871585	416.402879323361	3733.65269325255	4554.25166544364	1137.72822363386	1240.63058509612	489.594196865686	405.178226602271
EHI_025600A	152372.088835628	142766.012743422	292084.258683299	73948.3769207821	89470.225582446	19526.2692753986	135113.247158302	126071.244405445	245258.165177321	65298.3551193335	78938.6807823168	18999.9146259999
EHI_025830A	992.045499946461	1103.62844801099	1025.04898816146	1889.33793515556	2371.6831250402	2633.85627475123	879.678751212382	974.572372852138	860.716134401271	1668.3349191339	2092.5121838643	2562.85743331817
EHI_025850A	20205.3021162235	19377.168712193	26844.8379510463	11950.8574784807	9998.57009765879	736.269450983521	17916.6932710522	17111.2418541154	22541.1520978093	10552.9204034641	8821.63790334245	716.422400670452
EHI_035220A	6.42100647214538	18.5706710001849	23.564344555436	135.360421767727	127.959399374498	109.503871379154	5.69371360008014	16.3990543508773	19.7865778023281	119.526800421332	112.897291971311	106.552059590909
EHI_038860A	136846.09518598	109403.802291589	216111.97025284	67302.6694665233	82419.7893693857	60485.0396924408	121345.847673308	96610.3432640935	181465.531679122	59430.0212432259	72718.1517741945	58854.5909153521
EHI_044550A	158767.411281885	136989.207585864	210738.458110466	65511.1824386697	68170.6867479503	55901.0059188516	140784.185903982	120969.967141297	176953.485276699	57848.0912400592	60146.3117464585	54394.1254207669
EHI_044730A	6005.24630307396	5037.95774705017	8323.26313047363	2866.21615972024	3054.55556328628	2781.5424170718	5325.04564447495	4448.829173188	6988.90194517945	2530.94399687339	2695.0036727013	2706.56251368749
EHI_044830A	67704.6974939189	66559.9378176628	79973.177502479	29405.8284926974	33702.732100598	13476.1803817003	60035.939627645	58776.5535155944	67152.1117436367	25966.1173300848	29735.5817922853	13112.9133336022
EHI_048990A	124750.524244076	103298.030962029	178440.999146039	50325.5370496313	57264.9985319535	54425.5853360588	110620.314679157	91218.56846573	149833.860408129	44438.7683229118	50524.3326445868	52958.4766178578
EHI_049670A	3496.23802408316	4361.45473204343	3729.89910963186	1024.98825398815	2680.81276313305	31.6984890834393	3100.22705524364	3851.43505040604	3131.93260071136	905.091494756715	2365.25415654747	30.8440172499999
EHI_050520A	351.550104349959	476.205063504742	787.722375138859	987.478739522392	1507.64044807577	1792.4054736272	311.730819604388	420.518607997497	661.437029392109	871.969610302611	1330.17601431545	1744.08897540909
EHI_056480A	6982.8445384581	6975.93991356947	4710.34415988482	7202.64220165259	14132.5455447775	17478.1146284846	6191.91354008715	6160.18763080456	3955.19556998679	6360.12185615438	12469.0028904948	17006.9705114147
EHI_087110A	24064.3270059828	23632.5053242353	21742.3157710603	15080.4556636888	12045.9204876508	1388.24973781335	21338.6151447003	20868.9680225164	18256.6513401123	13316.4376324826	10627.9945748834	1350.82775547159
EHI_087570A	1569.93608243954	1916.75854251909	5483.7596115436	4263.85328568339	7939.81738495028	8955.54358627804	1392.11297521959	1692.61668121555	4604.61931999891	3765.09421327197	7005.22107707136	8714.13587351702
EHI_092120A	28676.2149046013	23288.9479107319	46600.1745258428	14329.4499501462	16671.4627363269	12876.7907699408	25428.1249379579	20565.5855170252	39129.3709310896	12653.2799024342	14709.0640104008	12529.6810074204
EHI_095830A	49.7628001591267	80.9150665008058	32.8217656307858	313.122903366308	385.145122869776	326.350353518136	44.1262804006211	71.4530225288226	27.5598762246712	276.49573109513	339.809670883946	317.55317759659
EHI_098440A	1749.72426365962	1920.73797201913	1628.46452552745	591.997989176925	684.139362992365	38.9026911478573	1551.53695602184	1696.13076429074	1367.39385883946	522.74974160173	603.60928380701	37.8540211704544
EHI_103310A	380.444633474614	864.862678008612	122.029641447793	2641.97449715322	4042.75686538636	455.305570471219	337.352530804748	763.727388340858	102.466206476342	2332.93273111516	3566.88374931142	443.032247772726
EHI_107290A	7071.1333774501	10808.1305221076	517.573996485468	9641.57606615422	18632.6622435717	12168.6177070085	6270.20210208825	9544.2496322106	434.598048158277	8513.76438663755	16439.4106239809	11840.5976220397
EHI_108690A	4173.6542068945	3582.81302653568	3727.37435842949	1941.52508571661	1596.32518031552	1086.39367131424	3700.91384005209	3163.84612869426	3129.81261023253	1714.41754098309	1408.42166221636	1057.10859120454
EHI_116360A	305564.461248072	288251.30231187	573878.47304948	197859.427109951	175801.011643605	39783.7650603356	270953.866229014	254543.778912268	481875.955826461	174715.060331534	155107.465628941	38711.344649926
EHI_117850A	1149.36015851402	1650.13676601643	1379.35574022713	5727.53977407538	9773.05749282056	3945.02105047531	1019.17473441435	1457.17311517796	1158.22146492913	5057.56774794842	8622.67039868014	3838.6781468409
EHI_125780A	2444.79821426935	2764.37702602753	1142.87071093864	4106.47640977272	6534.79784132337	4411.85334424959	2167.88145323051	2441.1163762306	959.649023412911	3626.12630675801	5765.58645532696	4292.92640088635
EHI_129750A	1430.27919167038	1305.252876013	1919.65249753391	2330.48244224195	3414.36219123041	4377.27317434039	1268.27470441785	1152.61924866166	1611.8994273968	2057.87708195282	3012.45744418499	4259.27838206817
EHI_143430A	265030.252641037	296816.361072456	356763.334985566	130903.312940122	156651.44410355	58216.4364623556	235010.875700108	262107.257051097	299568.081263754	115591.056499025	138211.994657195	56647.140680801
EHI_153070A	240599.928266141	190585.490568898	315647.761655001	115872.598154312	114275.345189904	87338.702887559	213347.718880203	168298.809358954	265044.036316156	102318.541365492	100823.988500201	84984.3805288463
EHI_156690A	80288.2649277058	69543.1834661925	78171.3467277223	37888.6867315507	34940.5175777156	19892.9631604775	71194.1948554021	61410.9444609604	65639.1452052516	33456.7035034771	30827.667477988	19356.7238255511
EHI_159150A	12805.0921570759	22268.8874822218	520.940331421959	16942.0691751088	33045.1981572775	36155.7289006947	11354.6883469598	19664.808888752	437.424702130038	14960.2911587592	29155.4462028486	35181.1066755851
EHI_169580A	89.8940906100353	106.118120001057	281.930550931109	192.440117693877	257.185723495278	6043.60511184028	79.711990401122	93.7088820050133	236.732270134996	169.929668068882	226.912378912635	5880.6922888693
EHI_175050A	923.019680370898	1628.91314201622	181.782086570506	1798.01042167372	2490.77405119072	2337.76356990365	818.47133001152	1438.43133877695	152.639314475102	1587.69033089782	2197.58491104552	2274.74627218749
EHI_178960A	4135.12816806162	6887.06598806858	386.286933962325	6896.85811633393	13391.3945682024	12106.6615692545	3666.75155845161	6081.70644212536	324.358543259592	6090.1064937568	11815.0928330372	11780.3115883238
EHI_181610A	447.86520143214	347.536843003461	580.692776544672	113.343967624783	103.887829195137	42.5047921800663	397.13652360559	306.896588566418	487.597810128799	100.085694328706	91.6591875410645	41.3590231306817
EHI_182590A	58169.502882783	51706.0539705149	81511.5925684553	22121.6438682931	32798.1478317525	20749.5427859368	51580.774931526	45659.6527569427	68443.8926087316	19533.9913772911	28937.4761836961	20190.2132916931
EHI_188180A	11093.8939322492	15669.666894656	617.722460846071	12669.2462229227	24218.5334499297	28984.666165773	9837.31367253846	13837.2877890653	518.691003818171	11187.2764948569	21367.7686467682	28203.3487731647
EHI_188960A	1280.990791193	1528.10092801522	1632.67244419806	6109.97373678058	8841.86780430318	6286.38672141116	1135.89586321599	1349.40790087219	1370.92717630416	5395.266961187	7801.0910957206	6116.92942098862
EHI_191770A	14660.7630275259	11801.6614206175	18981.9211231378	7562.24428598734	6561.40326099529	1491.26982733453	13000.171577383	10421.5990399825	15938.7950832682	6677.65992233395	5789.06014969723	1451.07081153409
