NOISeq	DESeq2
EHI_001130A	0.0442471173428908	0.743977010290468
EHI_007510A	6.43929354282591e-15	0.635920321520301
EHI_007620A	9.65894031423886e-15	0.590311335560891
EHI_013900A	0	0.697201773819771
EHI_015320A	0.0181470343733114	0.729297457624975
EHI_016370A	0.0014960372720233	0.401026633257925
EHI_023400A	0.0224366061269008	0.310378116198718
EHI_025600A	0.00663493294374462	0.515412957395161
EHI_025830A	0.0184743384044533	0.401026633257925
EHI_025850A	6.74016398249933e-13	0.740578687655364
EHI_035220A	0.0742369544002022	0.0032174229891219
EHI_038860A	0.0490046565061514	0.635920321520301
EHI_044550A	1.62092561595273e-14	0.291605574307679
EHI_044730A	0.0244706302427998	0.556439489977274
EHI_044830A	0	0.401026633257925
EHI_048990A	4.32986979603811e-15	0.401026633257925
EHI_049670A	0.0229940704880224	0.790270615155865
EHI_050520A	0.0484356020317791	0.401026633257925
EHI_056480A	0.0182112587167451	0.70928914178413
EHI_087110A	0.0325681959232095	0.782105367973383
EHI_087570A	0.0153621699180159	0.695683991858863
EHI_092120A	0.000966440179656525	0.612117726672277
EHI_095830A	0.0550633175364426	0.0032174229891219
EHI_098440A	0.0225935095000128	0.559875729150672
EHI_103310A	0.0219494899982223	0.401026633257925
EHI_107290A	0.0125176404757317	0.855511815266635
EHI_108690A	0.0014960372720233	0.401026633257925
EHI_116360A	0.0358476406183397	0.647557415561368
EHI_117850A	1.11022302462516e-16	0.0267310306110846
EHI_125780A	0.00249946677694657	0.581664919227131
EHI_129750A	0.0188766272603977	0.556439489977274
EHI_143430A	1.60982338570648e-14	0.437986438762551
EHI_153070A	6.21724893790088e-15	0.437986438762551
EHI_156690A	1.0769163338864e-14	0.401026633257925
EHI_159150A	0.0471333678460389	0.841204195928699
EHI_175050A	0.0488595700868408	0.743977010290468
EHI_178960A	0.0060178227600749	0.740578687655364
EHI_181610A	0.11815048273022	0.0316284137819203
EHI_182590A	2.22044604925031e-16	0.401026633257925
EHI_188180A	0.0135081953971088	0.836109369646949
EHI_188960A	0	0.00182819421618732
EHI_191770A	5.38433742036659e-11	0.586053687667336
