NOISeq	DESeq2
EHI_001130A	-1.75573277828002	1.78184136204345
EHI_007510A	-1.840557347071	1.87420281786604
EHI_007620A	-1.81104984135231	1.84375141078411
EHI_013900A	-1.26333408590843	1.29417661533556
EHI_015320A	-1.01172544059018	1.04733176120314
EHI_016370A	-1.22573966782701	1.25763063156262
EHI_023400A	-2.10630931996141	2.1417538566465
EHI_025600A	-1.59944512739284	1.63344131204594
EHI_025830A	1.25360479205489	-1.2198958171503
EHI_025850A	-1.48476279519381	1.51877340438793
EHI_035220A	3.06198000636655	-2.98249503195247
EHI_038860A	-1.03124847025087	1.06432712409939
EHI_044550A	-1.31428676991571	1.3476008141693
EHI_044730A	-1.0460062547504	1.07948991205481
EHI_044830A	-1.40180777603602	1.43425724137176
EHI_048990A	-1.21608276268293	1.24940656870517
EHI_049670A	-1.583189876664	1.61120823563132
EHI_050520A	1.53971231241842	-1.50036718530581
EHI_056480A	1.16578959908301	-1.13594921892575
EHI_087110A	-1.22461700872399	1.25723002215055
EHI_087570A	1.38031945376871	-1.34111187009166
EHI_092120A	-1.05982957226981	1.0934783249037
EHI_095830A	2.74158359672956	-2.71289004120525
EHI_098440A	-1.95574508470614	1.98749440194987
EHI_103310A	2.43351409037303	-2.39832890591165
EHI_107290A	1.20952815675002	-1.17915754315627
EHI_108690A	-1.22573966782701	1.25763063156262
EHI_116360A	-1.41501875375436	1.45073545392988
EHI_117850A	2.30284044243114	-2.2689456416699
EHI_125780A	1.32654946231001	-1.29739243468546
EHI_129750A	1.2433190918802	-1.20986284310546
EHI_143430A	-1.32584821353444	1.35965563181832
EHI_153070A	-1.13357255569125	1.16637494352031
EHI_156690A	-1.21321985321707	1.24500070237867
EHI_159150A	1.36719512063243	-1.33390433122683
EHI_169580A	3.9789076887373	-3.93447410172369
EHI_175050A	1.36544339668105	-1.33104572832487
EHI_178960A	1.59177374061666	-1.55938545886411
EHI_181610A	-2.321488741717	2.35639236984205
EHI_182590A	-1.23882373940618	1.27088055569955
EHI_188180A	1.35898931526139	-1.32851136232851
EHI_188960A	2.35836819548057	-2.32414538303012
EHI_191770A	-1.46717590935955	1.49986795666637
