edgeR_CmasM_1	edgeR_CmasM_2	edgeR_CmasM_3	edgeR_pEhEx_1	edgeR_pEhEx_2	edgeR_pEhEx_3	NOISeq_CmasM_1	NOISeq_CmasM_2	NOISeq_CmasM_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_CmasM_1	DESeq2_CmasM_2	DESeq2_CmasM_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_001940A	31.2488460290613	92.0965135528646	102.164586936406	113.895708198933	164.755333661709	289.514796987996	289.613845820775	885.60345605177	879.135493700062	1125.5603263146	1649.31032945353	2683.21888429853	266.762804639885	817.881862022764	846.785445963092	1004.14302203091	1516.69229841357	2589.24071825622
EHI_005960A	2.12370798255756	1.93751431036882	3.97106168304053	3.11568806623222	6.84834320576249	40.987877574176	19.6824943761692	18.6312087528423	34.1713442780943	30.7904040633173	68.5564645336398	379.875047073692	18.1295109949436	17.2064907858927	32.913921927894	27.4689580494779	63.0439644424506	366.570146583415
EHI_006680A	0	0	0	6.92375125829382	7.90193446818749	1.21317185208978	0	0	0	68.4231201407052	79.1036129234305	11.2436588985871	0	0	0	61.0421289988398	72.7430358951353	10.8498563470778
EHI_006810A	40.1987582412682	31.2585642072836	67.8690542192382	60.4962766193422	78.8876457740717	266.637842062874	372.561500691774	300.583501212522	584.019338571066	597.847012229411	789.717735685581	2471.19560221089	343.165743832861	277.598051345735	562.528847494916	533.355602127363	726.217975019767	2384.64342713989
EHI_006960A	0.758467136627702	0.775005724147528	0.902514018872848	2.16367226821682	2.89737597166874	2.5996539687638	7.02946227720328	7.45248350113692	7.76621460865779	21.3822250439704	29.0046580719245	24.0935547826866	6.47482535533701	6.88259631435706	7.48043680179409	19.0756653121374	26.6724464948829	23.2496921723096
EHI_007510A	5700.94238574846	5095.5334686493	5513.81914690178	3220.75599157683	2057.13693988481	170.450645218613	52836.2502603708	48998.8369393917	47446.9115301339	31828.7249114525	20593.3072310664	1579.73407525148	48667.3773008551	45251.9236675119	45700.9805968808	28395.2723570353	18937.4370113669	1524.40481676444
EHI_007620A	1417.1199980752	1201.25887242867	1216.67914884249	767.584373872598	494.266000985127	56.5858013867588	13133.8473187266	11551.3494267622	10469.6339139316	7585.55815659893	4947.93098836058	524.436375769811	12097.5636939117	10668.0242872534	10084.3768524986	6767.28302613388	4550.07689524071	506.068299617273
EHI_010020A	19.8718389796458	26.0918593796334	54.9631037493564	52.7936033444904	166.46741946315	336.655188954913	184.171911662726	250.90027787161	472.962469667259	521.726291072877	1666.44944558694	3120.11534435791	169.64042430983	231.714075916688	455.55860122926	465.446233616154	1532.45328952418	3010.8351363141
EHI_010030A	10.7702333401134	35.2627604487125	38.6276000077579	60.9290110729856	101.408159008406	112.305051450596	99.8183643362866	339.08799930173	332.393985250553	602.123457238205	1015.16303251736	1040.84156661206	91.9425200457855	313.158132303246	320.162695116787	537.17073518979	933.535627320902	1004.38670184378
EHI_010350A	6.37112394767269	4.39169910350266	16.786760751035	10.2990799967121	5.66305303553436	146.013897912234	59.0474831285076	42.2307398397759	144.451591721035	101.779391209299	56.6909225951252	1353.25466029423	54.3885329848308	39.00137911469	139.13612451337	90.8001668857742	52.1325090581803	1305.85771034473
