edgeR	NOISeq	DESeq2
EHI_001940A	0.8747676826368	0.0490473469332573	0.557583115078024
EHI_005960A	0.823159168537161	0.0455310464910295	0.376328990792038
EHI_006680A	0.00023104764597704	0	0.000377870921945666
EHI_006810A	0.8747676826368	0.045370821816327	0.54302631856812
EHI_006960A	0.753809123134837	0.0455357844265775	0.378886026017156
EHI_007510A	0.8747676826368	4.44089209850063e-16	0.772287385547237
EHI_007620A	0.8747676826368	3.60347579062559e-05	0.772287385547237
EHI_010020A	0.676429431364312	0.0100721058759947	0.203842912329841
EHI_010030A	0.818899098171548	0.0109945965821342	0.314754646029923
EHI_012020A	0.8747676826368	0.0482418085716481	0.790726932074331
EHI_013220A	0.8747676826368	0.010129800906937	0.510714267414387
EHI_014400A	0.8747676826368	0.0478294494629095	0.720340965251885
EHI_017660A	0.753809123134837	0.0444074176715731	0.248016520448313
EHI_017750A	0.768522945691756	0.0119369364086703	0.276495846189396
EHI_023400A	0.8747676826368	0.0321390790486014	0.582436892356491
EHI_025360A	0.8747676826368	0.0431903861107642	0.46402272209449
EHI_025600A	0.8747676826368	0.0073238039486222	0.673720301136492
EHI_025850A	0.8747676826368	0.0148403282980514	0.79619614343356
EHI_030820A	0.8747676826368	0.0450762599365853	0.741218444489533
EHI_031240A	0.768522945691756	0.0463453649650619	0.276495846189396
EHI_035670A	0.489769648768096	0.0431702580225382	0.0609834336136158
EHI_039020A	0.8747676826368	0.00508160032059768	0.442491387741722
EHI_040310A	0.847406696455988	0.0047719825452025	0.376328990792038
EHI_040820A	0.8747676826368	0.0463449036606854	0.600411469293963
EHI_044610A	0.818899098171548	0.0456315154870407	0.349605055350237
EHI_044830A	0.8747676826368	0	0.528971081089642
EHI_050000A	0.473139213527171	0.0537989421429681	0.0327641882819293
EHI_058090A	0.753809123134837	0.00935495530861941	0.276495846189396
EHI_062500A	0.818899098171548	0.0463709724105636	0.276495846189396
EHI_062790A	0.8747676826368	0.0453359214709315	0.528971081089642
EHI_068170A	0.8747676826368	0.0447782812453438	0.453966974371223
EHI_069560A	0.8747676826368	0.0454280518264177	0.703547205924583
EHI_069590A	0.8747676826368	0.0455418404411372	0.759981959757359
EHI_074380A	0.76071411956538	0.0447134878609283	0.285183315090805
EHI_075040A	0.768522945691756	0.0319767344984111	0.248016520448313
EHI_076020A	0.8747676826368	0.044424283375041	0.582436892356491
EHI_087570A	0.8747676826368	0.0455556061159547	0.623910695398682
EHI_089770A	2.08011020603199e-09	1.82076576038526e-14	2.09764099647657e-05
EHI_090020A	0.8747676826368	0.00154304459600385	0.772287385547237
EHI_093910A	0.82468416114932	0.0454179820651085	0.378886026017156
EHI_095830A	0.823159168537161	0.0446272104114437	0.276307885340705
EHI_098470A	0.8747676826368	0.00926258390290047	0.815174730914342
EHI_099720A	0.8747676826368	0.0475302427566813	0.462399938880705
EHI_099860A	0.768522945691756	0.0432685236478632	0.276495846189396
EHI_103510A	0.8747676826368	0.000478703863371566	0.538196487537449
EHI_104360A	0.8747676826368	0.0476883363485348	0.538196487537449
EHI_105140A	0.8747676826368	0.00318164595834314	0.654789921676255
EHI_110570A	0.8747676826368	0.0429557326372445	0.528971081089642
EHI_110740A	0.8747676826368	0.0317838532217082	0.83049485279401
EHI_112800A	0.823159168537161	0.0454634996347424	0.314754646029923
EHI_112880A	0.8747676826368	0.0432191589789094	0.453966974371223
EHI_114920A	0.8747676826368	0.026603368962841	0.635729799020597
EHI_117850A	0.8747676826368	0.0148644455508543	0.790168441985744
EHI_118270A	0.823159168537161	0.0400313857179311	0.429391623045844
EHI_118670A	0.753809123134837	0.0461499114171438	0.250295356773661
EHI_119540A	0.8747676826368	0.00864746511665593	0.462399938880705
EHI_126980A	0.8747676826368	0.0436599481712864	0.462399938880705
EHI_131230A	0.8747676826368	0.0336778074080075	0.673720301136492
EHI_134810A	0.8747676826368	0.0149350243506207	0.429391623045844
EHI_135060A	0.8747676826368	0.0246871894200053	0.547407351256154
EHI_137720A	0.8747676826368	0.045716399497606	0.546408389381431
EHI_141810A	0.8747676826368	0.0489827016848314	0.46402272209449
EHI_144610A	0.818899098171548	0.0166906639081789	0.311853183005821
EHI_147570A	0.8747676826368	0.0271247111910613	0.528971081089642
EHI_148190A	0.753809123134837	0.000270942931038576	0.248016520448313
EHI_148470A	0.8747676826368	0.0443802004814718	0.42970029649459
EHI_155680A	0.8747676826368	0.0455256146811115	0.635729799020597
EHI_156310A	0.8747676826368	0.0454991579726114	0.546408389381431
EHI_156660A	0.8747676826368	0.0437663384376877	0.741218444489533
EHI_157010A	0.823159168537161	0.0321634061276439	0.453966974371223
EHI_158270A	0.753809123134837	1.11022302462516e-16	0.0321334507427515
