edgeR	NOISeq	DESeq2
EHI_001940A	-1.33241235389805	1.41593803122298	-1.40314041683461
EHI_005960A	-2.65421954154421	2.75792380212221	-2.73821729777156
EHI_006680A	-8.64366442134945	9.83624744570226	-7.98009123877156
EHI_006810A	-1.54238562274653	1.63651322615489	-1.62231544967357
EHI_006960A	-1.61719120648254	1.73850769092784	-1.71092961584268
EHI_007510A	1.58188911116317	-1.49689018472789	1.51487523113573
EHI_007620A	1.5404014609199	-1.45600063691401	1.47425702679237
EHI_010020A	-2.45992697044816	2.55472769024164	-2.54600080097325
EHI_010030A	-1.69546625617479	1.78031759000179	-1.76906852331922
EHI_010350A	-2.55218588057652	2.6556491069418	-2.63739690816746
EHI_012020A	1.27411059936076	-1.18481403364904	1.19272623186474
EHI_013220A	-1.1734865678935	1.25705952797212	-1.24617051633454
EHI_014400A	-1.2086183626263	1.30148847226844	-1.28708584094612
EHI_017660A	-2.14303804111639	2.23032124715388	-2.2200702969955
EHI_017750A	-1.87964242611945	1.96998048240874	-1.95658572055965
EHI_023400A	2.0067672704434	-1.9291088125797	1.95740119629325
EHI_024690A	-2.62074153709846	2.7221230867434	-2.70422209512849
EHI_025360A	-1.52666541135832	1.61598572597623	-1.59977996766902
EHI_025600A	1.33213917977894	-1.24031657417089	1.24797404830968
EHI_025850A	1.22689367943677	-1.14311624029875	1.15743060139141
EHI_030820A	-1.05345555330389	1.14630931291943	-1.13323281383949
EHI_031240A	-2.07438003989386	2.1638402481657	-2.14900835405872
EHI_035670A	-2.01774910037572	2.11161087314344	-2.09825456203667
EHI_039020A	-2.55384933229972	2.6517072709135	-2.65198591601688
EHI_040310A	-1.35522587250844	1.42815248185481	-1.41097037476311
EHI_040820A	-2.95199379172723	3.06805493384639	-3.04673081822759
EHI_044610A	-2.65728297257116	2.79475330676041	-2.75832990345368
EHI_044830A	1.12869993664883	-1.04220598971969	1.0536116615632
EHI_048170A	-3.0404359619132	3.15248267033057	-3.13799030108093
