edgeR	NOISeq	DESeq2
EHI_006680A	1	1	1
EHI_089770A	1	1	1
EHI_158270A	0	1	1
EHI_179390A	0	1	1
EHI_001940A	0	1	0
EHI_005960A	0	1	0
EHI_006810A	0	1	0
EHI_006960A	0	1	0
EHI_007510A	0	1	0
EHI_007620A	0	1	0
EHI_010020A	0	1	0
EHI_010030A	0	1	0
EHI_010350A	0	1	0
EHI_012020A	0	1	0
EHI_013220A	0	1	0
EHI_014400A	0	1	0
EHI_017660A	0	1	0
EHI_017750A	0	1	0
EHI_023400A	0	1	0
EHI_024690A	0	1	0
EHI_025360A	0	1	0
EHI_025600A	0	1	0
EHI_025850A	0	1	0
EHI_030820A	0	1	0
EHI_031240A	0	1	0
EHI_035670A	0	1	0
EHI_039020A	0	1	0
EHI_040310A	0	1	0
EHI_040820A	0	1	0
EHI_044610A	0	1	0
EHI_044830A	0	1	0
EHI_048170A	0	1	0
EHI_049360A	0	1	0
EHI_050000A	0	0	1
EHI_054480A	0	1	0
EHI_054490A	0	1	0
EHI_058090A	0	1	0
EHI_062500A	0	1	0
EHI_062790A	0	1	0
EHI_067090A	0	1	0
EHI_068170A	0	1	0
EHI_069560A	0	1	0
EHI_069590A	0	1	0
EHI_073360A	0	1	0
EHI_074380A	0	1	0
EHI_075040A	0	1	0
EHI_076020A	0	1	0
EHI_087570A	0	1	0
EHI_090020A	0	1	0
EHI_092110A	0	1	0
EHI_093910A	0	1	0
EHI_095830A	0	1	0
EHI_098470A	0	1	0
EHI_099720A	0	1	0
EHI_099860A	0	1	0
EHI_103510A	0	1	0
EHI_104360A	0	1	0
EHI_105140A	0	1	0
EHI_105860A	0	1	0
EHI_110570A	0	1	0
EHI_110740A	0	1	0
EHI_112800A	0	1	0
EHI_112880A	0	1	0
EHI_114920A	0	1	0
EHI_117850A	0	1	0
EHI_118270A	0	1	0
EHI_118670A	0	1	0
EHI_119540A	0	1	0
EHI_126980A	0	1	0
EHI_129370A	0	1	0
EHI_131210A	0	1	0
EHI_131230A	0	1	0
EHI_134810A	0	1	0
EHI_135060A	0	1	0
EHI_135090A	0	1	0
EHI_137720A	0	1	0
EHI_138790A	0	1	0
EHI_141810A	0	1	0
EHI_144610A	0	1	0
EHI_147570A	0	1	0
EHI_148190A	0	1	0
EHI_148240A	0	1	0
EHI_148470A	0	1	0
EHI_155680A	0	1	0
EHI_156310A	0	1	0
EHI_156660A	0	1	0
EHI_157010A	0	1	0
EHI_158070A	0	1	0
EHI_158570A	0	1	0
EHI_163670A	0	1	0
EHI_166410A	0	1	0
EHI_167270A	0	1	0
EHI_167310A	0	1	0
EHI_169280A	0	1	0
EHI_169350A	0	1	0
EHI_174220A	0	1	0
EHI_174910A	0	1	0
EHI_176150A	0	1	0
EHI_176820A	0	1	0
EHI_177520A	0	1	0
EHI_178340A	0	1	0
EHI_178620A	0	1	0
EHI_180390A	0	1	0
EHI_186840A	0	1	0
EHI_187780A	0	1	0
EHI_188960A	0	1	0
EHI_193470A	0	1	0
EHI_194430A	0	1	0
EHI_195110A	0	1	0
EHI_197020A	0	1	0
EHI_197840A	0	1	0
EHI_197990A	0	1	0
EHI_198610A	0	1	0
EHI_198930A	0	1	0
EHI_200720A	0	1	0
