logFC	logCPM	PValue	FDR	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_035220A	-2.99343873904611	2.99020082714579	5.15233309110823e-05	0.0836574386089248	4	14	28	166	101	152	0.67503624153164	1.95232258510666	2.40618292823332	14.9467883542843	14.0820216037427	12.1684117966729	91.63	UP_pEhEx_DOWN_CDC5
EHI_095830A	-2.73058518121895	4.45629047091663	5.25926898212017e-05	0.0836574386089248	31	61	39	384	304	453	5.23153087187021	8.50654840653616	3.35146907861069	34.575703180995	42.3854907677009	36.2650693677159	91.63	UP_pEhEx_DOWN_CDC5
EHI_188960A	-2.34406220627705	8.87124023342336	5.21195732827177e-05	0.0836574386089248	798	1152	1940	7493	6979	8726	134.669730185562	160.648258431634	166.714102884737	674.676416497906	973.053750222977	698.562903537944	91.63	UP_pEhEx_DOWN_CDC5
EHI_109880A	-2.72215810552438	1.52830609320259	0.000103401493641578	0.123357981914403	4	5	8	39	41	58	0.67503624153164	0.697258066109522	0.687480836638091	3.51159485431981	5.71646421538072	4.64320976451991	87.66	UP_pEhEx_DOWN_CDC5
EHI_192420A	2.85830474166952	0.633059472647486	0.000133809817234627	0.127708089568728	16	13	31	6	1	3	2.70014496612656	1.81287097188476	2.6639882419726	0.540245362203047	0.1394259564727	0.240166022302754	87.23	DOWN_pEhEx_UP_CDC5
EHI_077520A	2.96402874757702	0.494094429986479	0.000201193904904872	0.160016219034342	10	14	32	5	2	1	1.6875906038291	1.95232258510666	2.74992334655236	0.450204468502539	0.278851912945401	0.0800553407675847	84	DOWN_pEhEx_UP_CDC5
EHI_117850A	-2.30206194315616	8.74977791995572	0.000298159182198096	0.20325937392133	716	1244	1639	7024	7714	5476	120.831487234164	173.477806848049	140.847636406229	632.447237352367	1075.53182823041	438.383046043294	79.67	UP_pEhEx_DOWN_CDC5
EHI_050640A	3.51168214243658	1.64129404245885	0.000546887776397414	0.305638568149208	28	35	75	4	8	0	4.72525369072148	4.88080646276665	6.4451328434821	0.360163574802032	1.1154076517816	0	69.44	DOWN_pEhEx_UP_CDC5
EHI_112800A	-2.40030927900551	4.48793359249489	0.00064048316879549	0.305638568149208	55	52	55	250	225	725	9.28174832106005	7.25148388753902	4.72643075188687	22.510223425127	31.3708402063576	58.0401220564989	69.44	UP_pEhEx_DOWN_CDC5
EHI_181610A	2.31876336865574	4.84799139438474	0.000627541341310836	0.305638568149208	279	262	690	139	82	59	47.0837778468319	36.5363226641389	59.2952221600353	12.5156842243706	11.4329284307614	4.7232651052875	69.44	DOWN_pEhEx_UP_CDC5
