logFC	logCPM	PValue	FDR	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_089770A	-8.35425173732803	1.27518570666331	4.43425752724791e-13	2.08011020603199e-09	0	0	0	51	35	47	0	0	0	4.41389142716231	4.60946177310937	4.07279121772996	100	UP_pEhEx_DOWN_CmasM
EHI_006680A	-8.64366442134945	1.53416910701457	9.85067772232103e-08	0.00023104764597704	0	0	0	80	60	14	0	0	0	6.92375125829382	7.90193446818749	1.21317185208978	99.98	UP_pEhEx_DOWN_CmasM
EHI_179390A	-2.20156331150154	4.64088474626149	0.000131003431566391	0.204845699159313	37	77	120	300	329	607	5.61265681104499	9.94590679322661	10.8301682264742	25.9640672186018	43.328940667228	52.599665301321	79.52	UP_pEhEx_DOWN_CmasM
EHI_050000A	-2.1733570171917	2.26488149305418	0.00040344422385604	0.473139213527171	14	11	16	54	73	95	2.12370798255756	1.4208438276038	1.44402243019656	4.67353209934833	9.61402026962811	8.23223756775205	52.69	UP_pEhEx_DOWN_CmasM
EHI_019860A	-3.0948805510382	2.4192911362205	0.00115795190727169	0.489769648768096	7	5	16	41	27	234	1.06185399127878	0.645838103456273	1.44402243019656	3.54842251987558	3.55587051068437	20.2773009563577	51.02	UP_pEhEx_DOWN_CmasM
EHI_035670A	-2.01774910037572	4.79375596919402	0.000938802461373748	0.489769648768096	75	59	151	284	294	797	11.3770070494155	7.62088962078402	13.62796168498	24.5793169669431	38.7194788941187	69.0641404368251	51.02	UP_pEhEx_DOWN_CmasM
EHI_077520A	2.53080259701416	0.155682141298789	0.00125287482097999	0.489769648768096	8	9	25	5	2	1	1.21354741860432	1.16250858622129	2.25628504718212	0.432734453643364	0.26339781560625	0.0866551322921268	51.02	DOWN_pEhEx_UP_CmasM
EHI_087730A	2.43487720554244	0.243597178976644	0.00123637074735285	0.489769648768096	11	14	17	6	3	0	1.66862770058094	1.80834668967757	1.53427383208384	0.519281344372036	0.395096723409374	0	51.02	DOWN_pEhEx_UP_CmasM
EHI_166410A	-2.91612239527418	0.812005308350467	0.00111882830015815	0.489769648768096	0	5	4	33	9	46	0	0.645838103456273	0.361005607549139	2.8560473940462	1.18529017022812	3.98613608543783	51.02	UP_pEhEx_DOWN_CmasM
EHI_172280A	-2.94339228658305	3.2725834632399	0.000527636551706019	0.489769648768096	6	32	16	135	227	100	0.910160563953242	4.13336386212015	1.44402243019656	11.6838302483708	29.8956520713093	8.66551322921268	51.02	UP_pEhEx_DOWN_CmasM
EHI_178340A	-2.29062988583471	7.92605832038638	0.00121599678456912	0.489769648768096	287	544	1479	1876	4864	4705	43.5360136424301	70.2671856560425	133.481823391294	162.36196700699	640.583487554399	407.712397434457	51.02	UP_pEhEx_DOWN_CmasM
EHI_181610A	2.03325356651755	4.57986594303229	0.000902367865192135	0.489769648768096	240	186	597	139	82	59	36.4064225581297	24.0251774485734	53.880086926709	12.0300178112855	10.7993104398562	5.11265280523548	51.02	DOWN_pEhEx_UP_CmasM
EHI_030150A	2.47022528706407	0.781570247857167	0.00166740573439144	0.601676946156173	14	17	37	5	7	1	2.12370798255756	2.19584955175133	3.33930186982954	0.432734453643364	0.921892354621873	0.0866551322921268	39.83	DOWN_pEhEx_UP_CmasM
EHI_010020A	-2.45992697044816	6.77767068466779	0.00216295917085156	0.676429431364312	131	202	609	610	1264	3885	19.8718389796458	26.0918593796334	54.9631037493564	52.7936033444904	166.46741946315	336.655188954913	32.36	UP_pEhEx_DOWN_CmasM
EHI_188960A	-1.53109067698488	9.0265745743388	0.00203017094284626	0.676429431364312	1117	2996	2743	7493	6979	8726	169.441558322629	386.986191590999	247.559595376822	648.495852229945	919.126677558008	756.152684381099	32.36	UP_pEhEx_DOWN_CmasM
EHI_000130A	-1.93532984948301	4.74572934729695	0.00384712590134221	0.753809123134837	35	94	172	236	368	666	5.30926995639391	12.1417563449779	15.523241124613	20.4250662119668	48.4651980715499	57.7123181065565	24.62	UP_pEhEx_DOWN_CmasM
EHI_006960A	-1.61719120648254	0.931176433491617	0.00345368730167622	0.753809123134837	5	6	10	25	22	30	0.758467136627702	0.775005724147528	0.902514018872848	2.16367226821682	2.89737597166874	2.5996539687638	24.62	UP_pEhEx_DOWN_CmasM
EHI_017660A	-2.14303804111639	4.81235446955808	0.00363926451705786	0.753809123134837	20	105	157	293	452	595	3.03386854651081	13.5626001725817	14.1694700963037	25.3582389835011	59.5279063270124	51.5598037138154	24.62	UP_pEhEx_DOWN_CmasM
EHI_058090A	-1.90233312751093	8.70695503426228	0.00432388046190821	0.753809123134837	882	1398	2376	3209	3393	14453	133.793602901127	180.576333726374	214.437330884189	277.728972348311	446.854394176002	1252.42662701811	24.62	UP_pEhEx_DOWN_CmasM
EHI_115270A	1.49774139395145	4.74389751555041	0.00433870098585389	0.753809123134837	279	242	490	144	147	115	42.3224662238258	31.2585642072836	44.2231869247695	12.4627522649289	19.3597394470593	9.96534021359458	24.62	DOWN_pEhEx_UP_CmasM
EHI_115400A	1.49774139395145	4.74389751555041	0.00433870098585389	0.753809123134837	279	242	490	144	147	115	42.3224662238258	31.2585642072836	44.2231869247695	12.4627522649289	19.3597394470593	9.96534021359458	24.62	DOWN_pEhEx_UP_CmasM
EHI_118670A	-2.21650121772173	3.82385650678303	0.00419591942979227	0.753809123134837	9	48	79	138	182	380	1.36524084592986	6.20004579318022	7.1298607490955	11.9434709205568	23.9692012201687	32.9289502710082	24.62	UP_pEhEx_DOWN_CmasM
EHI_148190A	-1.89726191323852	7.69509765505521	0.00361697991825271	0.753809123134837	346	686	1348	1695	2191	6277	52.485925854637	88.6089877942007	121.65888974406	146.6969797851	288.552306996646	543.93426539768	24.62	UP_pEhEx_DOWN_CmasM
EHI_151350A	-1.8439488653975	2.99328961766052	0.00372271031178931	0.753809123134837	12	35	41	99	75	206	1.82032112790648	4.52086672419391	3.70030747737868	8.5681421821386	9.87741808523436	17.8509572521781	24.62	UP_pEhEx_DOWN_CmasM
EHI_158270A	1.17970972134328	9.15714237407339	0.00416593288071029	0.753809123134837	5573	5158	9573	4054	2776	3834	845.387470485236	666.246587525491	863.976670266977	350.861095014039	365.596168061474	332.235777208014	24.62	DOWN_pEhEx_UP_CmasM
EHI_163670A	-1.51853374426616	8.58293397247827	0.00351312043899474	0.753809123134837	1116	1427	2673	3643	4428	9302	169.289864895303	184.32219472642	241.241997244712	315.290322924555	583.162763752237	806.066040581363	24.62	UP_pEhEx_DOWN_CmasM
EHI_194430A	-2.24850602982508	3.30231886630674	0.00290112696733542	0.753809123134837	8	27	58	92	117	282	1.21354741860432	3.48752575866388	5.23458130946252	7.96231394703789	15.4087722129656	24.4367473063798	24.62	UP_pEhEx_DOWN_CmasM
EHI_000620A	-2.08408262283906	1.51392548906232	0.00469760002440753	0.76071411956538	4	6	17	25	28	80	0.606773709302161	0.775005724147528	1.53427383208384	2.16367226821682	3.68756941848749	6.93241058337014	23.93	UP_pEhEx_DOWN_CmasM
EHI_074380A	-3.07224997617246	1.68806896174746	0.00470277328232701	0.76071411956538	0	11	5	49	71	30	0	1.4208438276038	0.451257009436424	4.24079764570496	9.35062245402186	2.5996539687638	23.93	UP_pEhEx_DOWN_CmasM
EHI_017750A	-1.87964242611945	6.65815719299246	0.00548585753134146	0.768522945691756	159	313	715	950	880	3200	24.1192549447609	40.4294652763627	64.5297523494086	82.2195461922391	115.89503886675	277.296423334806	23.15	UP_pEhEx_DOWN_CmasM
EHI_017890A	-1.58991732562547	1.5176167341757	0.0060616817289693	0.768522945691756	7	10	17	32	32	57	1.06185399127878	1.29167620691255	1.53427383208384	2.76950050331753	4.21436504969999	4.93934254065123	23.15	UP_pEhEx_DOWN_CmasM
EHI_031240A	-2.07438003989386	4.84275297325028	0.00540008582114782	0.768522945691756	62	77	148	191	226	1058	9.4049924941835	9.94590679322661	13.3572074793181	16.5304561291765	29.7639531635062	91.6811299650702	23.15	UP_pEhEx_DOWN_CmasM
EHI_055430A	-1.51688975413588	3.23850999055106	0.00583168422057867	0.768522945691756	30	34	59	100	110	206	4.55080281976621	4.39169910350266	5.3248327113498	8.65468907286727	14.4868798583437	17.8509572521781	23.15	UP_pEhEx_DOWN_CmasM
EHI_075040A	3.99374597716525	3.77878582744059	0.00497844562712405	0.768522945691756	117	223	331	1	1	52	17.7481309970882	28.8043794141498	29.8732140246913	0.0865468907286727	0.131698907803125	4.50606687919059	23.15	DOWN_pEhEx_UP_CmasM
EHI_099860A	-2.37401325490694	3.6220910298046	0.00580266854606218	0.768522945691756	6	24	84	117	162	339	0.910160563953242	3.10002289659011	7.58111775853192	10.1259862152547	21.3352230641062	29.376089847031	23.15	UP_pEhEx_DOWN_CmasM
EHI_140380A	1.77120280339435	2.63791259503116	0.00540071370997234	0.768522945691756	47	68	133	46	22	15	7.1295910843004	8.78339820700532	12.0034364510089	3.98115697351894	2.89737597166874	1.2998269843819	23.15	DOWN_pEhEx_UP_CmasM
EHI_191530A	-1.58991732562547	1.5176167341757	0.0060616817289693	0.768522945691756	7	10	17	32	32	57	1.06185399127878	1.29167620691255	1.53427383208384	2.76950050331753	4.21436504969999	4.93934254065123	23.15	UP_pEhEx_DOWN_CmasM
EHI_046600A	-1.66292750294105	3.4632606214659	0.00642854333942801	0.793586758033073	18	54	64	126	139	232	2.73048169185973	6.97505151732775	5.77608972078623	10.9049082318128	18.3061481846343	20.1039906917734	20.64	UP_pEhEx_DOWN_CmasM
