logFC	logCPM	PValue	FDR	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_033240A	-6.89699546643735	0.0614158590366463	4.03154307866177e-05	0.188958424096877	0	0	0	12	18	23	0	0	0	0.921729833963767	2.17311599516749	1.67652738453912	81.1	UP_pEhEx_DOWN_EhMyb10
EHI_000130A	-0.607932899385468	4.94964231879954	0.571740130399517	1	78	68	160	236	368	666	8.63641998521236	7.27020335424128	57.4148191405357	18.1273534012874	44.4281492345354	48.5464016566546	0	UP_pEhEx_DOWN_EhMyb10
EHI_000140A	-0.999014917571247	4.25571766445491	0.38686341490819	1	241	32	21	476	290	54	26.6843232876433	3.42127216670178	7.53569501219531	36.5619500805627	35.0113132554763	3.93619472891794	0	UP_pEhEx_DOWN_EhMyb10
EHI_000240A	1.55862582354453	8.46065348810251	0.219521104235925	1	949	543	3943	1584	1644	2955	105.076443153417	58.0547120787208	1414.91644919458	121.668338083217	198.477927558631	215.397322665787	0	DOWN_pEhEx_UP_EhMyb10
EHI_000250A	1.32044216656124	6.29156762422656	0.154104707939175	1	461	685	588	438	278	917	51.0434565792679	73.23660731846	210.999460341469	33.6431389396775	33.562569258698	66.842417896625	0	DOWN_pEhEx_UP_EhMyb10
EHI_000260A	1.74301816212973	4.08974265948053	0.0928013441607445	1	91	86	165	147	57	70	10.0758233160811	9.19466894801104	59.2090322386774	11.2911904660561	6.88153398469707	5.10247464859733	0	DOWN_pEhEx_UP_EhMyb10
EHI_000280A	-0.278190813029183	2.6926165174453	0.719973790061354	1	40	54	19	74	71	86	4.42893332574993	5.77339678130926	6.81800977293861	5.68400064277656	8.57173531427179	6.26875456827671	0	UP_pEhEx_DOWN_EhMyb10
EHI_000290A	-0.297648300979451	1.90696593603564	0.791519466419204	1	14	26	15	25	12	113	1.55012666401248	2.7797836354452	5.38263929442522	1.92027048742451	1.44874399677833	8.23685193273568	0	UP_pEhEx_DOWN_EhMyb10
EHI_000300A	-0.369846154065696	3.12817416952454	0.724117240806936	1	116	76	3	180	98	44	12.8439066446748	8.12552139591673	1.07652785888504	13.8259475094565	11.831409307023	3.20726977911832	0	UP_pEhEx_DOWN_EhMyb10
EHI_000410A	0.682312371685964	2.44212230295287	0.542455616991197	1	19	12	46	38	21	91	2.10374332973122	1.28297706251317	16.506760502904	2.91881114088526	2.53530199436208	6.63321704317652	0	DOWN_pEhEx_UP_EhMyb10
EHI_000430A	0.504411451843075	1.21838675382921	0.487150368866781	1	21	22	8	35	12	15	2.32518999601871	2.35212461460747	2.87074095702678	2.68837868239432	1.44874399677833	1.09338742469943	0	DOWN_pEhEx_UP_EhMyb10
EHI_000440A	-0.301728698733408	4.94015537112342	0.69308995769913	1	227	332	59	545	235	422	25.1341966236308	35.495698729531	21.1717145580725	41.8618966258544	28.3712366035756	30.7606328815439	0	UP_pEhEx_DOWN_EhMyb10
EHI_000480A	0.0297123549407328	1.16295427257932	1	1	24	18	4	34	19	16	2.65735999544996	1.92446559376975	1.43537047851339	2.61156786289734	2.29384466156569	1.16627991967939	0	DOWN_pEhEx_UP_EhMyb10
EHI_000510A	-0.30273696125324	9.81912753460291	0.756611277586528	1	12088	9033	339	12568	10304	10746	1338.42365104163	965.760983806787	121.64764805401	965.358379438051	1243.98817856699	783.302751054669	0	UP_pEhEx_DOWN_EhMyb10
EHI_000520A	-0.146264584917311	0.872252422202263	0.860970667285571	1	16	24	0	23	17	18	1.77157333029997	2.56595412502634	0	1.76664884843055	2.0523873287693	1.31206490963931	0	UP_pEhEx_DOWN_EhMyb10
EHI_000540A	-0.133279530057464	2.07073716628007	0.897446112205854	1	21	39	14	44	11	106	2.32518999601871	4.1696754531678	5.02379667479687	3.37967605786714	1.32801533038014	7.72660446787595	0	UP_pEhEx_DOWN_EhMyb10
EHI_000550A	-0.321508996963514	4.39447274311756	0.719803404039968	1	252	202	16	388	225	171	27.9022799522246	21.596780552305	5.74148191405357	29.8025979648285	27.1639499395937	12.4646166415735	0	UP_pEhEx_DOWN_EhMyb10
EHI_000560A	0.269329547266994	2.04519959580548	0.83431929041205	1	66	46	1	63	41	12	7.30773998748738	4.91807873963381	0.358842619628348	4.83908162830977	4.94987532232596	0.874709939759541	0	DOWN_pEhEx_UP_EhMyb10
EHI_000570A	-0.600585860472406	2.77077705181736	0.472024165716247	1	39	72	10	67	41	189	4.31820999260618	7.69786237507901	3.58842619628348	5.1463249062977	4.94987532232596	13.7766815512128	0	UP_pEhEx_DOWN_EhMyb10
EHI_000580A	0.136388789680892	3.97706182412059	0.870520358185825	1	179	192	23	187	100	247	19.8194766327309	20.5276330002107	8.253380251452	14.3636232459354	12.0728666398194	18.0044462600506	0	DOWN_pEhEx_UP_EhMyb10
EHI_000590A	0.00993286582184342	9.93266058668124	0.992632857091189	1	12628	13625	240	13989	9838	9040	1398.21425093925	1456.71353972849	86.1222287108035	1074.50655394326	1187.72862002543	658.948154618855	0	DOWN_pEhEx_UP_EhMyb10
EHI_000610A	0.684458977300457	8.46590249846561	0.496061115977759	1	1800	1347	2687	1952	2279	5326	199.301999658747	144.014175267103	964.210118941371	149.934719658106	275.140630721484	388.225428263277	0	DOWN_pEhEx_UP_EhMyb10
EHI_000620A	-0.542059697273379	1.74654934256483	0.693129886811268	1	9	2	19	25	28	80	0.996509998293734	0.213829510418861	6.81800977293861	1.92027048742451	3.38040265914944	5.83139959839694	0	UP_pEhEx_DOWN_EhMyb10
EHI_000640A	2.3244637761966	3.97782675129789	0.364840055454005	1	5	8	216	2	0	213	0.553616665718741	0.855318041675445	77.5100058397232	0.153621638993961	0	15.5261014307319	0	DOWN_pEhEx_UP_EhMyb10
EHI_000650A	-0.111160256643017	2.67592731367457	0.875665606795358	1	53	64	14	103	53	68	5.86833665661866	6.84254433340356	5.02379667479687	7.911514408189	6.39861931910429	4.9566896586374	0	UP_pEhEx_DOWN_EhMyb10
EHI_000660A	0.0603479207294283	1.05669549629864	1	1	23	21	2	33	9	26	2.54663666230621	2.24520985939804	0.717685239256696	2.53475704340036	1.08655799758375	1.89520486947901	0	DOWN_pEhEx_UP_EhMyb10
EHI_000670A	0.515659816684922	2.34105400603661	0.684867214491183	1	10	33	36	11	10	137	1.10723333143748	3.52818692191121	12.9183343066205	0.844919014466786	1.20728666398194	9.98627181225477	0	DOWN_pEhEx_UP_EhMyb10
EHI_000690A	-4.65466338578297	3.15710051134488	0.0762988753914565	1	17	0	0	184	298	0	1.88229666344372	0	0	14.1331907874444	35.9771425866619	0	0	UP_pEhEx_DOWN_EhMyb10
