logFC	logCPM	PValue	FDR	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000130A	0.197841548193283	5.52963097868735	0.84960012518224	1	44	632	562	236	368	666	5.86618345520525	52.5215368907767	89.0263916536754	20.8993623524895	50.0405725754645	57.5682617699607	0	DOWN_pEhEx_UP_UmasM
EHI_000140A	-0.451533783500562	4.64938837437582	0.69394507107833	1	98	547	28	476	290	54	13.0655904229572	45.4577225937577	4.4354785877276	42.1529511855296	39.4341468665346	4.66769690026709	0	UP_pEhEx_DOWN_UmasM
EHI_000240A	0.611822937539485	8.02868206055643	0.530000282755282	1	620	1719	4551	1584	1644	2955	82.6598577778922	142.855256195008	720.923680455296	140.273686298065	223.550818788217	255.426747042393	0	DOWN_pEhEx_UP_UmasM
EHI_000250A	0.762173160913188	6.13453931578899	0.399470185896251	1	587	314	1011	438	278	917	78.2602201864882	26.0945610501644	160.152459006879	38.7877996202982	37.8023890651607	79.264408473054	0	DOWN_pEhEx_UP_UmasM
EHI_000260A	0.541749995869851	3.48499166422689	0.478660716391678	1	99	142	89	147	57	70	13.1989127742118	11.8007250609024	14.0984855109913	13.0178231602371	7.75084955652576	6.05071820404993	0	DOWN_pEhEx_UP_UmasM
EHI_000280A	-0.451576230126333	2.81242498747111	0.551166312457435	1	48	88	22	74	71	86	6.39947286022391	7.31312538985498	3.4850188903574	6.55318989018737	9.65456699146191	7.43373950783277	0	UP_pEhEx_DOWN_UmasM
EHI_000290A	-0.137970590247066	2.1895161367366	0.910869283903422	1	22	29	45	25	12	113	2.93309172760263	2.41000723074766	7.1284477302765	2.21391550344168	1.63175780137384	9.76758795796631	0	UP_pEhEx_DOWN_UmasM
EHI_000300A	-0.418313913177487	3.29918443595345	0.68199271874824	1	67	170	10	180	98	44	8.93259753406254	14.127628594038	1.584099495617	15.9401916247801	13.3260220445531	3.80330858540281	0	UP_pEhEx_DOWN_UmasM
EHI_000410A	0.448077251130971	2.5296708064865	0.648645301222381	1	17	36	89	38	21	91	2.2664799713293	2.99173311403158	14.0984855109913	3.36515156523135	2.85557615240423	7.8659336652649	0	DOWN_pEhEx_UP_UmasM
EHI_000430A	0.629628488496435	1.47278363437401	0.460371242656212	1	26	53	9	35	12	15	3.46638113262128	4.40449597343538	1.4256895460553	3.09948170481835	1.63175780137384	1.29658247229641	0	DOWN_pEhEx_UP_UmasM
