logFC	AveExpr	t	P.Value	adj.P.Val	B	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000130A	-1.70434613971499	4.39240624182408	-2.15310791810364	0.0666900454876814	0.728802950726254	-4.56407239854135	51	35	397	236	368	666	8.60671207952841	4.88080646276665	34.1162365181653	21.2496509133199	51.3087519819538	53.3168569512114	27.12	UP_pEhEx_DOWN_CDC5
EHI_000240A	-0.867389140293544	7.19399987977534	-2.00417620707885	0.0833991696088873	0.728802950726254	-4.56449293087478	616	642	1589	1584	1644	2955	103.955581195873	89.5279356884626	136.550881177241	142.624775621604	229.21627244112	236.563531968213	27.12	UP_pEhEx_DOWN_CDC5
EHI_000260A	-2.32191443381574	1.97799615836189	-1.88899905317813	0.099080025612478	0.728802950726254	-4.57712329876083	9	92	3	147	57	70	1.51883154344619	12.8295484164152	0.257805313739284	13.2360113739747	7.94727951894393	5.60387385373093	27.12	UP_pEhEx_DOWN_CDC5
EHI_000560A	1.68081300077307	2.50237709842368	2.20169194414786	0.0619944180020286	0.728802950726254	-4.56837739410637	57	57	149	63	41	12	9.61926644182587	7.94874195364855	12.8043305823844	5.672576303132	5.71646421538072	0.960664089211016	27.12	DOWN_pEhEx_UP_CDC5
EHI_000620A	-2.52940520102471	0.51252294429242	-2.34397716970782	0.0500659859603735	0.728802950726254	-4.58016571048347	1	1	31	25	28	80	0.16875906038291	0.139451613221904	2.6639882419726	2.2510223425127	3.90392678123561	6.40442726140678	27.12	UP_pEhEx_DOWN_CDC5
EHI_000730A	-2.01966178581642	6.00398277008765	-2.92581937035037	0.0211297336602718	0.728802950726254	-4.54135098054717	260	412	151	916	835	2757	43.8773556995566	57.4540646474246	12.976200791544	82.4774586296652	116.420673654705	220.712574496231	27.12	UP_pEhEx_DOWN_CDC5
EHI_000740A	1.19561836728687	3.52712371153319	2.08284161912135	0.0741144765593714	0.728802950726254	-4.56780929543969	115	106	208	124	79	45	19.4072919440347	14.7818710015219	17.8745017525904	11.165070818863	11.0146505613433	3.60249033454131	27.12	DOWN_pEhEx_UP_CDC5
EHI_001060A	-2.20026037386962	-0.18644132482938	-2.24797182841664	0.0578296102561606	0.728802950726254	-4.58321920461971	0	3	15	22	16	22	0	0.418354839665713	1.28902656869642	1.98089966141117	2.23081530356321	1.76121749688686	27.12	UP_pEhEx_DOWN_CDC5
EHI_001130A	3.14814042395175	7.15296744037669	2.08928167315349	0.0734011961895939	0.728802950726254	-4.56159289727912	2675	2149	6443	1537	1816	39	451.430486524284	299.681516813872	553.679878807402	138.392853617681	253.197536954424	3.1221582899358	27.12	DOWN_pEhEx_UP_CDC5
EHI_001830A	-0.948367332169689	2.27000290987547	-1.83738805036917	0.107000960980497	0.728802950726254	-4.57688987782665	25	31	26	70	39	104	4.21897650957275	4.32300000987903	2.23431271907379	6.30286255903555	5.43761230243532	8.32575543982881	27.12	UP_pEhEx_DOWN_CDC5
