logFC	AveExpr	t	P.Value	adj.P.Val	B	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_089770A	-6.1861629248825	-0.953481270118501	-9.6615648888621	3.03582405050902e-05	0.142410506209378	-3.89880252308394	0	0	0	51	35	47	0	0	0	4.41389142716231	4.60946177310937	4.07279121772996	85.76	UP_pEhEx_DOWN_CmasM
EHI_000130A	-1.89618161016404	4.30118824453081	-3.25851233352185	0.0142695083039321	0.710207247707873	-3.43045631134257	35	94	172	236	368	666	5.30926995639391	12.1417563449779	15.523241124613	20.4250662119668	48.4651980715499	57.7123181065565	28.98	UP_pEhEx_DOWN_CmasM
EHI_000240A	-0.861852983815359	7.18670167698822	-2.31243795136342	0.0546904202391588	0.710207247707873	-3.85085592395849	541	1118	1173	1584	1644	2955	82.0661441831173	144.409399932823	105.864894413785	137.090274914218	216.513004428337	256.065915923235	28.98	UP_pEhEx_DOWN_CmasM
EHI_000410A	-0.815553156181318	1.66471643168135	-1.5184974601523	0.173497906321592	0.710207247707873	-4.42764912509146	12	19	31	38	21	91	1.82032112790648	2.45418479313384	2.79779345850583	3.28878184768956	2.76567706386562	7.88561703858354	28.98	UP_pEhEx_DOWN_CmasM
EHI_000430A	0.664938546334772	1.2654201133861	1.41682761359961	0.200260057319655	0.710207247707873	-4.47674308759374	21	24	30	35	12	15	3.18556197383635	3.10002289659011	2.70754205661854	3.02914117550355	1.5803868936375	1.2998269843819	28.98	DOWN_pEhEx_UP_CmasM
EHI_000560A	1.33629439569158	2.31615213754263	1.86430982573691	0.105359920342494	0.710207247707873	-4.24288244959754	32	74	109	63	41	12	4.85418967441729	9.55840393115284	9.83740280571404	5.45245411590638	5.39965521992812	1.03986158750552	28.98	DOWN_pEhEx_UP_CmasM
EHI_000590A	0.586612668364996	10.3570786107907	2.03024270358124	0.0826636759542014	0.710207247707873	-4.01266511985273	12053	11376	17080	13989	9838	9040	1828.36087955474	1469.41085298371	1541.49394423482	1210.7044544034	1295.65385496714	783.362395920826	28.98	DOWN_pEhEx_UP_CmasM
EHI_000610A	-0.690664579762664	7.813923421409	-1.6547208414946	0.142781223668664	0.710207247707873	-4.31412627434853	1247	1211	2074	1952	2279	5326	189.161703874949	156.421988657109	187.181407514229	168.939530702369	300.141810883321	461.525234587867	28.98	UP_pEhEx_DOWN_CmasM
EHI_000620A	-1.90108600775021	0.951481515841562	-2.7036076159755	0.031038898637312	0.710207247707873	-4.06908240390854	4	6	17	25	28	80	0.606773709302161	0.775005724147528	1.53427383208384	2.16367226821682	3.68756941848749	6.93241058337014	28.98	UP_pEhEx_DOWN_CmasM
EHI_000700A	0.536852346902599	2.71852310238014	1.25565974617259	0.25027197757667	0.710207247707873	-4.55221850135377	60	63	73	79	52	39	9.10160563953242	8.13756010354904	6.58835233777179	6.83720436756515	6.84834320576249	3.37955015939295	28.98	DOWN_pEhEx_UP_CmasM
EHI_000730A	-0.860820078235133	6.56636505473071	-1.79105587915849	0.117218463503785	0.710207247707873	-4.2214597705664	409	451	1062	916	835	2757	62.042611776146	58.2545969317558	95.8469888042964	79.2769519074642	109.968588015609	238.908199729394	28.98	UP_pEhEx_DOWN_CmasM
EHI_000740A	0.928104325048689	3.39083719019701	1.86473025418005	0.105295338110534	0.710207247707873	-4.21292590985164	123	86	158	124	79	45	18.6582915610415	11.1084153794479	14.259721498191	10.7318144503554	10.4042137164469	3.89948095314571	28.98	DOWN_pEhEx_UP_CmasM
EHI_000780A	1.82276977547185	1.17076733903822	1.82268805531093	0.111947387083529	0.710207247707873	-4.31338991080119	19	37	48	28	29	2	2.88217511918527	4.77920196557642	4.33206729058967	2.42331294040284	3.81926832629062	0.173310264584254	28.98	DOWN_pEhEx_UP_CmasM
EHI_000900A	-1.01125105289126	1.71254058562557	-1.37038432044928	0.213677732497032	0.710207247707873	-4.49550156885506	11	10	53	27	35	112	1.66862770058094	1.29167620691255	4.78332430002609	2.33676604967416	4.60946177310937	9.7053748167182	28.98	UP_pEhEx_DOWN_CmasM
EHI_001060A	-2.5410820272132	-0.288761391577706	-2.71950964701503	0.0303403833231405	0.710207247707873	-4.27533814572689	5	0	7	22	16	22	0.758467136627702	0	0.631759813210993	1.9040315960308	2.10718252485	1.90641291042679	28.98	UP_pEhEx_DOWN_CmasM
EHI_001130A	2.59206967432596	6.86018715485553	1.79383742823703	0.116745526210217	0.710207247707873	-4.21718724951422	1387	2217	4147	1537	1816	39	210.398783700524	286.364615072512	374.27256362657	133.02257104997	239.165216570475	3.37955015939295	28.98	DOWN_pEhEx_UP_CmasM
EHI_001150A	0.852810666266826	2.97770424904106	1.64676589221392	0.144425272618619	0.710207247707873	-4.34484560822986	79	100	85	115	47	36	11.9837807587177	12.9167620691255	7.67136916041921	9.95289243379736	6.18984866674686	3.11958476251657	28.98	DOWN_pEhEx_UP_CmasM
EHI_001430A	1.03509120156923	0.267550214881691	1.33635311132837	0.224009660622502	0.710207247707873	-4.52154772655985	7	16	19	12	16	3	1.06185399127878	2.06668193106007	1.71477663585841	1.03856268874407	2.10718252485	0.25996539687638	28.98	DOWN_pEhEx_UP_CmasM
EHI_001830A	-0.492651025092622	2.48087209710839	-1.23940840001279	0.255870964967636	0.710207247707873	-4.55875774841543	34	29	58	70	39	104	5.15757652906837	3.74586100004638	5.23458130946252	6.05828235100709	5.13625740432187	9.01213375838119	28.98	UP_pEhEx_DOWN_CmasM
EHI_001940A	-1.39489702852314	6.75754776511375	-2.44899486396455	0.0448231557792648	0.710207247707873	-3.76599933459043	206	713	1132	1316	1251	3341	31.2488460290613	92.0965135528646	102.164586936406	113.895708198933	164.755333661709	289.514796987996	28.98	UP_pEhEx_DOWN_CmasM
EHI_002110A	0.857344787441313	3.79247833550803	1.52399250602079	0.172148888534293	0.710207247707873	-4.40708961340941	108	187	179	227	89	54	16.3828901511584	24.1543450692646	16.155000937824	19.6461441954087	11.7212027944781	4.67937714377485	28.98	DOWN_pEhEx_UP_CmasM
EHI_002180A	0.838767590441684	5.90811346675915	2.34649072543003	0.052038443057939	0.710207247707873	-3.84962865801504	569	654	788	784	300	387	86.3135601482325	84.4756239320805	71.1181046871804	67.8527623312794	39.5096723409374	33.5355361970531	28.98	DOWN_pEhEx_UP_CmasM
EHI_002190A	2.47773189035194	4.08930013143756	1.67832611546156	0.138005906473395	0.710207247707873	-4.31398616694026	110	496	595	185	353	6	16.6862770058094	64.0671398628623	53.6995841229344	16.0111747848045	46.489714454503	0.519930793752761	28.98	DOWN_pEhEx_UP_CmasM
EHI_002200A	1.57175448301517	4.00415907804205	1.91658145917412	0.0976193599312702	0.710207247707873	-4.16681900366016	212	235	233	253	124	26	32.1590065930146	30.3543908624448	21.0285766397374	21.8963633543542	16.3306645675875	2.2530334395953	28.98	DOWN_pEhEx_UP_CmasM
EHI_002670A	-0.842568403321638	5.08564119407806	-1.92083982935513	0.097013830018787	0.710207247707873	-4.14302552214912	166	187	295	352	282	955	25.1811089360397	24.1543450692646	26.624163556749	30.4645055364928	37.1390920004812	82.7556513389811	28.98	UP_pEhEx_DOWN_CmasM
EHI_002990A	0.678880902870902	2.37263649483607	1.24041452113266	0.25552124819297	0.710207247707873	-4.55764549061415	40	47	81	83	37	22	6.06773709302161	6.07087817248897	7.31036355287007	7.18339193047984	4.87285958871562	1.90641291042679	28.98	DOWN_pEhEx_UP_CmasM
EHI_003000A	0.450119662727158	3.44595119303398	1.24525869125753	0.253843177128048	0.710207247707873	-4.5640917968464	110	79	135	100	60	132	16.6862770058094	10.2042420346091	12.1839392547834	8.65468907286727	7.90193446818749	11.4384774625607	28.98	DOWN_pEhEx_UP_CmasM
EHI_003010A	-0.433271986535942	6.64429544951508	-1.38886897241152	0.208244408916369	0.710207247707873	-4.49670389118385	537	848	789	1226	1076	1206	81.4593704738152	109.534142346184	71.2083560890677	106.106488033353	141.708024796162	104.506089544305	28.98	UP_pEhEx_DOWN_CmasM
EHI_003040A	-0.701599946584683	0.783947322653018	-1.3018168928147	0.234940836587654	0.710207247707873	-4.52784446809862	11	9	13	19	12	41	1.66862770058094	1.16250858622129	1.1732682245347	1.64439092384478	1.5803868936375	3.5528604239772	28.98	UP_pEhEx_DOWN_CmasM
EHI_003240.mRNA	2.77418315980608	0.605526719301069	1.64627453580113	0.1445274027948	0.710207247707873	-4.43358146088506	55	10	59	74	5	0	8.34313850290472	1.29167620691255	5.3248327113498	6.40446991392178	0.658494539015624	0	28.98	DOWN_pEhEx_UP_CmasM
EHI_003930A	1.86604843433898	3.41681657735734	1.65054269821995	0.143642512449286	0.710207247707873	-4.33694368840936	95	185	252	137	162	8	14.4108755959263	23.8960098278821	22.7433532755958	11.8569240298282	21.3352230641062	0.693241058337014	28.98	DOWN_pEhEx_UP_CmasM
EHI_004170A	-0.649240884770054	6.66748348593972	-2.05815905345716	0.079351761602482	0.710207247707873	-4.03483417962478	438	702	975	1137	1165	1585	66.4417211685867	90.6756697252608	87.9951168401027	98.4038147585009	153.42922759064	137.348384683021	28.98	UP_pEhEx_DOWN_CmasM
EHI_004230A	-0.380110643390819	5.62454028299874	-1.23952708367277	0.255829690569359	0.710207247707873	-4.58839621323342	293	355	437	640	543	519	44.4461742063833	45.8545053453954	39.4398626247434	55.3900100663505	71.5125069370967	44.9740136596138	28.98	UP_pEhEx_DOWN_CmasM
EHI_004400A	-0.704238658463746	4.38996640362792	-1.52532662441196	0.171822822189156	0.710207247707873	-4.40476488771642	59	143	282	233	227	379	8.94991221220688	18.4709697588494	25.4508953322143	20.1654255397807	29.8956520713093	32.8422951387161	28.98	UP_pEhEx_DOWN_CmasM
EHI_004430A	1.39841667118857	2.96101406933489	1.97834798440601	0.0891886715371988	0.710207247707873	-4.16254699625736	91	172	73	79	61	22	13.8041018866242	22.2168307588958	6.58835233777179	6.83720436756515	8.03363337599061	1.90641291042679	28.98	DOWN_pEhEx_UP_CmasM
EHI_004440A	-2.70266524672521	2.08429153063983	-1.71086366263561	0.131670698375659	0.710207247707873	-4.34461442850911	51	0	88	188	97	79	7.73636479360256	0	7.94212336608106	16.2708154569905	12.7747940569031	6.84575545107802	28.98	UP_pEhEx_DOWN_CmasM
EHI_004470A	0.802588211524504	0.419526189847757	1.46750777078799	0.186484624046048	0.710207247707873	-4.47515887623994	12	17	15	18	5	9	1.82032112790648	2.19584955175133	1.35377102830927	1.55784403311611	0.658494539015624	0.779896190629141	28.98	DOWN_pEhEx_UP_CmasM
EHI_004530A	1.88359333688312	2.9857441622419	2.20835932062973	0.0636807756834797	0.710207247707873	-4.03744088049176	106	115	157	109	63	10	16.0795032965073	14.8542763794943	14.1694700963037	9.43361108942533	8.29703119159686	0.866551322921268	28.98	DOWN_pEhEx_UP_CmasM
EHI_004600A	-0.583634188082027	6.6133546866632	-1.46521143581708	0.187089779917017	0.710207247707873	-4.44569755637121	494	571	1022	905	864	2229	74.9365530988169	73.7547114147064	92.236932728805	78.3249361094488	113.7878563419	193.154289879151	28.98	UP_pEhEx_DOWN_CmasM
EHI_004640A	0.852579291397934	3.77516899701327	1.74899186616333	0.124598729032261	0.710207247707873	-4.27217441618582	141	142	174	191	92	60	21.3887732529012	18.3418021381582	15.7037439283875	16.5304561291765	12.1162995178875	5.19930793752761	28.98	DOWN_pEhEx_UP_CmasM
EHI_004750A	1.0515802950053	4.84647899742561	1.29723179146173	0.236426493676656	0.710207247707873	-4.54827124501458	226	390	439	473	301	58	34.2827145755721	50.3753720695893	39.620365428518	40.9366793146622	39.6413712487406	5.02599767294335	28.98	DOWN_pEhEx_UP_CmasM
EHI_004840A	-0.776390672391753	7.14291548492809	-2.01579070048513	0.0844317734032475	0.710207247707873	-4.05892999900982	533	843	1570	1463	1494	2951	80.852596764513	108.888304242728	141.694700963037	126.618101136048	196.758168257868	255.719295394066	28.98	UP_pEhEx_DOWN_CmasM
EHI_004880A	-0.781522515646473	5.45568486107423	-2.30598905023775	0.055207983703833	0.710207247707873	-3.88308884471251	195	250	430	474	496	823	29.5802183284804	32.2919051728137	38.8081028115325	41.0232262053909	65.3226582703499	71.3171738764204	28.98	UP_pEhEx_DOWN_CmasM
EHI_004960A	0.959332229852663	4.098868516582	1.73321834663388	0.127479303234082	0.710207247707873	-4.27656971611728	128	174	332	229	135	62	19.4167586976692	22.4751660002783	29.9634654265785	19.8192379768661	17.7793525534218	5.37261820211186	28.98	DOWN_pEhEx_UP_CmasM
