logFC	AveExpr	t	P.Value	adj.P.Val	B	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000130A	-1.24621691087431	4.51682569771087	-1.38971921550045	0.207850985455355	0.999791217706948	-4.58776850386042	78	68	160	236	368	666	8.63641998521236	7.27020335424128	57.4148191405357	18.1273534012874	44.4281492345354	48.5464016566546	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000140A	-0.925477954018469	3.63360277473751	-0.802455238879808	0.449071439248208	0.999791217706948	-4.5984208011508	241	32	21	476	290	54	26.6843232876433	3.42127216670178	7.53569501219531	36.5619500805627	35.0113132554763	3.93619472891794	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000240A	0.211009834893706	7.55917445079197	0.180407144388459	0.862022991913879	0.999791217706948	-4.60559983259897	949	543	3943	1584	1644	2955	105.076443153417	58.0547120787208	1414.91644919458	121.668338083217	198.477927558631	215.397322665787	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000250A	1.14336355048323	5.96697046929102	1.64957677594853	0.143688918335299	0.999791217706948	-4.58226764012288	461	685	588	438	278	917	51.0434565792679	73.23660731846	210.999460341469	33.6431389396775	33.562569258698	66.842417896625	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000260A	1.16843298902232	3.51680360668128	1.4012844566188	0.204517347125402	0.999791217706948	-4.58776675124809	91	86	165	147	57	70	10.0758233160811	9.19466894801104	59.2090322386774	11.2911904660561	6.88153398469707	5.10247464859733	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000280A	-0.267075761811368	2.6328830418614	-0.518154039747158	0.620564258657921	0.999791217706948	-4.60156602581243	40	54	19	74	71	86	4.42893332574993	5.77339678130926	6.81800977293861	5.68400064277656	8.57173531427179	6.26875456827671	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000290A	-0.122564593514629	1.54552023314702	-0.140609960671249	0.892199351221025	0.999791217706948	-4.60289338964908	14	26	15	25	12	113	1.55012666401248	2.7797836354452	5.38263929442522	1.92027048742451	1.44874399677833	8.23685193273568	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000300A	-0.513938589638677	2.68546046774697	-0.505230036184657	0.62914917977713	0.999791217706948	-4.60169583171737	116	76	3	180	98	44	12.8439066446748	8.12552139591673	1.07652785888504	13.8259475094565	11.831409307023	3.20726977911832	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000410A	-0.263906139538854	1.87789366219889	-0.268409990416188	0.796240173949927	0.999791217706948	-4.6027633167113	19	12	46	38	21	91	2.10374332973122	1.28297706251317	16.506760502904	2.91881114088526	2.53530199436208	6.63321704317652	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000430A	0.600898502458303	1.05726232195262	0.983829470640353	0.358468596259262	0.999791217706948	-4.59537673236605	21	22	8	35	12	15	2.32518999601871	2.35212461460747	2.87074095702678	2.68837868239432	1.44874399677833	1.09338742469943	0.02	DOWN_pEhEx_UP_EhMyb10
