logFC	AveExpr	t	P.Value	adj.P.Val	B	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000130A	-0.377285751768913	5.10764255670873	-0.357094563245519	0.731573562364159	0.99987725339431	-4.60482765894072	44	632	562	236	368	666	5.86618345520525	52.5215368907767	89.0263916536754	20.8993623524895	50.0405725754645	57.5682617699607	0.01	UP_pEhEx_DOWN_UmasM
EHI_000140A	-0.428732204537368	4.05606346271292	-0.366517322463192	0.724837342276623	0.99987725339431	-4.60407673959174	98	547	28	476	290	54	13.0655904229572	45.4577225937577	4.4354785877276	42.1529511855296	39.4341468665346	4.66769690026709	0.01	UP_pEhEx_DOWN_UmasM
EHI_000240A	0.0111839694989045	7.65957193575745	0.0134022398183682	0.989681915912951	0.99987725339431	-4.60778625159012	620	1719	4551	1584	1644	2955	82.6598577778922	142.855256195008	720.923680455296	140.273686298065	223.550818788217	255.426747042393	0.01	DOWN_pEhEx_UP_UmasM
EHI_000250A	0.486022424610289	5.85916424274696	0.634266615225025	0.546124679487835	0.99987725339431	-4.60168069458754	587	314	1011	438	278	917	78.2602201864882	26.0945610501644	160.152459006879	38.7877996202982	37.8023890651607	79.264408473054	0.01	DOWN_pEhEx_UP_UmasM
EHI_000260A	0.605079018998957	3.40044729342148	1.14345782847804	0.290546521480585	0.99987725339431	-4.59269009072906	99	142	89	147	57	70	13.1989127742118	11.8007250609024	14.0984855109913	13.0178231602371	7.75084955652576	6.05071820404993	0.01	DOWN_pEhEx_UP_UmasM
EHI_000280A	-0.477085894627156	2.71847537992559	-0.860522704893247	0.418076542896414	0.99987725339431	-4.59728515229695	48	88	22	74	71	86	6.39947286022391	7.31312538985498	3.4850188903574	6.55318989018737	9.65456699146191	7.43373950783277	0.01	UP_pEhEx_DOWN_UmasM
EHI_000290A	0.12205980383366	1.8271555851673	0.141661793570429	0.891349293958297	0.99987725339431	-4.60311290123015	22	29	45	25	12	113	2.93309172760263	2.41000723074766	7.1284477302765	2.21391550344168	1.63175780137384	9.76758795796631	0.01	DOWN_pEhEx_UP_UmasM
EHI_000300A	-0.589878403749066	2.9023689887067	-0.600748154859325	0.566995553417606	0.99987725339431	-4.60073413054817	67	170	10	180	98	44	8.93259753406254	14.127628594038	1.584099495617	15.9401916247801	13.3260220445531	3.80330858540281	0.01	UP_pEhEx_DOWN_UmasM
EHI_000410A	0.0811352513091713	2.15824786547446	0.0947467653502947	0.927178627415429	0.99987725339431	-4.60348689528758	17	36	89	38	21	91	2.2664799713293	2.99173311403158	14.0984855109913	3.36515156523135	2.85557615240423	7.8659336652649	0.01	DOWN_pEhEx_UP_UmasM
EHI_000430A	0.594866197522454	1.23382121335845	0.853369102579003	0.421771574753134	0.99987725339431	-4.59703712167069	26	53	9	35	12	15	3.46638113262128	4.40449597343538	1.4256895460553	3.09948170481835	1.63175780137384	1.29658247229641	0.01	DOWN_pEhEx_UP_UmasM
