baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1.1	CDC5_2.1	CDC5_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_188960A	3861.58640304809	-2.32477662208478	0.39961891522598	-5.81748394159507	5.9739999107555e-09	2.35315856484659e-05	798	1152	1940	7493	6979	8726	1135.89586321599	1349.40790087219	1370.92717630416	5395.266961187	7801.0910957206	6116.92942098862	100	UP_pEhEx_DOWN_CDC5
EHI_095830A	179.499626454964	-2.77755178029929	0.50418571760135	-5.50898544590556	3.60907741473891e-08	7.10807796832828e-05	31	61	39	384	304	453	44.1262804006211	71.4530225288226	27.5598762246712	276.49573109513	339.809670883946	317.55317759659	99.99	UP_pEhEx_DOWN_CDC5
EHI_035220A	63.4759162894729	-3.02703557563966	0.590637735118026	-5.12502909255328	2.97491807377034e-07	0.000390606743086046	4	14	28	166	101	152	5.69371360008014	16.3990543508773	19.7865778023281	119.526800421332	112.897291971311	106.552059590909	99.96	UP_pEhEx_DOWN_CDC5
EHI_117850A	3525.58093466515	-2.22091993944021	0.46576668191782	-4.76831002658982	1.85777741233865e-06	0.00182944630680048	716	1244	1639	7024	7714	5476	1019.17473441435	1457.17311517796	1158.22146492913	5057.56774794842	8622.67039868014	3838.6781468409	99.82	UP_pEhEx_DOWN_CDC5
EHI_103310A	1257.73247563688	-2.31922958309214	0.504406533453051	-4.59793723767856	4.26694482586202e-06	0.00313722810203128	237	652	145	3240	3191	632	337.352530804748	763.727388340858	102.466206476342	2332.93273111516	3566.88374931142	443.032247772726	99.69	UP_pEhEx_DOWN_CDC5
EHI_181610A	237.45580455021	2.41997420844021	0.529039944090543	4.57427503437442	4.77871759639189e-06	0.00313722810203128	279	262	690	139	82	59	397.13652360559	306.896588566418	487.597810128799	100.085694328706	91.6591875410645	41.3590231306817	99.69	DOWN_pEhEx_UP_CDC5
EHI_194430A	77.6372628580407	-2.53716087883248	0.560747123148685	-4.52460792769817	6.0507569682322e-06	0.00340484738540952	8	16	58	92	117	282	11.3874272001603	18.7417764010026	40.9864825905367	66.2437689082082	130.782011491519	197.682110556818	99.66	UP_pEhEx_DOWN_CDC5
EHI_065340A	289.06671161599	-2.69592556545542	0.61540242038097	-4.38075229503726	1.18270261760627e-05	0.00582333201343885	62	151	29	696	511	537	88.2525608012422	176.875514784462	20.4932412952683	501.148512609923	571.193229676634	376.437210528408	99.42	UP_pEhEx_DOWN_CDC5
EHI_099860A	101.691605728556	-3.12828972051266	0.730960648845878	-4.27969648633199	1.87148354638845e-05	0.00819085965469344	5	7	130	117	162	339	7.11714200010018	8.19952717543866	91.8662540822374	84.2447930680474	181.082785142103	237.639132903408	99.18	UP_pEhEx_DOWN_CDC5
EHI_010020A	929.656301775254	-2.4347615237611	0.572459065240231	-4.25316266542021	2.10772353657767e-05	0.00830232301057946	96	128	1013	610	1264	3885	136.649126401923	149.934211208021	715.850118348512	439.224989500076	1412.89284209641	2723.38652309658	99.17	UP_pEhEx_DOWN_CDC5
EHI_103900A	161.664706502147	3.81858879720524	0.921062370450609	4.14585257167446	3.38551616525532e-05	0.0121232256135824	233	279	285	79	47	1	331.658817204668	326.809725992484	201.399095487982	56.8832363450919	52.5363635906101	0.701000392045452	98.79	DOWN_pEhEx_UP_CDC5
EHI_148470A	438.890297654585	-2.16243192728654	0.524554098985241	-4.12241927280675	3.74914016497016e-05	0.0123065525915145	103	173	190	564	909	1038	146.613125202064	202.645457335841	134.266063658655	406.103105045972	1016.0756277418	727.638406943179	98.77	UP_pEhEx_DOWN_CDC5
EHI_068610A	122.967505090383	1.84548199667353	0.450039138811381	4.10071444352089	4.11876556317157e-05	0.0124798596564099	149	192	184	96	69	35	212.090831602985	224.901316812032	130.026082701013	69.1239327737825	77.1278529308957	24.5350137215908	98.75	DOWN_pEhEx_UP_CDC5
EHI_050640A	24.279319445659	3.91311851868799	0.967713373994007	4.0436751458105	5.2619814629171e-05	0.014804960701736	28	35	75	4	8	0	39.855995200561	40.9976358771933	52.9997619705216	2.88016386557427	8.94235976010385	0	98.52	DOWN_pEhEx_UP_CDC5
EHI_109880A	21.9621734779056	-2.73519554082879	0.684374854434304	-3.99663360380134	6.42496269857943e-05	0.0168719520464696	4	5	8	39	41	58	5.69371360008014	5.85680512531333	5.6533079435223	28.0815976893491	45.8295937705322	40.6580227386362	98.31	UP_pEhEx_DOWN_CDC5
EHI_159820A	72.5520065500719	-1.92474064646764	0.487929945725828	-3.944706946823	7.98976280179213e-05	0.019669797297662	21	33	33	144	106	173	29.8919964004207	38.654913827068	23.3198952670295	103.685899160674	118.486266821376	121.273067823863	98.03	UP_pEhEx_DOWN_CDC5
EHI_035510A	140.780538605405	-1.87234385332922	0.481088862118698	-3.8918877587053	9.94672615612857e-05	0.0210061696442841	33	37	101	168	119	612	46.9731372006612	43.3403579273186	71.3730127869691	120.966882354119	133.017601431545	429.012239931817	97.9	UP_pEhEx_DOWN_CDC5
EHI_112800A	186.300870250057	-2.30482832200609	0.588939189231833	-3.91352513832936	9.09584263437924e-05	0.0210061696442841	55	52	55	250	225	725	78.2885620011019	60.9107733032586	38.8664921117158	180.010241598392	251.503868252921	508.225284232953	97.9	UP_pEhEx_DOWN_CDC5
EHI_119540A	5118.1319791128	-1.77602168303028	0.459748611532765	-3.86302783407907	0.00011199024182025	0.0210061696442841	716	696	8923	3831	4262	21464	1019.17473441435	815.267273443615	6305.55834750619	2758.47694225376	4764.04216219533	15046.2724148636	97.9	UP_pEhEx_DOWN_CDC5
