baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1.1	CmasM_2.1	CmasM_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_006680A	24.1058368735088	-7.59307905922104	1.36091153938488	-5.57940677220876	2.41340254115007e-08	5.6606356602675e-05	0	0	0	80	60	14	0	0	0	61.0421289988398	72.7430358951353	10.8498563470778	99.99	UP_pEhEx_DOWN_CmasM
EHI_089770A	19.6287187631457	-7.68480985943136	1.36842963151192	-5.61578738319248	1.95669146597373e-08	5.6606356602675e-05	0	0	0	51	35	47	0	0	0	38.9143572367604	42.4334376054956	36.4245177366184	99.99	UP_pEhEx_DOWN_CmasM
EHI_075040A	116.198568574547	5.88499895029454	1.13976080452921	5.16336316085672	2.42551911554653e-07	0.000379270339034292	117	223	331	1	1	52	151.510913314886	255.803163016937	247.602458139385	0.763026612485498	1.21238393158559	40.2994664320034	99.96	DOWN_pEhEx_UP_CmasM
EHI_169350A	3284.17508015808	-3.08452731711279	0.6304520613213	-4.89256440949411	9.95305276491917e-07	0.00108092279401888	175	275	2699	1248	3834	14895	226.618887436795	315.452331074699	2018.96989280423	952.257212381901	4648.27999369914	11543.4721635517	99.89	UP_pEhEx_DOWN_CmasM
EHI_179390A	220.701111801496	-2.26435606793519	0.465562595517204	-4.86369843655432	1.15212406098794e-06	0.00108092279401888	37	77	120	300	329	607	47.9137076294938	88.3266527009156	89.7652416215291	228.907983745649	398.874313491658	470.418771619732	99.89	UP_pEhEx_DOWN_CmasM
EHI_035670A	244.760515945232	-2.0203906020983	0.44149757017403	-4.5762213397956	4.73449626495297e-06	0.00293692452823173	75	59	151	284	294	797	97.1223803300551	67.6788637578444	112.954595707091	216.699557945881	356.440875886163	617.66682204436	99.71	UP_pEhEx_DOWN_CmasM
EHI_062500A	127.137582919114	-1.9783400028103	0.433425735666681	-4.56442670568994	5.00861143164652e-06	0.00293692452823173	21	38	113	157	137	415	27.1942664924154	43.5897766575947	84.5289358602733	119.795178160223	166.096598627226	321.62074171695	99.71	UP_pEhEx_DOWN_CmasM
EHI_187780A	139.219324665648	-2.29228341674056	0.502192159183611	-4.56455437390143	5.00556457090112e-06	0.00293692452823173	16	28	98	99	118	633	20.7194411370784	32.1187828003329	73.3082806575821	75.5396346360643	143.061303927099	490.568504835734	99.71	UP_pEhEx_DOWN_CmasM
EHI_010020A	977.607960151702	-2.45197098407111	0.542139778289299	-4.52276531304936	6.1036905104795e-06	0.00318137913162882	131	202	609	610	1264	3885	169.64042430983	231.714075916688	455.55860122926	465.446233616154	1532.45328952418	3010.8351363141	99.68	UP_pEhEx_DOWN_CmasM
EHI_017750A	895.255515343865	-1.8481977945949	0.427813677660365	-4.32009982640657	1.55958633512896e-05	0.00731601949808994	159	313	715	950	880	3200	205.899446299717	359.042107732293	534.851231328278	724.875281861223	1066.89785979532	2479.96716504636	99.27	UP_pEhEx_DOWN_CmasM
EHI_019860A	45.3558345862841	-2.80899754170929	0.659424464678773	-4.25977150101284	2.04635994254558e-05	0.00807529965247758	7	5	16	41	27	234	9.06475549747181	5.73549692863088	11.9686988828706	31.2840911119054	32.7343661528109	181.347598944015	99.19	UP_pEhEx_DOWN_CmasM
EHI_099860A	107.756279490612	-2.67045254924148	0.629863687609577	-4.23973091602761	2.23787882076761e-05	0.00807529965247758	6	24	84	117	162	339	7.76979042640441	27.5303852574282	62.8356691350704	89.2741136608032	196.406196916865	262.721521547099	99.19	UP_pEhEx_DOWN_CmasM
EHI_140640A	29.5218923474394	-4.88556608043638	1.15183915875267	-4.24153497761525	2.21996284024668e-05	0.00807529965247758	0	0	21	32	51	97	0	0	15.7089172837676	24.4168515995359	61.831580510865	75.1740046904679	99.19	UP_pEhEx_DOWN_CmasM
EHI_172280A	85.3607314526137	-2.95180036908628	0.699310800150173	-4.22101355856709	2.43206306135888e-05	0.00814914844345323	6	32	16	135	227	100	7.76979042640441	36.7071803432377	11.9686988828706	103.008592685542	275.211152469928	77.4989739076988	99.19	UP_pEhEx_DOWN_CmasM
EHI_006770A	37.8638922252971	5.78222987140838	1.39209266960088	4.15362425050781	3.27250386108923e-05	0.0102342104082464	53	60	64	0	0	54	68.6331487665722	68.8259631435706	47.8747955314822	0	0	41.8494459101574	98.98	DOWN_pEhEx_UP_CmasM
EHI_119540A	5115.12036021514	-1.85869410490367	0.459290912238533	-4.04687760061396	5.19053646800162e-05	0.0152180041071222	719	1458	4495	3831	4262	21464	931.079886097461	1672.47090438877	3362.45634240645	2923.15495243194	5167.18031641777	16634.3797595485	98.48	UP_pEhEx_DOWN_CmasM
EHI_178340A	2179.47228913818	-2.49693509281147	0.624308949020142	-3.9995183422093	6.34715286741435e-05	0.0165413856116893	287	544	1479	1876	4864	4705	371.654975396344	624.02206583504	1106.35660298535	1431.43792502279	5897.0354432323	3646.32672235723	98.35	UP_pEhEx_DOWN_CmasM
EHI_194430A	85.885402032907	-2.34086715755553	0.58385439921487	-4.00933376660924	6.08903004649466e-05	0.0165413856116893	8	27	58	92	117	282	10.3597205685392	30.9716834146068	43.3865334504058	70.1984483486658	141.848919995514	218.547106419711	98.35	UP_pEhEx_DOWN_CmasM
EHI_148190A	1842.93414475542	-1.87453795375629	0.477628283368458	-3.92467954480454	8.68452671064606e-05	0.0214416393682319	346	686	1348	1695	2191	6277	448.057914589321	786.910178608157	1008.36288088184	1293.33010816292	2656.33319410402	4864.61059218625	97.86	UP_pEhEx_DOWN_CmasM
EHI_138790A	72.341285332703	-2.37640168460199	0.609229121711289	-3.90066987921854	9.592688507138e-05	0.0224996508934922	8	8	39	38	28	416	10.3597205685392	9.17679508580941	29.173703526997	28.9950112744489	33.9467500843965	322.395731456027	97.75	UP_pEhEx_DOWN_CmasM
EHI_068610A	129.239083658017	1.79999207668991	0.468428451741634	3.84261901683699	0.000121728351568292	0.0271917951050884	220	142	192	96	69	35	284.892315634828	162.888112773117	143.624386594447	73.2505547986078	83.6544912794055	27.1246408676946	97.28	DOWN_pEhEx_UP_CmasM
EHI_009940A	241.712915529228	-2.35985005621132	0.619093539436701	-3.81178272084456	0.000137968130864155	0.0281395000819023	28	25	136	72	146	1357	36.2590219898872	28.6774846431544	101.7339405044	54.9379160989558	177.008054011496	1051.66107592747	97.19	UP_pEhEx_DOWN_CmasM
EHI_050000A	41.0079654021801	-2.26143929262662	0.591747512790501	-3.82162872466056	0.000132573182056489	0.0281395000819023	14	11	16	54	73	95	18.1295109949436	12.6180932429879	11.9686988828706	41.2034370742169	88.5040270057479	73.6240252123139	97.19	UP_pEhEx_DOWN_CmasM
EHI_163670A	3406.45152518364	-1.55154787690624	0.416600230062176	-3.72430873759882	0.000195851127887098	0.0382807350382656	1116	1427	2673	3643	4428	9302	1445.18101931122	1636.91082343125	1999.52075711956	2779.70594928467	5368.43604906098	7208.95455289414	96.17	UP_pEhEx_DOWN_CmasM
EHI_044610A	35.0193903515942	-2.58612463278325	0.698429752385123	-3.70276985473727	0.000213258327696599	0.0393711362133399	4	5	21	19	32	168	5.1798602842696	5.73549692863088	15.7089172837676	14.4975056372245	38.7962858107388	130.198276164934	96.06	UP_pEhEx_DOWN_CmasM
EHI_110570A	457.619337769277	-1.68305129935734	0.456440225766398	-3.68734218490794	0.000226608543542993	0.0393711362133399	82	142	434	341	397	1820	106.187135827527	162.888112773117	324.650957197864	260.192074857555	481.316420839478	1410.48132512012	96.06	UP_pEhEx_DOWN_CmasM
EHI_176820A	1926.9527970739	-1.88033227314869	0.508727361712518	-3.69614928282798	0.000218894292233945	0.0393711362133399	389	464	1350	1125	1655	8582	503.741412645219	532.254114976946	1009.8589682422	858.404939046185	2006.49540677415	6650.96194075871	96.06	UP_pEhEx_DOWN_CmasM
EHI_166370A	59.5412740362228	2.04921575125779	0.559248060669295	3.66423398733888	0.000248079919064394	0.0408395240837036	86	100	68	60	24	7	111.366996111796	114.709938572618	50.8669702521998	45.7815967491299	29.0972143580541	5.42492817353892	95.92	DOWN_pEhEx_UP_CmasM
EHI_181610A	203.655792666566	1.97291907743977	0.539087332436763	3.65973926436345	0.000252472009897123	0.0408395240837036	240	186	597	139	82	59	310.791617056176	213.360485745069	446.582077067107	106.060699135484	99.4154823900182	45.7243946055423	95.92	DOWN_pEhEx_UP_CmasM
EHI_142900A	25.0713825530505	-2.29266041972661	0.628206892845233	-3.64953082469828	0.000262719714311442	0.0410806059944991	4	4	21	32	19	100	5.1798602842696	4.58839754290471	15.7089172837676	24.4168515995359	23.0352947001262	77.4989739076988	95.89	UP_pEhEx_DOWN_CmasM
EHI_000130A	237.364894388638	-2.01941969097578	0.554957262311306	-3.63887424873986	0.000273832464677325	0.0414370352193977	35	94	172	236	368	666	45.323777487359	107.827342258261	128.663512990858	180.074280546577	446.157286823496	516.143166225274	95.86	UP_pEhEx_DOWN_CmasM
EHI_012420A	148.758209451195	-1.79872044652266	0.497060092295774	-3.61871828859747	0.000296065710874043	0.0434013828034417	31	30	109	113	78	717	40.1439172030894	34.4129815717853	81.5367611395556	86.2220072108612	94.5659466636758	555.6676429182	95.66	UP_pEhEx_DOWN_CmasM
EHI_103900A	119.351940160402	3.17238724140216	0.887873059431792	3.57301892168277	0.000352889250983002	0.050163741707917	88	349	112	79	47	1	113.956926253931	400.337685618436	83.7808921800939	60.2791023863543	56.9820447845226	0.774989739076988	94.98	DOWN_pEhEx_UP_CmasM
EHI_058090A	3714.37561604142	-1.71561268149964	0.484304455803391	-3.54242596974188	0.00039646468796862	0.0502652932773189	882	1398	2376	3209	3393	14453	1142.15919268145	1603.6449412452	1777.35178410628	2448.55239946596	4113.6186798699	11200.9266988797	94.97	UP_pEhEx_DOWN_CmasM
EHI_062790A	277.167328190776	-1.69482544223021	0.476740579483191	-3.5550266018208	0.000377940849380053	0.0502652932773189	62	51	226	189	148	1331	80.2878344061789	58.502068672035	169.057871720547	144.212029759759	179.432821874667	1031.51134271147	94.97	UP_pEhEx_DOWN_CmasM
