baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1.1	EhMyb10_2.1	EhMyb10_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_103400A	32.1380536483301	3.1784774847017	0.647934782470318	4.90555156274127	9.31651610214674e-07	0.00167510959516598	26	68	28	7	4	23	23.3093510263435	61.1938432303758	87.8040028120145	4.13796958368303	3.75606284909139	12.6270923884725	99.83	DOWN_pEhEx_UP_EhMyb10
EHI_188960A	3332.298112697	-1.90203184488237	0.385541659157627	-4.93340161744943	8.08097543740661e-07	0.00167510959516598	1658	1348	485	7493	6979	8726	1486.4193846799	1213.07795109627	1520.89076299382	4429.4008700767	6553.39065595221	4790.60905138308	99.83	UP_pEhEx_DOWN_EhMyb10
EHI_181610A	169.349104650558	2.13314336248131	0.443476821958233	4.81004475738354	1.50896503531542e-06	0.00180874608899808	262	481	50	139	82	59	234.886537265461	432.856449908982	156.792862164312	82.1682531617058	76.9992884063735	32.3912369965164	99.82	DOWN_pEhEx_UP_EhMyb10
EHI_057550A	555.512622295899	2.01130923905715	0.443616095092081	4.53389599996291	5.79055485264882e-06	0.00520570881253129	508	777	500	341	156	478	455.428858514712	699.22964985297	1567.92862164312	201.578232576559	146.486451114564	262.423920073472	99.48	DOWN_pEhEx_UP_EhMyb10
EHI_126980A	43.7827082435854	-2.96354157346491	0.715726763646421	-4.14060466087159	3.46391515451939e-05	0.0249124777913034	6	14	4	61	127	140	5.37908100607927	12.5987324297832	12.5434289731449	36.0594492292378	119.254995458652	76.8605623646152	97.51	UP_pEhEx_DOWN_EhMyb10
EHI_018630A	74.5955126501308	4.30773265911805	1.08347750113021	3.97583951177991	7.01314110821208e-05	0.0370268651936343	11	33	100	0	0	172	9.86164851114533	29.6970121559177	313.585724328623	0	0	94.4286909050986	96.3	DOWN_pEhEx_UP_EhMyb10
EHI_178340A	1630.09527130236	-2.67376556117726	0.673607254367979	-3.96932417790832	7.20767676183093e-05	0.0370268651936343	301	366	294	1876	4864	4705	269.850563804977	329.366862092905	921.942029526153	1108.97584842705	4567.37242449513	2583.06389946796	96.3	UP_pEhEx_DOWN_EhMyb10
EHI_000640A	134.524523391759	2.70468792175565	0.700224322492859	3.86260207604148	0.000112185664644576	0.0454040107663475	5	8	216	2	0	213	4.48256750506606	7.19927567416186	677.345164549826	1.18227702390944	0	116.937855597593	95.46	DOWN_pEhEx_UP_EhMyb10
EHI_004430A	20.9109268324179	-5.51661285255189	1.46012609025155	-3.77817565851555	0.000157981433954137	0.0454040107663475	0	0	3	79	61	22	0	0	9.4075717298587	46.6999424444227	57.2799584486437	12.0780883715824	95.46	UP_pEhEx_DOWN_EhMyb10
EHI_049360A	464.99770253315	2.62671431349339	0.696993164284503	3.76863712313425	0.000164141306997363	0.0454040107663475	13	8	819	5	3	359	11.6546755131718	7.19927567416186	2568.26708225142	2.95569255977359	2.81704713681854	197.092442063549	95.46	DOWN_pEhEx_UP_EhMyb10
EHI_049690A	1602.43248840866	-1.46277648616911	0.381630752630527	-3.83296282096344	0.000126609094569606	0.0454040107663475	1410	901	165	4559	2928	2874	1264.08403642863	810.818422802479	517.416445142228	2695.00047600156	2749.4380055349	1577.83754454217	95.46	UP_pEhEx_DOWN_EhMyb10
EHI_050640A	19.829135927439	3.91297989591441	1.02012290548295	3.83579260389407	0.000125159995136067	0.0454040107663475	18	58	13	4	8	0	16.1372430182378	52.1947486376735	40.766144162721	2.36455404781887	7.51212569818278	0	95.46	DOWN_pEhEx_UP_EhMyb10
EHI_152800A	398.238010909799	-2.33704890127839	0.615454954941182	-3.79727042981032	0.000146298159390658	0.0454040107663475	191	106	29	755	1419	461	171.234078693523	95.3904026826446	90.9398600553008	446.309576525812	1332.46329571517	253.09085178634	95.46	UP_pEhEx_DOWN_EhMyb10
EHI_025380A	42.0440116252683	2.61117796124396	0.730445626927447	3.57477389826761	0.00035053068646856	0.0885440527468378	5	8	66	3	0	58	4.48256750506606	7.19927567416186	206.966578056891	1.77341553586416	0	31.8422329796263	91.15	DOWN_pEhEx_UP_EhMyb10
EHI_155680A	252.03460090932	-2.14439798604852	0.602177673858151	-3.56107188815116	0.000369343935262115	0.0885440527468378	74	67	59	550	623	529	66.3419990749777	60.2939337711056	185.015577353888	325.126181575095	585.006788745984	290.423124934867	91.15	UP_pEhEx_DOWN_EhMyb10
EHI_017750A	748.131572080632	-1.52600051549896	0.436631502176854	-3.49493911431261	0.000474169909282666	0.0964256764944252	198	230	306	950	880	3200	177.509673200616	206.979175632153	959.572316445587	561.581586356982	826.333826800106	1756.81285404835	90.36	UP_pEhEx_DOWN_EhMyb10
EHI_134840A	51.3635338268072	-1.88936211206523	0.542123024581217	-3.48511689486854	0.000491922087798549	0.0964256764944252	22	20	8	69	91	217	19.7232970222907	17.9981891854046	25.0868579462899	40.7885573248756	85.4504298168292	119.133871665154	90.36	UP_pEhEx_DOWN_EhMyb10
EHI_178640A	109.901314519326	3.6297968972517	1.04128907761112	3.48586859816011	0.000490541898374091	0.0964256764944252	19	14	128	0	0	416	17.033756519251	12.5987324297832	401.389727140638	0	0	228.385671026285	90.36	DOWN_pEhEx_UP_EhMyb10
EHI_178770A	34.771215288259	2.44462863281226	0.703344041732622	3.47572238870489	0.000509479380810367	0.0964256764944252	6	9	54	4	1	41	5.37908100607927	8.09918513343209	169.336291137457	2.36455404781887	0.939015712272848	22.5091646924944	90.36	DOWN_pEhEx_UP_EhMyb10
EHI_048140A	567.188123175783	-2.17619397638744	0.632843368736748	-3.43875607123996	0.000584393548602753	0.097840933664119	288	190	14	1320	2204	146	258.195888291805	170.982797261344	43.9020014060073	780.302835780228	2069.59062984936	80.1545864659558	90.22	UP_pEhEx_DOWN_EhMyb10
EHI_189880A	132.151797284548	2.47885567111556	0.7168449358178	3.45800820687615	0.000544184806936014	0.097840933664119	4	10	221	4	1	153	3.58605400405285	8.99909459270232	693.024450766257	2.36455404781887	0.939015712272848	83.9976145841866	90.22	DOWN_pEhEx_UP_EhMyb10
EHI_195110A	353.798761320541	13.1969325775643	3.84497310227534	3.43225615018079	0.000598581907844999	0.097840933664119	31	2303	0	0	0	41	27.7919185314096	2072.49148469934	0	0	0	22.5091646924944	90.22	DOWN_pEhEx_UP_EhMyb10
