baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1.1	EhMyb10_2.1	EhMyb10_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_000640A	134.524523391759	2.70468792175565	0.700224322492859	3.86260207604148	0.000112185664644576	0.0454040107663475	5	8	216	2	0	213	4.48256750506606	7.19927567416186	677.345164549826	1.18227702390944	0	116.937855597593	95.46	DOWN_pEhEx_UP_EhMyb10
EHI_004430A	20.9109268324179	-5.51661285255189	1.46012609025155	-3.77817565851555	0.000157981433954137	0.0454040107663475	0	0	3	79	61	22	0	0	9.4075717298587	46.6999424444227	57.2799584486437	12.0780883715824	95.46	UP_pEhEx_DOWN_EhMyb10
EHI_049360A	464.99770253315	2.62671431349339	0.696993164284503	3.76863712313425	0.000164141306997363	0.0454040107663475	13	8	819	5	3	359	11.6546755131718	7.19927567416186	2568.26708225142	2.95569255977359	2.81704713681854	197.092442063549	95.46	DOWN_pEhEx_UP_EhMyb10
EHI_049690A	1602.43248840866	-1.46277648616911	0.381630752630527	-3.83296282096344	0.000126609094569606	0.0454040107663475	1410	901	165	4559	2928	2874	1264.08403642863	810.818422802479	517.416445142228	2695.00047600156	2749.4380055349	1577.83754454217	95.46	UP_pEhEx_DOWN_EhMyb10
EHI_057550A	555.512622295899	2.01130923905715	0.443616095092081	4.53389599996291	5.79055485264882e-06	0.00520570881253129	508	777	500	341	156	478	455.428858514712	699.22964985297	1567.92862164312	201.578232576559	146.486451114564	262.423920073472	99.48	DOWN_pEhEx_UP_EhMyb10
EHI_103400A	32.1380536483301	3.1784774847017	0.647934782470318	4.90555156274127	9.31651610214674e-07	0.00167510959516598	26	68	28	7	4	23	23.3093510263435	61.1938432303758	87.8040028120145	4.13796958368303	3.75606284909139	12.6270923884725	99.83	DOWN_pEhEx_UP_EhMyb10
EHI_126980A	43.7827082435854	-2.96354157346491	0.715726763646421	-4.14060466087159	3.46391515451939e-05	0.0249124777913034	6	14	4	61	127	140	5.37908100607927	12.5987324297832	12.5434289731449	36.0594492292378	119.254995458652	76.8605623646152	97.51	UP_pEhEx_DOWN_EhMyb10
EHI_152800A	398.238010909799	-2.33704890127839	0.615454954941182	-3.79727042981032	0.000146298159390658	0.0454040107663475	191	106	29	755	1419	461	171.234078693523	95.3904026826446	90.9398600553008	446.309576525812	1332.46329571517	253.09085178634	95.46	UP_pEhEx_DOWN_EhMyb10
EHI_178340A	1630.09527130236	-2.67376556117726	0.673607254367979	-3.96932417790832	7.20767676183093e-05	0.0370268651936343	301	366	294	1876	4864	4705	269.850563804977	329.366862092905	921.942029526153	1108.97584842705	4567.37242449513	2583.06389946796	96.3	UP_pEhEx_DOWN_EhMyb10
EHI_181610A	169.349104650558	2.13314336248131	0.443476821958233	4.81004475738354	1.50896503531542e-06	0.00180874608899808	262	481	50	139	82	59	234.886537265461	432.856449908982	156.792862164312	82.1682531617058	76.9992884063735	32.3912369965164	99.82	DOWN_pEhEx_UP_EhMyb10
EHI_188960A	3332.298112697	-1.90203184488237	0.385541659157627	-4.93340161744943	8.08097543740661e-07	0.00167510959516598	1658	1348	485	7493	6979	8726	1486.4193846799	1213.07795109627	1520.89076299382	4429.4008700767	6553.39065595221	4790.60905138308	99.83	UP_pEhEx_DOWN_EhMyb10
