baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1.1	UmasM_2.1	UmasM_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_013100A	19.3160580370152	4.10236036724316	0.94132500365524	4.35807011533038	1.31214350916746e-05	0.0645443392159472	12	21	49	0	0	15	14.3988253980084	14.2319199089917	76.4931631630562	0	0	10.7724397520347	93.55	DOWN_pEhEx_UP_UmasM
EHI_002780A	274.637711634247	1.32826138810542	0.418273099754262	3.17558405951944	0.00149535190516741	0.862515674566754	51	110	692	47	20	520	61.1950079415356	74.5481519042424	1080.27079405786	34.8626276649471	23.5051101663642	373.444578070535	13.75	DOWN_pEhEx_UP_UmasM
EHI_018630A	60.8271524182999	2.71124432540986	0.878287704173128	3.08696605056356	0.00202210689461995	0.862515674566754	8	15	142	0	0	172	9.59921693200558	10.1656570778512	221.674064676612	0	0	123.523975823331	13.75	DOWN_pEhEx_UP_UmasM
EHI_027500A	670.818610213184	1.49218101757062	0.485132175614096	3.0758236467861	0.0020992196536869	0.862515674566754	54	164	1798	59	16	1364	64.7947142910376	111.144517384507	2806.83076259541	43.76372409004	18.8040881330914	979.573854785018	13.75	DOWN_pEhEx_UP_UmasM
EHI_048260A	329.328117706025	1.622492038073	0.506646424080577	3.20241486164118	0.00136280577571334	0.862515674566754	23	79	993	23	16	430	27.597748679516	53.5391272766832	1550.15736777377	17.0604348147613	18.8040881330914	308.809939558327	13.75	DOWN_pEhEx_UP_UmasM
EHI_049360A	215.714320988918	1.85887276641031	0.57935915730974	3.20849811892507	0.00133430182036113	0.862515674566754	15	11	643	5	3	359	17.9985317475105	7.45481519042424	1003.7776308948	3.70879017712203	3.52576652495463	257.820391398696	13.75	DOWN_pEhEx_UP_UmasM
EHI_084660A	89.8179457233748	1.55368915197411	0.488349537159884	3.18151044231549	0.00146509241142587	0.862515674566754	157	239	20	96	69	7	188.384632290609	161.972802773763	31.221699250227	71.208771400743	81.0926300739565	5.02713855094951	13.75	DOWN_pEhEx_UP_UmasM
EHI_101730A	29.5300299438235	2.54543646916017	0.827749843143929	3.07512769738764	0.00210412443480404	0.862515674566754	52	62	28	14	0	26	62.3949100580363	42.0180492551184	43.7103789503178	10.3846124959417	0	18.6722289035267	13.75	DOWN_pEhEx_UP_UmasM
EHI_158070A	397.656634069619	1.46363733581391	0.471724378506103	3.10273838390351	0.00191739056563319	0.862515674566754	31	101	1132	27	23	649	37.1969656115216	68.4487576575316	1767.14817756285	20.027466956459	27.0308766913188	466.087559938033	13.75	DOWN_pEhEx_UP_UmasM
EHI_166800A	93.0686310227725	1.72952733756736	0.519701997653191	3.32792128061342	0.000874965863311286	0.862515674566754	61	88	161	19	11	205	73.1940291065425	59.6385215233939	251.334678964328	14.0934026730637	12.9278105915003	147.223343277807	13.75	DOWN_pEhEx_UP_UmasM
EHI_180390A	61.7174625872735	-3.34664650580797	1.03349710114644	-3.2381769644981	0.00120296166321832	0.862515674566754	14	30	0	19	266	9	16.7986296310098	20.3313141557025	0	14.0934026730637	312.617965212644	6.46346385122079	13.75	UP_pEhEx_DOWN_UmasM
EHI_195110A	81.5349943980118	8.56758274677909	2.5709512937413	3.33245626536603	0.000860829991562583	0.862515674566754	309	53	34	0	0	41	370.769753998715	35.9186550084077	53.076888725386	0	0	29.4446686555614	13.75	DOWN_pEhEx_UP_UmasM
