pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1.1	CDC5_2.1	CDC5_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	DE	Regulation
EHI_005070A	232.731156776005	55.0590532919963	1.03691445462291	0.98605969329014	2.07961265483665	58.5952305687545	70.0106691577864	37.2276042656961	153.472162822223	210.266308394645	314.737184956483	59.5336907775309	71.1964021736073	36.1733355745906	154.859075616535	216.207861028223	323.097599470555	98.61	UP_pEhEx_DOWN_CDC5
EHI_014250A	76.5594978859585	543.592870503499	-1.17536138639385	0.974706809714027	-2.82787326147237	327.159767650219	280.022355226719	1003.85634836521	63.0606905538392	137.846534987822	27.039538500197	332.399552883114	284.764943117316	975.427596654631	63.6305637929916	141.741702260409	27.7577941145189	97.47	DOWN_pEhEx_UP_CDC5
EHI_017750A	1462.75914442506	483.087640810041	1.39470546250916	0.983144149782781	1.598335388364	485.973464108687	322.634197570642	629.372105868332	1327.76864164699	1909.75667284681	1080.52284087292	493.756806782833	328.098479296477	611.548576276244	1339.7675558678	1963.72118991889	1109.22494305023	98.31	UP_pEhEx_DOWN_CDC5
EHI_023400A	701.222472323429	2884.32495581501	-2.31921502179365	1	-2.04028957513607	2825.80978749119	3460.82942842354	2386.3191459952	944.023598813725	373.864924735959	735.274285728046	2871.06790862819	3519.44363344074	2318.73968144913	952.554646941608	384.429328254178	754.805494952894	100	DOWN_pEhEx_UP_CDC5
EHI_026360A	80.4613689456065	12.5149091482637	0.998181361973865	0.981957994306145	2.68464846590517	12.2392923334831	19.0999762148149	6.52648765123394	35.5454298724208	73.6282391079612	124.559635022021	12.4353166297793	19.4234622301858	6.34166051209076	35.8666504153701	75.7087724150688	127.868332660178	98.2	UP_pEhEx_DOWN_CDC5
EHI_031240A	419.709240047851	54.5004479663663	1.18819827476379	0.991681432520268	2.94505023173562	69.2350966350809	74.7557304217181	20.589899510256	157.321127548078	287.546125311087	767.139991370078	70.3439647564644	76.0218279858346	20.0068029926357	158.74282305689	295.671394885472	787.517654464009	99.17	UP_pEhEx_DOWN_CDC5
EHI_035220A	133.25193061481	18.0168604819778	1.32954459670924	0.972993127710441	2.88673689341886	9.25564248603974	22.771772278582	22.1272984962412	152.696794172785	144.463383362673	96.0421563396033	9.40388069750331	23.1574455273067	21.5006635439397	154.076700037107	148.545524731052	98.5933396004418	97.3	UP_pEhEx_DOWN_CDC5
EHI_035510A	233.653086755166	67.1320547395988	1.03613597112095	0.985949130739992	1.79929439116388	75.7635589088215	70.3700620404925	55.2464729490079	192.144840341938	211.222821107175	279.736914245549	76.9769867701178	71.5618819001017	53.6819181549778	193.881234307663	217.191402182302	287.167610933973	98.59	UP_pEhEx_DOWN_CDC5
EHI_035670A	437.957630724304	114.932847577907	1.03758345056461	0.986154177453187	1.93000012985472	110.285070705883	67.1438284695073	164.077734630739	390.779927030491	626.905489055011	278.120020691156	112.051394508604	68.2810073478506	159.431128384091	394.311366677865	644.62012906528	285.507767575788	98.62	UP_pEhEx_DOWN_CDC5
EHI_041580A	19.105744905639	102.133675515364	-0.956663096015517	0.964472510090969	-2.41838021754288	79.0692697559665	70.4171436469206	154.410643013463	16.3597164352923	29.8800606801372	10.4060380696805	80.3356418255483	71.6097609023532	150.037804370913	16.5075575787164	30.7243897339974	10.6824553342111	96.45	DOWN_pEhEx_UP_CDC5
EHI_044550A	65080.2238274242	169754.746890116	-3.22279804509585	0.999999999999991	-1.38316079951315	164571.713651998	141997.61030628	200309.997197825	67907.3708566685	70664.0686065868	53136.159629586	167207.491397958	144402.547392774	194637.309880804	68521.0430675584	72660.8425364395	54547.6239923071	100	DOWN_pEhEx_UP_CDC5
EHI_050520A	1500.01051040024	537.644971946153	1.48045298236698	0.966834633850657	1.48024688535345	435.437706125551	589.046551632007	588.01009025976	1219.07490865385	1860.0557414207	1335.74989695951	442.411668965755	599.022915985151	571.357913993175	1230.09156833301	1912.61584566858	1371.23163651709	96.68	UP_pEhEx_DOWN_CDC5
EHI_050640A	5.2920022928727	57.9156641478551	-1.13749083511169	0.970362921497622	-3.45206800739287	34.2176038083496	35.2873099390503	102.44550123365	4.0810111633962	9.05038138075686	2.5821495845676	34.7656323646351	35.8849521118445	99.5442915902786	4.11789085865923	9.30612048484002	2.65073963968711	97.04	DOWN_pEhEx_UP_CDC5
EHI_056460A	354.063506027486	95.9078215755428	1.10637172509533	0.987944046155938	1.88428776884044	88.6555877563351	127.090146527792	73.2772028491262	272.701025361185	333.503157408838	428.79724224666	90.075494130752	129.242603925162	71.2020260479477	275.165397623492	342.927047419262	440.187452425253	98.79	UP_pEhEx_DOWN_CDC5
EHI_058110A	15.1061775178249	95.4368532827638	-0.955971932599301	0.964571543250334	-2.65940782998449	78.5623701756956	39.1825144167878	164.745552702702	21.7796493309934	16.1657231259818	6.84459872935426	79.8206237502854	39.8461275709794	160.080034154322	21.9764698732813	16.6225223894786	7.02641290732565	96.46	DOWN_pEhEx_UP_CDC5
EHI_065340A	518.009554271991	80.9218183017059	1.37697714107641	0.974010417639478	2.6783780649889	65.9548767974488	131.069192305203	48.1152780763662	368.36053108988	419.96439807899	720.296606218268	67.0112089741184	133.28904065893	46.7526754528476	371.689368867971	431.831447034507	739.429960931015	97.4	UP_pEhEx_DOWN_CDC5
EHI_068610A	56.132129316203	203.422865114652	-1.04584834098789	0.984293725210404	-1.85758315731559	174.205410659415	185.383813065678	248.457496006734	58.1725716333297	64.7616946479984	42.6231455984995	176.995481531575	188.523558912919	241.421293589815	58.6982714240449	66.5916835812163	43.7553510770049	98.43	DOWN_pEhEx_UP_CDC5
EHI_080100A	5.36542913008499	47.4509148390269	-1.01310333580647	0.974051482512271	-3.14467043394859	31.5564815431052	28.2709291964561	81.0530781783704	3.46407319167141	9.86761836201426	2.60710890290187	32.0618896107881	28.7497387056271	78.7576921516115	3.49537767934925	10.1464503551833	2.67636195641253	97.41	DOWN_pEhEx_UP_CDC5
EHI_083400A	219.167500856562	636.894230825181	-1.1010654552713	0.975283731389579	-1.5390199188244	522.70926329934	584.134026353205	796.861292212969	262.067071635119	225.512735274671	158.973621967144	531.080965903865	594.027189910182	774.29454562519	264.435345906718	231.88511036608	163.19646388089	97.53	DOWN_pEhEx_UP_CDC5
EHI_089770A	63.0336296516423	6.89814402949466	0.943139402508324	0.9793158357258	3.191841582602	2.9478971051802	2.9478971051802	14.5008882561847	83.9543842111055	89.3222637069262	14.5773834323132	2.99511057470537	2.99782405155715	14.0902297466388	84.7130716985282	91.8462673631322	14.9646048152634	97.93	UP_pEhEx_DOWN_CDC5
