pEhEx_mean	CmasM_mean	theta	prob	log2FC	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_042720A	76454.8467499774	97042.0512699952	-3.50413948998675	1	-0.344002084240605	98711.3842398676	92665.6468884922	98158.6144917906	77131.9965440315	76872.278005647	74852.2010509554	99817.6881295396	93196.4849217374	94640.4118061721	77742.9175401335	77342.4920365726	76963.6128913754	100	DOWN_pEhEx_UP_CmasM
EHI_044830A	24991.9204551498	54531.7216481046	-2.15637709499445	1	-1.12563393746144	51081.6866625224	42999.6512124543	68132.1231578668	26281.0634129284	29883.8058446296	18843.9344507257	51654.1826221417	43245.9760485321	65690.1304717236	26489.2215594594	30066.5997616327	19375.4793587008	100	DOWN_pEhEx_UP_CmasM
EHI_089770A	44.1962440002399	2.00528208074489	2.74151010139195	1	4.4620466696418	1.96663999513239	1.96663999513239	2.049152876872	44.1312243764756	46.5710576683669	41.6510745026538	1.98868103419747	1.97790595336148	1.97570710553568	44.4807640326919	46.855924532194	42.8259574137289	100	UP_pEhEx_DOWN_CmasM
EHI_153070A	110830.426721067	185776.138922978	-2.43065004952957	0.999999999999999	-0.745211209334454	214024.457786352	152839.6194974	187352.137794499	113470.427911564	111024.70451972	107300.480236422	216423.128334407	153715.165999693	180637.059370077	114369.166048186	111703.822859894	110327.184879345	100	DOWN_pEhEx_UP_CmasM
EHI_182590A	26612.9496578149	49462.6036471346	-2.2159748629565	0.999999999999998	-0.894209762364922	55506.6400459954	39490.2317134438	52467.2376240944	22471.5016573914	33053.4511508668	24208.6723948053	56128.7284936286	39716.4527310383	50586.706024583	22649.4863173451	33255.6332235837	24891.5444656004	100	DOWN_pEhEx_UP_CmasM
EHI_163670A	5506.6336668643	1866.51739933633	2.08401940151809	0.999999999999997	1.5608216780139	1837.47574303166	2075.48782497293	1664.8746553819	3646.89039477551	6830.97723844554	5986.73098992471	1858.06917890887	2087.37732137237	1605.2021904219	3675.77544913008	6872.76110937772	6155.6031743102	100	UP_pEhEx_DOWN_CmasM
EHI_188960A	7484.99806317771	2455.19257432426	2.54198458392201	0.999999999999997	1.60816575544683	1504.99936965314	3563.65843898594	2268.55210835127	6135.82666703796	8808.47422305874	7458.18748706152	1521.86658987726	3584.07296691974	2187.24262612814	6184.42524489528	8862.35409078459	7668.56614189272	100	UP_pEhEx_DOWN_CmasM
EHI_156660A	14967.5166018645	7398.18506889139	3.0253221876551	0.999999999999997	1.01659157478449	6735.58418296493	8572.95228553107	6794.31744019154	14474.6280679984	13782.2905829825	16481.8141549643	6811.07297322158	8622.06270868317	6550.79540202111	14589.2737999089	13866.5943993717	16946.7289746996	100	UP_pEhEx_DOWN_CmasM
EHI_182920A	18909.0754749027	23702.1855082451	-2.53770342533075	0.999999999999996	-0.325941264845432	23536.0432183729	23250.3291593529	23935.2877568676	19702.4728098282	18334.759019372	18561.7610072321	23799.8224811244	23383.519391307	23077.3987768402	19858.5254838671	18446.9094742332	19085.3464385147	100	DOWN_pEhEx_UP_CmasM
EHI_156690A	31163.6557033008	62255.2346988927	-2.77448790205475	0.999999999999993	-0.998330669525906	64046.9311700899	51344.3028539827	70075.7949701849	34815.744602311	31853.9004925198	26744.057085928	64764.7345888206	51638.4302858902	67564.1371667674	35091.5013611851	32048.7451275414	27498.4466429386	100	DOWN_pEhEx_UP_CmasM
EHI_119540A	7734.09256612659	2112.5383858848	2.45983174288699	0.999999999999992	1.87225447541161	1620.47301168713	2901.08244206518	1796.52537290655	5246.9103073798	8995.95709483622	8865.28177143196	1638.63439813453	2917.70138284354	1732.13428074958	5288.4682575829	9050.98376189149	9115.3513837887	100	UP_pEhEx_DOWN_CmasM
EHI_017700A	19307.1584605363	26864.9540218461	-2.78209270556508	0.99999999999999	-0.476589518299573	26865.8562848835	25710.4512963469	27564.7187154175	20928.9499682113	18529.6204648191	18352.299790887	27166.9542943604	25857.7344142905	26576.743610889	21094.716907158	18642.9628524305	18869.9767934782	100	DOWN_pEhEx_UP_CmasM
