pEhEx_mean	EhMyb10_mean	theta	prob	log2FC	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_044770A	7606.7601106647	3458.62637838703	1.84114351765504	1	1.13708293491548	5202.26725858495	1899.47584547839	3037.6477505138	6263.47598188883	9205.16346129328	7703.12647085643	5253.47514181745	1940.26463461931	3089.82329964189	6298.54375874071	9391.17641339733	7524.39786639933	100	UP_pEhEx_DOWN_EhMyb10
EHI_049690A	2402.733341103	831.094062653169	2.51839503722841	1	1.53159287034477	1049.93285654481	648.517995726853	730.296266109886	2352.8129918731	2375.05580259188	2577.77400794526	1060.26774255651	662.444081623001	742.840053882524	2365.98585646327	2423.04964247421	2517.9642731851	100	UP_pEhEx_DOWN_EhMyb10
EHI_111760A	8552.9691748044	3839.30640847753	2.0002193979378	1	1.15557963668056	4982.60145931842	1956.76432763714	4259.10727692736	8750.4224808174	10352.7656007614	6967.83046344989	5031.64708904877	1998.78331290007	4332.26298134751	8799.41410524517	10561.9686746597	6806.16226034591	100	UP_pEhEx_DOWN_EhMyb10
EHI_141940A	13569.7383366206	5751.85551740567	2.26320979402793	1	1.23829355988397	8545.91217978099	3163.42142949957	5146.06398014626	11599.5076718929	16274.5043537295	13461.6618451663	8630.03282396651	3231.35181669499	5234.45431900862	11664.450676034	16603.3707135282	13149.3232065158	100	UP_pEhEx_DOWN_EhMyb10
EHI_160980A	10851.5428547831	4521.74550830236	2.62448202426462	0.999999999999999	1.26294847519451	5514.68418956129	4235.12851470774	3471.66770265654	8882.94624630492	11244.1256966419	12867.2541209481	5568.96731074794	4326.07242662023	3531.29810869876	8932.67984114162	11471.3408920544	12568.7069815583	100	UP_pEhEx_DOWN_EhMyb10
EHI_015310A	7990.92530365079	2786.87832137537	2.18774068417561	0.999999999999998	1.51971255476668	4613.08015297282	1085.85771570219	2486.18987628583	7022.02529264029	9991.0466709533	7343.70401835828	4658.48844479515	1109.17510692263	2528.89341951593	7061.34001448526	10192.9403248453	7173.31476462956	100	UP_pEhEx_DOWN_EhMyb10
EHI_131940A	7451.81154751767	3378.02153029758	1.81902717516548	0.999999999999998	1.14141266633582	5229.52290588088	1541.6330459439	3132.69577060306	6719.79833542408	8892.46938403137	7089.18481031481	5280.99907675312	1574.73762339528	3186.50389304083	6757.42095730332	9072.16358376763	6924.70093319301	100	UP_pEhEx_DOWN_EhMyb10
EHI_182850A	13774.4462954582	5131.73433312374	2.1250692772526	0.999999999999997	1.42447593657745	8575.36465774174	3096.46478264405	3437.3315027373	11594.523641227	12997.4174569975	17251.3187681955	8659.77521380171	3162.9573623745	3496.37213990804	11659.4387409145	13260.0622216528	16851.0521829136	100	UP_pEhEx_DOWN_EhMyb10
EHI_140540A	8428.66632909318	3285.78271152857	3.0931681410939	0.999999999999969	1.35906729290183	4532.5458104984	2228.33053924016	2856.9078506289	8229.28279637844	8270.6289696921	9125.69644104722	4577.16137234346	2276.18105795968	2905.97895701038	8275.35667829144	8437.75735550281	8913.96124550315	100	UP_pEhEx_DOWN_EhMyb10
EHI_188960A	5808.98333460701	1487.92874104291	3.33209149458563	0.999999999999967	1.96498025546896	1578.13476265287	1239.36224468613	1513.02128283094	4943.38472245298	7235.92942091924	5524.31884152807	1593.66893970187	1265.9759472968	1539.00939032656	4971.06160871251	7382.14915927167	5396.14311951988	100	UP_pEhEx_DOWN_EhMyb10
EHI_083270A	2020.63950398496	603.945191403749	1.73869198764829	0.999999999999932	1.74232242326886	935.653494910387	195.735743348052	637.018872919125	2261.86103341326	2425.18076515212	1473.48445597879	944.863485964649	199.938915492499	647.960500200922	2274.52467868292	2474.18750309966	1439.29654260327	100	UP_pEhEx_DOWN_EhMyb10
EHI_083410A	2020.63950398496	603.945191403749	1.73869198764829	0.999999999999932	1.74232242326886	935.653494910387	195.735743348052	637.018872919125	2261.86103341326	2425.18076515212	1473.48445597879	944.863485964649	199.938915492499	647.960500200922	2274.52467868292	2474.18750309966	1439.29654260327	100	UP_pEhEx_DOWN_EhMyb10
EHI_178340A	3317.33722110321	500.972373867486	1.72181143507562	0.999999999995502	2.72722272224493	370.787189402885	434.951925305977	642.173703257709	1595.56629807071	6495.23159858331	2083.74734149272	374.436987876371	444.291955825434	653.203871451971	1604.4995107237	6626.48371695495	2035.40005603723	100	UP_pEhEx_DOWN_EhMyb10
EHI_025600A	211834.091484361	4355.58141908497	1.70291285077739	0.999999999710471	5.60392566311398	7670.41000512298	5216.85307693235	37.6755179701275	4706.15904129469	5759.95477107242	625027.814304549	7745.9127504384	5328.87825516278	38.3226439703177	4732.50775494295	5876.34881398737	610525.865073914	100	UP_pEhEx_DOWN_EhMyb10
EHI_179000A	5272.33814888229	2471.99514189503	1.67579056708875	0.999999947146418	1.09276699462623	3500.68893121067	1878.43986721154	1868.49104336325	3986.49898127642	5668.35802778626	6379.2010155729	3535.1475357214	1918.77693590339	1900.584806115	4008.81848199773	5782.90113337746	6231.19024366383	100	UP_pEhEx_DOWN_EhMyb10
EHI_092470A	13899.4800794152	6102.01179108507	1.67298449167466	0.999999914326078	1.18767404606567	10348.7732158774	1936.40689617648	5640.25355731126	12820.2857737084	17572.1450984113	11986.1904277345	10450.6401027744	1977.98873190615	5737.13224461943	12892.0636366698	17927.2334787862	11708.0858041104	100	UP_pEhEx_DOWN_EhMyb10
EHI_035090A	2670.30595636152	1231.82389763881	1.65754623495875	0.999998934125783	1.1162090293054	1760.689836833	902.974205523299	948.029034773674	2422.13187811742	2687.75956888898	3008.98597493138	1778.02097248821	922.364409698019	964.312665905797	2435.69284337908	2742.07235692986	2939.17122293878	100	UP_pEhEx_DOWN_EhMyb10
