pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_092470A	13963.7806202362	7224.46275447232	2.30180583713279	1	0.950727385509449	5285.60471728932	8723.54645716736	7648.82506787753	12290.716012681	16503.8827726006	12619.6538453158	5331.02384401358	8761.71348273523	7462.51848930543	12304.6461222946	16715.2169245104	13106.5602337435	100	UP_pEhEx_DOWN_U2AF84
EHI_141940A	13781.7834793609	7054.37519996801	2.63471360911123	1	0.966172381748684	6454.90982901954	7893.9910287517	6801.68189563717	11447.5466735952	15734.8527978375	13603.6589562672	6510.37677806303	7928.5286057459	6636.00964254385	11460.5211479713	15936.3394308483	14128.5313919922	100	UP_pEhEx_DOWN_U2AF84
EHI_186720A	10004.5711409237	4670.21696380861	2.18006362271488	1	1.09909784580655	2795.24542454513	6138.37070495233	5062.43391402391	9399.31205178185	11925.5808760593	8395.58448951698	2819.26492902067	6165.22713917795	4939.12546685728	9409.96508835341	12078.2893359532	8719.51284544788	100	UP_pEhEx_DOWN_U2AF84
EHI_156660A	12147.0385326762	6731.43489987428	2.40884252190961	0.999999999999999	0.851618651916725	6113.79966190083	5767.67827523113	8331.57416361769	13401.0197359431	12746.4569074009	9946.4983712599	6166.33545609337	5792.91286591955	8128.63749520543	13416.208246821	12909.6767810207	10330.2659182002	100	UP_pEhEx_DOWN_U2AF84
EHI_160990A	17723.6847241725	24467.8160231457	-2.83595879248632	0.999999999999999	-0.46520676446602	25143.3010126091	23114.890526588	25157.7026680451	19021.9700684455	16245.702481999	17185.3084786256	25359.3570432885	23216.0221732249	24544.9228662816	19043.5292784905	16453.7306050484	17848.372346138	100	DOWN_pEhEx_UP_U2AF84
EHI_111760A	8557.79815918434	4593.3209799368	2.42977865163499	0.999999999999995	0.897702050340411	3505.7521730143	5160.65745973425	5109.47862862289	8339.8718306247	9666.50084693953	7397.22840248141	3535.87705194994	5183.23622929544	4985.02428784005	8349.32411384759	9790.28152246726	7682.6370048072	100	UP_pEhEx_DOWN_U2AF84
EHI_188960A	5907.22168225931	2138.4287031994	2.77116414850922	0.999999999999994	1.46592864597754	1647.83131822777	2555.12076447442	2207.70669739919	4940.9988776258	7085.46895584246	5483.186569394	1661.99110948458	2566.29986004358	2153.93238858273	4946.5989302098	7176.199215703	5694.74534923881	100	UP_pEhEx_DOWN_U2AF84
EHI_007510A	6634.18598042128	13367.8912303753	-2.81360693150873	0.999999999999994	-1.0107805380719	12252.5831878685	13327.5403728276	14527.773034372	8741.11579473907	5649.9849382601	5322.83696411674	12357.8694622448	13385.8506686074	14173.9121911331	8751.0228417362	5722.33365714536	5528.2089461184	100	DOWN_pEhEx_UP_U2AF84
EHI_140540A	8645.29028848633	4556.7326853663	2.90340926355961	0.999999999999987	0.923914667715616	3677.4397045891	5468.67146267632	4512.75284505602	8615.04659942699	8482.37224470858	8483.72622999585	3709.03989206002	5492.59784680955	4402.83327766589	8624.81076152564	8590.99001479444	8811.05537465299	100	UP_pEhEx_DOWN_U2AF84
EHI_193330A	16199.1060680376	22755.5786114013	-2.04883465735973	0.999999999987056	-0.490306068936105	22346.8874605646	20188.7710862072	25771.8252516796	16095.1214384709	17387.7627390881	14557.4834716066	22538.9139490654	20277.1004538577	25144.0869332335	16113.3634030278	17610.4150774926	15119.157491246	100	DOWN_pEhEx_UP_U2AF84
EHI_007620A	1819.70109977318	3699.02881474606	-2.03821103653656	0.999999999869158	-1.02344504296188	3347.20304783431	3675.20392088802	4076.34188159358	2390.82885093275	1558.32294153392	1458.38242152403	3375.96551637535	3691.28357412359	3977.05221261694	2393.53857979854	1578.27744931783	1514.65145445589	100	DOWN_pEhEx_UP_U2AF84
EHI_023230A	88025.300919342	150907.471720246	-1.68138466745298	0.99999998900705	-0.777674079107554	144139.824330575	114289.958906501	194926.539037131	103203.955556012	91186.5942199521	67503.4699968069	145378.415806375	114789.99725732	190178.607657	103320.925341333	92354.2492391096	70107.9685975892	100	DOWN_pEhEx_UP_U2AF84
EHI_195110A	8.65642323179363	336.541764119	-1.58147122443424	0.999999870944485	-5.2808707036544	749.586856015519	230.618025736202	28.5209990743528	2.23833433127787	2.23833433127787	20.2306241658183	756.028045288119	231.627019512747	27.826297638793	2.24087122518661	2.26699646455335	21.0111859996813	100	DOWN_pEhEx_UP_U2AF84
EHI_038860A	59306.3648848731	88510.3830912993	-1.7091708793684	0.999998566897399	-0.577659760499855	87579.7572894964	72922.2262680433	105280.06508435	57708.3380614178	70038.5150245649	48522.9784821363	88332.3289076123	73241.2736288964	102715.701467238	57773.7438094625	70935.3664126703	50395.1493434045	100	DOWN_pEhEx_UP_U2AF84
EHI_198740A	33917.3784308468	43648.650446692	-2.21700223206815	0.999998509007107	-0.363912384223868	45836.8362323097	39562.5063280347	45591.3733151413	32198.5017616612	36240.7975891966	32030.5269100749	46230.7115190228	39735.5991404551	44480.8795204252	32234.9950512687	36704.8652470063	33266.3665272613	100	DOWN_pEhEx_UP_U2AF84
EHI_114180A	6.01708624629082	42.1010211318306	-1.5628460057124	0.999997747675386	-2.80671828431947	27.694115640414	49.8367224472881	48.7194830011979	6.0191011360276	6.0191011360276	5.77633903782801	27.9320907851829	50.0547667334283	47.5327961431242	6.02592309322796	6.09617643105777	5.99920857242199	100	DOWN_pEhEx_UP_U2AF84
EHI_092430A	7645.61534517399	3981.79240366576	1.77142250498848	0.999997060103368	0.941214613182759	2708.87083734032	5510.74963779895	3706.45165137361	6310.9234982564	8800.08866041835	7518.0828105829	2732.14812620726	5534.86012123097	3616.17159925027	6318.07620246038	8912.7748264197	7808.1543604107	100	UP_pEhEx_DOWN_U2AF84
EHI_068480A	3272.14265953127	6034.68228770182	-1.55811195994617	0.999995612956513	-0.883042169808477	6455.31024578307	4361.79894440468	7311.47274081116	4206.83563319665	2873.54939307485	2642.23064197477	6510.78063560215	4380.88256969978	7133.3832357466	4211.60359638418	2910.34552961579	2744.17630506873	100	DOWN_pEhEx_UP_U2AF84
EHI_104660A	25221.2643317077	32041.9898465565	-2.2338096045995	0.999982587108238	-0.345323144452421	33501.3623905253	29464.2514270842	33186.8821634708	23837.8706005055	26455.9353423843	24372.5378104031	33789.239124643	29593.1626265691	32378.531284155	23864.8880785822	26794.7066930779	25312.9078480873	100	DOWN_pEhEx_UP_U2AF84
EHI_117850A	5133.55303422494	2054.65867057593	1.73189001372326	0.999631151264672	1.32105894286648	1133.86032858184	2642.0769535734	2383.23531039068	4222.29843928478	7138.93683830126	3923.14351096528	1143.60357437981	2653.63649751971	2325.18555599431	4227.08392778031	7230.35176065908	4074.51086712432	99.96	UP_pEhEx_DOWN_U2AF84
EHI_044770A	7689.52373171159	3981.34792358022	1.84532911448833	0.999626306651692	0.949637292594586	3525.22973562422	4985.70570550773	3417.63585442379	5870.0914775648	8451.67341415724	8374.63054573085	3555.52198498042	5007.51903086461	3334.39064523251	5876.74454949649	8559.89808212232	8697.75043185605	99.96	UP_pEhEx_DOWN_U2AF84
EHI_051710A	48969.3980201087	66659.6130158186	-1.51697989263374	0.999479936243156	-0.444932480951315	66962.4786276524	56163.5005063255	77013.9749699833	45474.0925050423	57039.6321854103	42823.2959412588	67537.8862612599	56409.2255414739	75138.1038327086	45525.6321462252	57770.0313562746	44475.5549194294	99.95	DOWN_pEhEx_UP_U2AF84
EHI_155440A	3613.01419701018	5091.22605964364	-1.50233083565215	0.998169476392333	-0.494810201572359	4669.25527559992	4857.2360447132	5752.54605638635	3741.15601056039	3761.21185742518	3214.2406490829	4709.3781202721	4878.48729306935	5612.4281736615	3745.39617958349	3809.37461578902	3338.25627781295	99.82	DOWN_pEhEx_UP_U2AF84
