pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_186720A	10004.5711409237	4670.21696380861	2.18006362271488	1	1.09909784580655	2795.24542454513	6138.37070495233	5062.43391402391	9399.31205178185	11925.5808760593	8395.58448951698	2819.26492902067	6165.22713917795	4939.12546685728	9409.96508835341	12078.2893359532	8719.51284544788	100	UP_pEhEx_DOWN_U2AF84
EHI_188960A	5907.22168225931	2138.4287031994	2.77116414850922	0.999999999999994	1.46592864597754	1647.83131822777	2555.12076447442	2207.70669739919	4940.9988776258	7085.46895584246	5483.186569394	1661.99110948458	2566.29986004358	2153.93238858273	4946.5989302098	7176.199215703	5694.74534923881	100	UP_pEhEx_DOWN_U2AF84
EHI_007510A	6634.18598042128	13367.8912303753	-2.81360693150873	0.999999999999994	-1.0107805380719	12252.5831878685	13327.5403728276	14527.773034372	8741.11579473907	5649.9849382601	5322.83696411674	12357.8694622448	13385.8506686074	14173.9121911331	8751.0228417362	5722.33365714536	5528.2089461184	100	DOWN_pEhEx_UP_U2AF84
EHI_007620A	1819.70109977318	3699.02881474606	-2.03821103653656	0.999999999869158	-1.02344504296188	3347.20304783431	3675.20392088802	4076.34188159358	2390.82885093275	1558.32294153392	1458.38242152403	3375.96551637535	3691.28357412359	3977.05221261694	2393.53857979854	1578.27744931783	1514.65145445589	100	DOWN_pEhEx_UP_U2AF84
EHI_195110A	8.65642323179363	336.541764119	-1.58147122443424	0.999999870944485	-5.2808707036544	749.586856015519	230.618025736202	28.5209990743528	2.23833433127787	2.23833433127787	20.2306241658183	756.028045288119	231.627019512747	27.826297638793	2.24087122518661	2.26699646455335	21.0111859996813	100	DOWN_pEhEx_UP_U2AF84
EHI_114180A	6.01708624629082	42.1010211318306	-1.5628460057124	0.999997747675386	-2.80671828431947	27.694115640414	49.8367224472881	48.7194830011979	6.0191011360276	6.0191011360276	5.77633903782801	27.9320907851829	50.0547667334283	47.5327961431242	6.02592309322796	6.09617643105777	5.99920857242199	100	DOWN_pEhEx_UP_U2AF84
EHI_117850A	5133.55303422494	2054.65867057593	1.73189001372326	0.999631151264672	1.32105894286648	1133.86032858184	2642.0769535734	2383.23531039068	4222.29843928478	7138.93683830126	3923.14351096528	1143.60357437981	2653.63649751971	2325.18555599431	4227.08392778031	7230.35176065908	4074.51086712432	99.96	UP_pEhEx_DOWN_U2AF84
EHI_049000A	4117.96416638799	1699.25417521016	1.87131553229631	0.995492697748636	1.27702960837022	858.16563445932	2406.49398103639	1825.82080598405	3787.79437426976	5086.71603459347	3366.30328947764	865.539839642393	2417.0228087046	1781.34829884341	3792.08740250123	5151.85202919477	3496.18597858485	99.55	UP_pEhEx_DOWN_U2AF84
EHI_160980A	11103.3700861914	4874.87605153234	1.88362753233648	0.988699372161623	1.18756018619513	4966.72985477696	6210.77002470266	3422.204908454	8379.41246334354	10391.1607193522	13860.7563962303	5009.40889430887	6237.9432184826	3338.84840833684	8388.90956131502	10524.2207494215	14395.5484690152	98.87	UP_pEhEx_DOWN_U2AF84
EHI_015310A	8221.06672395662	4106.90795682148	2.00295834951266	0.985298698777894	1.00127298855627	2970.29862031088	4694.4047015384	4652.04174626537	7356.18091814126	10253.7972273477	6820.56863556784	2995.82235442658	4714.94353458632	4538.72944360059	7364.51830112379	10385.0983018132	7083.72786973338	98.53	UP_pEhEx_DOWN_U2AF84
EHI_017750A	1173.16344102502	473.0828182647	1.55643850473815	0.983204705040098	1.31023934843355	406.457622727308	462.707466776433	550.560289983423	1015.70256888334	1447.65192825787	1019.42190646766	409.950307341862	464.731892026142	537.14999454403	1016.85375064564	1466.18928075451	1058.75444639676	98.32	UP_pEhEx_DOWN_U2AF84
EHI_005020A	1075.00926485005	512.763022987323	1.21249017068999	0.978580477061384	1.06798496019888	428.374561096146	553.841517148043	555.765594565008	874.885520699729	1379.57215350826	937.004194488566	432.055577652726	556.264669641049	542.228510700149	875.877102572594	1397.23773651543	973.156796919049	97.86	UP_pEhEx_DOWN_U2AF84
EHI_103310A	1234.74970466629	399.579683752001	1.6693565451745	0.975049881639883	1.62766348599125	279.806533637753	573.796903806481	342.789208006886	962.187449995766	1458.44144346216	1232.74070369509	282.210907231564	576.307364569873	334.439705442969	963.277978540519	1477.1169569647	1280.30376138757	97.5	UP_pEhEx_DOWN_U2AF84
EHI_083270A	2023.73894324874	818.856486201359	1.57687609048372	0.971432324462339	1.3053406677271	374.010650808544	1171.29351600522	907.807923912054	2193.5989004072	2304.21157714816	1526.28669432169	377.22451905142	1176.41812785802	885.695954190719	2196.08509186256	2333.71727627284	1585.17569010134	97.14	UP_pEhEx_DOWN_U2AF84
EHI_083410A	2023.73894324874	818.856486201359	1.57687609048372	0.971432324462339	1.3053406677271	374.010650808544	1171.29351600522	907.807923912054	2193.5989004072	2304.21157714816	1526.28669432169	377.22451905142	1176.41812785802	885.695954190719	2196.08509186256	2333.71727627284	1585.17569010134	97.14	UP_pEhEx_DOWN_U2AF84
EHI_152080A	6460.86438141687	3224.31307202583	1.36161668468605	0.970697749107178	1.0027353596349	3250.71924871189	4211.60516243523	2192.56139131234	4268.41133339501	6272.21832570438	8421.72818305515	3278.65263332903	4230.0316639396	2139.15598492644	4273.24908553971	6352.53481599455	8746.66524584575	97.07	UP_pEhEx_DOWN_U2AF84
EHI_174880A	33.3250083056416	8.70294012138917	1.05547015806108	0.969223599798573	1.93703045961236	6.92622500887853	10.0264033849534	9.14237617602762	24.9724386992509	42.9518662578394	30.875254557157	6.98574196260948	10.0702706350708	8.91969036346694	25.0007420794641	43.5018699359807	32.0665200920504	96.92	UP_pEhEx_DOWN_U2AF84
EHI_134810A	924.742515948578	379.406119961532	1.33094698144534	0.967238398410317	1.28530876935002	240.963065769911	444.908271077954	451.999236240027	912.817342284763	1098.07526718913	738.962784251241	243.033657992646	446.854821765907	440.989645816167	913.851915504265	1112.13624959685	767.474319105724	96.72	UP_pEhEx_DOWN_U2AF84
EHI_140550A	2935.68911789358	1441.23956825765	1.50066463115153	0.96516330285646	1.02638903284982	980.554089560065	2080.04087182386	1254.66385469225	2381.69965114881	3216.09248336746	3076.13415700122	988.979977010188	2089.14141063877	1224.10332703586	2384.39903311915	3257.27492429974	3194.82119795048	96.52	UP_pEhEx_DOWN_U2AF84
