pEhEx_mean	UmasM_mean	theta	prob	log2FC	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_193080A	10114.7786101762	7329.03111338457	2.141212287979	1	0.464770348865511	6726.95924910833	7504.80097861798	7081.50297699835	9355.89018216974	10801.9713914949	9973.53498165783	6890.89042746129	7596.09671455348	7415.0425046677	9543.74530835929	10888.6106258955	10020.6072799469	100	UP_pEhEx_DOWN_UmasM
EHI_171300A	10844.7230870072	6335.58936287717	1.97542759181275	0.999999999999992	0.775442478980069	5545.29419035629	7373.22190972609	5510.53503799742	8810.42961705825	12135.110035174	11359.3100571988	5680.42903765887	7462.91698923347	5770.08181214255	8987.33254508224	12232.4419577194	11412.9228266284	100	UP_pEhEx_DOWN_UmasM
EHI_037130A	29399.6405230275	21324.521331874	1.8429193078429	0.999999983480266	0.463285157004098	18895.9462212744	21242.8627129392	21841.7225196119	26844.5104992561	33974.0817634523	26875.5406237732	19356.426895445	21501.2816623931	22870.4699248364	27383.5162816183	34246.577248468	27002.385665902	100	UP_pEhEx_DOWN_UmasM
EHI_111570A	6085.00925464556	3356.58277109263	1.47558906690824	0.99999707384288	0.85826623837502	2181.50362756635	4898.6844089106	2673.34454740832	5238.33998537089	6312.64947018937	6558.45034476911	2234.66530835037	4958.27679510464	2799.2593539877	5343.51961016501	6363.28125741735	6589.40439782157	100	UP_pEhEx_DOWN_UmasM
EHI_078300A	8046.15361735234	5272.12431961244	1.46991425647204	0.999996645741006	0.609914891898368	4882.53647540539	5798.61597811673	4658.30330233956	6283.24995446987	9341.76931500996	8353.650399892	5001.52039193062	5869.15601170826	4877.7098729856	6409.4101263076	9416.69672520818	8393.07729558638	100	UP_pEhEx_DOWN_UmasM
EHI_064570A	10093.9630406417	7776.58241415961	1.46763538354465	0.99999596839275	0.376284532946491	6617.32539462921	8006.20968840967	7974.1562567273	9752.67872708157	10935.2614021301	9398.07882553434	6778.58487447968	8103.60505007747	8349.73984683091	9948.50089443168	11022.9697140219	9442.43513156155	100	UP_pEhEx_DOWN_UmasM
EHI_050550A	12539.7849244989	8616.38522058131	1.45867446372363	0.999989059761236	0.541357947721751	8546.20836007473	9267.43950699988	7272.09450548621	9850.13139061197	13960.4382983388	13532.7230223606	8754.47333612653	9380.17770118249	7614.61091399514	10047.9102913192	14072.4106080431	13596.5936936866	100	UP_pEhEx_DOWN_UmasM
EHI_051060A	10547.7991460563	7090.39631346604	1.50419395041086	0.999934750857608	0.573003830992685	8143.61712187322	5737.81380736326	6769.6435953047	8869.47452140062	12475.5409714301	10113.8601923837	8342.07123782776	5807.61418390843	7088.49451361991	9047.56300074469	12575.6033840513	10161.5947864574	99.99	UP_pEhEx_DOWN_UmasM
EHI_001420A	7487.77457570485	5228.59871395689	1.43697470047943	0.999870089995039	0.518112652260971	5395.64339823504	5218.42078614319	4609.23208411047	6107.77176996608	8481.45057854429	7721.17499562644	5527.13136292908	5281.90275821007	4826.32739526774	6230.40854896234	8549.4776412072	7757.61678414019	99.99	UP_pEhEx_DOWN_UmasM
EHI_130260A	20225.6887270629	10044.7007189778	1.7718442708148	0.999727938797084	1.00975425054666	7457.31255022631	14479.3040678642	7280.05698865192	15512.0542466259	20429.5302756444	24183.0790349994	7639.04191537252	14655.4444777799	7622.94843094715	15823.5178114198	20593.3891490016	24297.216410762	99.97	UP_pEhEx_DOWN_UmasM
EHI_014110A	6195.95915852197	3453.08254724854	1.41426946456706	0.998805014942849	0.843442811669198	2011.57445660349	5023.40652869257	2990.76667589696	5358.73323285933	7172.61668535549	5944.08135779799	2060.59508521209	5084.51615668228	3131.63209778381	5466.33021059999	7230.14600067639	5972.13576090012	99.88	UP_pEhEx_DOWN_UmasM
EHI_046690A	8913.37889798119	6207.65876259147	1.39776329104726	0.995324830346965	0.521923180386109	5828.09371648086	7064.72402228909	5175.05816613486	8896.42581586335	7722.97602397388	9862.64252683394	5970.12018566466	7150.66623190047	5418.80394467942	9075.05544508452	7784.91959943443	9909.191443722	99.53	UP_pEhEx_DOWN_UmasM
EHI_049620A	3003.90944477843	1933.34624468525	1.39324359262262	0.993458518289037	0.635741288110588	2084.35742519365	1905.03876481696	1642.28470859384	2646.48874951947	3049.77702865263	3241.79468339633	2135.15172261206	1928.21351875316	1719.63648939267	2699.62709000018	3074.23833643421	3257.09504847344	99.35	UP_pEhEx_DOWN_UmasM
EHI_009530A	11915.8886791636	7416.30006972429	1.39086910528392	0.992246991508386	0.684115027881629	9484.20079318821	6579.4993699818	5578.68097975599	9303.46900550476	11971.69655951	14147.6816859685	9715.32397294725	6659.53883255797	5841.43743485453	9490.27157693302	12067.7177936719	14214.4547903537	99.22	UP_pEhEx_DOWN_UmasM
EHI_105060A	5081.63620172231	3986.17984619958	1.38942557807719	0.991419777433343	0.350286293089746	3940.37977363139	3924.44124199575	3734.35688240881	4729.08925680425	5302.95511411239	5100.66094458945	4036.40400620499	3972.18198186939	3910.24548045829	4824.04373380225	5345.4884586748	5124.73463901139	99.14	UP_pEhEx_DOWN_UmasM
EHI_170340A	82580.8587921289	58230.8580858922	1.56583668670797	0.983337513999871	0.504023543384356	48934.5562966909	65756.7323418378	54590.3325176173	67176.3017060539	95104.7349591291	83844.8699638505	50127.0563816229	66556.661519036	57161.5428641188	68525.1217956685	95867.5402958683	84240.5943219846	98.33	UP_pEhEx_DOWN_UmasM
EHI_165350A	9576.61460620487	6833.07650954249	1.37370101678698	0.976875291362234	0.486980463597012	5859.22338983913	7935.96522941993	6076.55784006322	8200.05543132247	10558.5772600814	9770.61105956438	6002.00846686436	8032.5060688163	6362.76434713007	8364.70277303114	10643.2643062714	9816.72561364253	97.69	UP_pEhEx_DOWN_UmasM
EHI_148820A	20535.5818032933	15962.8090341122	1.36681528694691	0.966547200584623	0.363411271328655	15743.7778343173	14107.2279640143	16571.7341739038	18450.3466977622	23887.1379558705	18917.3657323896	16127.4424228086	14278.8420764543	17352.26457924	18820.8076736461	24078.7292191235	19006.6504127196	96.65	UP_pEhEx_DOWN_UmasM
EHI_152610A	8792.50370673426	7275.29533366571	1.25260073304267	0.955510852135231	0.273268224023568	7413.76626113366	7090.25955925914	6672.41382647893	8073.3014896049	8980.83895883015	9117.58966412511	7594.43443440706	7176.51240810624	6986.68521255714	8235.40376320644	9052.87145951621	9160.62213968529	95.55	UP_pEhEx_DOWN_UmasM
EHI_201250A	2306.5676519388	1437.11593664949	1.25503629826099	0.952906740093594	0.68257115423983	1409.69723646976	1533.82022075496	1239.77775500248	1906.83041941427	2532.01332811717	2430.50060238573	1444.05054835076	1552.47910941111	1298.17141637093	1945.11730201832	2552.32181517844	2441.97188609383	95.29	UP_pEhEx_DOWN_UmasM
EHI_052860A	3000.15754338991	1971.01957777832	1.21804167066155	0.949110719339867	0.606096154608169	2040.13475134781	1852.36318640851	1844.60947659144	2485.43591437955	3582.12187028512	2881.19006587008	2089.85137388148	1874.89714311233	1931.49077503262	2535.34050584447	3610.85294955976	2894.7884779133	94.91	UP_pEhEx_DOWN_UmasM
EHI_152080A	8020.71427642318	5358.03922364149	1.26018408243718	0.945999005682978	0.582025577618532	4073.09478281961	6059.14500344474	5429.47372099091	6617.7644264438	9930.81310731911	7391.44454940161	4172.35318510284	6132.85436679834	5685.20249866348	6750.64125026454	10010.4650535621	7426.33010234309	94.6	UP_pEhEx_DOWN_UmasM
EHI_052400A	5035.81140973355	2893.80752493704	1.26193720799171	0.94322812779166	0.799255287925977	3636.99211429421	2798.16427428936	2011.07662523903	3974.43023118114	4510.95461260986	6459.77918978441	3725.62300692756	2832.20388005872	2105.79854371705	4054.23205421162	4547.13556883424	6490.26754255622	94.32	UP_pEhEx_DOWN_UmasM
EHI_006980A	4504.10227440278	3101.824493211	1.21338684336193	0.942817297248045	0.538122528574816	2876.74160648721	3395.01698162149	2753.00269237197	3636.60577180175	5190.87306700874	4596.2183611691	2946.84573881578	3436.31728721704	2882.66940587456	3709.62448224637	5232.50743652307	4617.91122754961	94.28	UP_pEhEx_DOWN_UmasM
EHI_126110A	3983.9770020307	2779.34204457199	1.21288565635235	0.942071925138169	0.519465926061859	2219.99972845189	3297.12784154203	2561.19326253672	3851.84017037349	3950.47807346282	4055.0668782508	2274.09953163958	3337.23732793942	2681.82573191944	3929.18053106376	3982.16362264608	4074.20566084153	94.21	UP_pEhEx_DOWN_UmasM
EHI_123390A	7320.06531400448	5061.17912358821	1.2720143976743	0.923780833974223	0.532382986516544	5938.3977629931	4543.41202088015	4270.43406044756	5839.87443575716	8257.13491094226	7709.13829942344	6083.11226277918	4598.68252642536	4471.57194940861	5957.13215551439	8323.36280778619	7745.52327809442	92.38	UP_pEhEx_DOWN_UmasM
EHI_159480A	90388.0550708917	62438.0839398336	1.27479880614907	0.91759608372381	0.533705865242759	73827.9729283348	49034.7601629494	59039.4017943286	68880.4596809238	113485.413404159	87369.4591207923	75627.1077453261	49631.2669228557	61820.1637670798	70263.4972319646	114395.644414465	87781.8185548996	91.76	UP_pEhEx_DOWN_UmasM
EHI_084660A	31.5813262988	91.9943282401928	-0.973551957366455	0.902023665200549	-1.54247315658723	81.9408115513445	78.2093274405033	107.037230274175	33.3447276446937	37.5033681086795	23.5018112489615	83.9376504343198	79.1607421583678	112.07869496672	34.0142500415457	37.8041708957467	23.6127332311351	90.2	DOWN_pEhEx_UP_UmasM
EHI_101730A	11.7444769679774	63.5858021695412	-0.975306506217899	0.901933400487002	-2.43672220224138	89.9233444859489	67.7544713839684	28.3522545074995	17.6174710542769	2.31897540751444	14.7165748786686	92.1147119786202	68.5787030119015	29.6876486473465	17.9712088797111	2.3375751840385	14.7860329999621	90.19	DOWN_pEhEx_UP_UmasM
EHI_178640A	12.6439095440338	63.0576526040297	-0.96586570506192	0.901805827944898	-2.31822884579778	68.0763398611373	83.3357498888372	32.607673913399	7.74747646997259	7.74747646997259	21.8102966192442	69.7353115001987	84.3495274210482	34.1434987504142	7.90303656543962	7.80961655584841	21.9132351250119	90.18	DOWN_pEhEx_UP_UmasM
EHI_042220A	6.50694977886326	17.964951093659	-0.965214804617819	0.901747389388382	-1.4651316838121	15.7830172084414	19.0905990333702	17.3564158813712	5.53364242608996	7.15210480900176	6.69691190258502	16.1676380323727	19.3228357433332	18.1739048768442	5.64475137200535	7.20946960497716	6.72851945550118	90.17	DOWN_pEhEx_UP_UmasM
EHI_049360A	27.2442642298812	84.6776246488037	-0.977833529773846	0.901696825491661	-1.63602827045852	104.712196905202	51.4276015802119	90.4718130353329	27.4560100179425	26.2511116639072	27.3678316871048	107.263958138017	52.0532172024037	94.7330448508402	28.0072939819647	26.4616636209803	27.4970002054956	90.17	DOWN_pEhEx_UP_UmasM
EHI_006770A	6.19064791107357	76.5844096419038	-0.964295601087494	0.901655301749616	-3.62888841687566	3.76908677153255	209.834224830317	8.91356379143503	3.76908677153255	3.76908677153255	10.725352705291	3.86093671634287	212.386853478954	9.33339357425129	3.84476554258472	3.79931743781004	10.7759733731612	90.17	DOWN_pEhEx_UP_UmasM
EHI_018630A	9.10308912105837	47.6134851766152	-0.982449046951639	0.900903025403461	-2.38694212394769	53.4834396683225	61.831564158904	23.6881136085432	5.67840608882204	5.67840608882204	15.5084143465751	54.7867927826378	62.5837437530083	24.8038262263355	5.79242171658177	5.72395080823677	15.5816097288998	90.09	DOWN_pEhEx_UP_UmasM
EHI_056640A	7.48873845767087	81.8944272928888	-0.957575430123976	0.900685620924029	-3.45097067359362	4.99231229308476	219.027077028042	13.8740592225578	4.99231229308476	4.99231229308476	12.138632947413	5.11397136765397	221.691536517914	14.5275288567554	5.09255197498936	5.0323540687279	12.1959239031245	90.07	DOWN_pEhEx_UP_UmasM
EHI_048260A	68.1837841715752	197.557680284391	-0.952289662916495	0.899613592950582	-1.53477335806665	106.402246030781	223.80638915975	242.083819186022	70.5864157795279	76.792728807352	56.0924949802183	108.995192550197	226.528988874736	253.48599227978	72.0037068961768	77.4086592695124	56.3572358830518	89.96	DOWN_pEhEx_UP_UmasM
EHI_056420A	1416.39038003289	2054.39774583162	-0.951950143530574	0.899536543841931	-0.53649657434103	1982.27939703313	1906.8778578562	2085.34585162745	1717.9946721885	1148.13540488471	1345.06875478375	2030.58612602417	1930.07498431806	2183.56585840261	1752.48995800877	1157.34423990772	1351.41710346462	89.95	DOWN_pEhEx_UP_UmasM
EHI_134640A	928.34445884993	1474.47557498291	-0.99099101569069	0.897977541740486	-0.667469807459325	1552.21565280246	1151.23565652641	1585.53651944574	1016.81622907758	911.802369399193	836.628539293382	1590.04203640297	1165.24041252156	1660.21545462605	1037.23268729863	919.115651053656	840.577192226486	89.8	DOWN_pEhEx_UP_UmasM
EHI_002780A	94.063818942913	228.176682118613	-0.940265271979451	0.896390220262883	-1.2784395557743	182.175317626352	244.843273906717	235.779550560971	110.400960590413	75.1089446991642	94.0235441642259	186.614799623998	247.821786853811	246.884791945976	112.617680323046	75.7113700555673	94.4673090204409	89.64	DOWN_pEhEx_UP_UmasM
EHI_127960A	12.5623649373536	33.1499189848766	-0.93529133385626	0.894777280380766	-1.39989725911289	28.0929241924402	36.0222213496673	32.2399727610747	11.1158280352569	13.2177794895347	13.0684161622989	28.777528631936	36.4604308661514	33.7584788355238	11.3390206163589	13.3237951651873	13.1300954349829	89.48	DOWN_pEhEx_UP_UmasM
EHI_158070A	92.146192650481	242.383778637494	-0.933839662352042	0.894276414473756	-1.39529668860442	142.552910689514	286.289985887991	273.897984996849	82.485554889632	108.964792850826	83.4866536487898	146.026823011797	289.772697158693	286.798608613357	84.1417665403564	109.83876537742	83.8806873260102	89.43	DOWN_pEhEx_UP_UmasM
EHI_169290A	1958.90412655436	3010.0500044749	-1.00098777044394	0.891630027216673	-0.619740663571621	2728.02435029585	2565.82458045979	3450.21790568328	2621.29357562645	1536.72708120394	1669.22033729954	2794.50434961781	2597.03777905385	3612.72352833935	2673.92602703846	1549.05268853735	1677.09859087483	89.16	DOWN_pEhEx_UP_UmasM
