NOISeq	DESeq2
EHI_000130A	1.73656439346879	-1.81359435485787
EHI_000560A	-1.68629430597543	1.58385207148221
EHI_000620A	2.54454953665788	-2.91166511979332
EHI_000730A	2.00659800505365	-1.89075505483408
EHI_000740A	-1.23554267686755	1.18936762067211
EHI_001060A	1.82272291739014	-2.11751338273845
EHI_001130A	-3.39887201740389	2.47261393285857
EHI_001400A	1.68768621986105	-1.40641636645889
EHI_002180A	-1.05963580674191	1.01997323552504
EHI_002190A	-3.0446264357873	1.93966432734583
EHI_003240.mRNA	-2.87620947167329	3.01418456097165
EHI_003260A	1.64497367593538	-1.2899365834067
EHI_004230A	1.96828509417736	-1.93057849197168
EHI_004530A	-2.11388515368559	2.02445505606457
EHI_004570A	1.47892606317318	-1.26083432059144
EHI_004600A	2.23883362551722	-1.92683926058729
EHI_004790A	1.42328764919321	-1.28317854253912
EHI_004880A	1.49130036856965	-1.52745161138167
EHI_005010A	1.01817312059278	-1.07418036814652
EHI_005060A	1.00408462396001	-1.04718443118781
EHI_005070A	2.07961265483665	-2.12753442734531
EHI_005100A	1.14079491466908	-1.21509337784571
EHI_005140A	-1.39645039882291	1.24498320471171
EHI_005890A	-1.17975705618561	1.11823976151615
EHI_005910A	-1.62428083301694	1.36539207395109
EHI_005960A	1.4249363238284	-1.51421936339519
EHI_006150A	-1.12516207519422	1.13178885738176
EHI_006170A	1.05571517541252	-1.12256895681857
EHI_006700A	2.39482785499993	-2.08219273835256
EHI_006810A	1.81477764723419	-1.79790128046582
EHI_006860A	1.74774006390545	-1.45000946172207
EHI_006940A	1.28896882244751	-1.34416938242647
EHI_006960A	1.76359465388482	-2.10853563389773
EHI_007030A	1.38109465600394	-1.36141018339844
EHI_007510A	-2.79263762532467	2.48626520583077
EHI_007620A	-2.593399477946	2.37758864081206
EHI_007930A	1.02245580301192	-1.0809283157352
EHI_008090A	1.16353882225604	-1.16132965345909
EHI_008200A	2.85318280347054	-2.15695674277237
EHI_008610A	-1.92306508407444	1.95268785364546
EHI_008620A	1.01224516906409	-0.866111646080673
EHI_008630A	-2.20005912490321	1.86545366151613
EHI_008730A	1.14971708678832	-1.10934684397522
EHI_009490A	1.75365247046438	-1.67513878136092
EHI_009500A	-1.47371812893064	1.44780473200072
EHI_009530A	1.3390396770314	-1.22862229836532
EHI_009570A	-1.70137625783537	1.47966666949291
EHI_009800A	1.3931408911898	-1.43090629872862
EHI_009940A	1.91598452331018	-1.99492831221061
EHI_010020A	2.38477221954357	-2.4347615237611
EHI_010030A	1.44381492658284	-1.54753025431807
EHI_010510A	1.38528726363538	-1.11136758190803
EHI_010540A	1.14424145534766	-1.25276602938876
EHI_010560A	1.14919592133985	-1.22670359070766
EHI_010650A	1.01023429891429	-0.995547385700923
EHI_011210A	1.48238849101251	-1.3120092799006
EHI_012020A	-2.55779968632707	2.0997572833052
EHI_012260A	-2.5064676878101	2.69577348255227
EHI_012420A	1.19811524148673	-1.27143419132741
EHI_012480A	1.10101352260695	-1.05597754968363
EHI_012570A	1.04381629646363	-1.0992951404316
EHI_012980A	1.62667007635912	-1.58193869161146
EHI_013895A	-1.02608297209064	0.96733445435131
EHI_013900A	-1.59551249611666	1.52142655898886
EHI_013930A	-1.55184177377644	1.56459847465372
EHI_013960A	-1.69766308005868	1.79512540337278
EHI_014000A	-1.6544626135684	1.56904895869956
EHI_014010A	-2.44383214380339	2.23344784517837
EHI_014070A	-2.08192688262038	2.23753745439596
EHI_014230A	1.55985726446546	-1.8223321239761
EHI_014240A	-1.21763849249747	1.17809234620682
EHI_014250A	-2.82787326147237	2.64812811399755
EHI_014400A	1.51520264990007	-1.4994510784347
EHI_015230A	-1.48528945490703	1.48784515391487
EHI_015250A	-1.42903708426239	1.4461220461016
EHI_015290A	2.23227820432123	-2.23907802880828
EHI_015320A	-1.11362136783586	1.07254921907855
EHI_015440A	1.27754418804637	-1.33291474790324
EHI_016010A	-1.23764359202985	1.17148085058692
EHI_016130A	1.22450432127381	-1.09247954455738
EHI_016370A	-1.3242480811519	1.2792222772658
EHI_017030A	1.45000941221032	-1.546475259179
EHI_017560A	1.2711546602159	-0.97525788374404
EHI_017580A	-1.91851295375355	2.23351990335671
EHI_017650A	1.79597201042376	-2.5040179261955
EHI_017660A	1.88060497428598	-2.01137159329806
EHI_017720A	-1.03164806103294	0.983078888961139
EHI_017750A	1.598335388364	-1.66644192577911
EHI_019060A	-1.31815158634117	1.32359517334489
EHI_019190A	2.03789536012941	-1.86456896587613
EHI_019860A	1.95874655214774	-2.07695406725091
EHI_020990A	2.87834521464886	-3.8130053685405
EHI_021190A	-1.83771937992231	1.73134929633782
EHI_021260A	-2.00805177652337	1.79943702483809
EHI_022010A	1.08061927593485	-1.18398804086961
EHI_022130A	-2.14436168017666	1.64170119032066
EHI_022870A	-1.55975457698589	1.64949912825838
EHI_022960A	1.1123857824167	-1.14681205235224
EHI_023000A	1.43615187884078	-1.55870613041017
EHI_023220A	-1.48124280928274	1.40418612202195
EHI_023360A	1.91556769514315	-1.72437961670196
EHI_023400A	-2.04028957513607	2.0045531019772
EHI_023420A	-1.15703496729292	1.41561729455632
EHI_023450A	1.34611705669906	-1.46888355338695
EHI_023490A	-1.54790439537065	1.4460432687928
EHI_023600A	1.93195819312428	-1.78881797734768
EHI_024240A	1.66420284381671	-1.72008279675204
EHI_024500A	1.31304116364185	-1.53177256975039
EHI_024510A	1.91211505396264	-1.91117316318363
EHI_024670A	1.0115833729416	-1.09330957115351
EHI_025360A	1.73889813623587	-1.75252960754141
EHI_025480A	-2.39665260434253	1.75652543029383
EHI_025600A	-1.89982495154531	1.73416092529861
EHI_025830A	1.16804217002931	-1.20464137550656
EHI_025840A	-2.48990968957483	4.0925603141984
EHI_025850A	-2.37421702093595	2.0264160587925
EHI_026310A	-1.61954483017761	1.55933462071112
EHI_026330A	-1.46212070389208	1.36617757464053
EHI_026350A	1.51764607096671	-1.68842837931159
EHI_026360A	2.68464846590517	-2.81470358736183
EHI_026440A	-1.34598117700596	1.06672585001343
EHI_027380A	-1.5560337052374	1.28550265549719
EHI_027600A	1.06598409623477	-1.10162594244854
EHI_027650A	1.55085315271835	-1.45124145164511
EHI_027810A	-2.31902918272401	1.43764458991447
EHI_028930A	-1.34048473087349	1.42558818746276
EHI_028990A	1.38589658036396	-1.66352517605903
EHI_029090A	-1.4501243542806	1.34263793074115
EHI_029210A	1.5095709941581	-1.60759832938285
EHI_029560A	1.04688745182533	-1.1228624108073
EHI_030150A	-2.69957099237743	3.09217468414425
EHI_030600A	1.74960409935795	-1.72276690541182
EHI_030780A	1.31633623968491	-1.57116905997416
EHI_030790A	2.09680027235785	-1.44338680004888
EHI_030880A	1.09586655788349	-1.27327315242661
EHI_031240A	2.94505023173562	-2.78601062886804
EHI_031260A	-1.55496478203304	1.56176829176896
EHI_032780A	1.64809494818576	-1.81833392187881
EHI_033850A	1.85975697575787	-1.80506167335499
EHI_035160A	-2.56402162763105	2.58206572645839
EHI_035220A	2.88673689341886	-3.02703557563966
EHI_035510A	1.79929439116388	-1.87234385332922
EHI_035530A	-1.75506943671223	1.47357705742125
EHI_035670A	1.93000012985472	-2.01879690013361
EHI_035970A	2.21427574496557	-2.19676128875574
EHI_036900A	1.17397342406098	-1.20718518786338
EHI_038300A	1.77751618225421	-1.90864621223001
EHI_038600A	-1.72135987174071	2.04065875829841
EHI_038860A	-1.07779716785566	1.02061994815598
EHI_038900A	-1.28372327002277	1.45111168156778
EHI_039020A	3.35261760517947	-3.47912982583579
EHI_039060A	1.27328403744691	-1.3176591991809
EHI_039070A	1.67915840035427	-1.68837314640614
EHI_039330A	-2.0410579966459	1.78396273051618
EHI_039830A	-1.26073997472941	1.24269174104787
EHI_040310A	1.02304135822836	-1.07066382649978
EHI_040340A	-2.71364604939243	2.29394708476665
EHI_040820A	2.30925164048664	-2.76217708990284
EHI_041580A	-2.41838021754288	2.44488027554856
EHI_041960A	1.98305796694577	-1.95064681398821
EHI_042140A	1.72230739127552	-1.7839846760931
EHI_042690A	-1.58831633880941	1.5338580044116
EHI_042920A	1.80671032158938	-1.01160714357851
EHI_044180A	1.75897200001183	-2.35125804989615
EHI_044510A	-1.32839715187693	1.25996018314326
EHI_044550A	-1.38316079951315	1.33312291402415
EHI_044610A	2.03751291695001	-2.3057322640032
EHI_044640A	1.81691736841219	-1.4637166001474
EHI_044730A	-1.1069130303211	1.05817324002096
EHI_044830A	-1.56981787615177	1.50810047166018
EHI_044930A	-2.45559515816253	2.03396905941415
EHI_044970A	1.40334847199535	-1.30014050485718
EHI_044980A	-2.35780569482136	1.97748369766158
EHI_045430A	1.78862502748637	-2.75580768752023
EHI_045540A	-2.06380561087092	1.92082228091132
EHI_045590A	-2.27470914421748	2.33953107747878
EHI_045930A	-2.35488613372587	0.886012425646062
EHI_046600A	1.48511580432074	-1.55753378551967
EHI_046650A	1.53146512636319	-1.62747079742983
EHI_048410A	-1.32712740650782	1.33125050319951
EHI_048580A	-2.63001356962178	2.32931670292587
EHI_048990A	-1.27407345039654	1.22511026870842
EHI_049000A	1.14777157419875	-1.40999639241585
EHI_049430A	-1.30356337117736	1.3240495390358
EHI_049660A	1.77792129571784	-1.84877169045134
EHI_049670A	-3.10796275601817	2.47523625818715
EHI_049740A	-1.33834860520019	1.36101293837181
EHI_049950A	-1.85914063434393	1.6386354580207
EHI_050000A	2.11786205558141	-2.29127779337738
EHI_050520A	1.48024688535345	-1.5241523796758
EHI_050550A	1.46763281889361	-1.42236970145455
EHI_050640A	-3.45206800739287	3.91311851868799
