NOISeq	DESeq2
EHI_005070A	1	1
EHI_014250A	1	1
EHI_017750A	1	1
EHI_023400A	1	1
EHI_026360A	1	1
EHI_031240A	1	1
EHI_035220A	1	1
EHI_035510A	1	1
EHI_035670A	1	1
EHI_041580A	1	1
EHI_044550A	1	1
EHI_050520A	1	1
EHI_050640A	1	1
EHI_056460A	1	1
EHI_058110A	1	1
EHI_065340A	1	1
EHI_068610A	1	1
EHI_080100A	1	1
EHI_083400A	1	1
EHI_089770A	1	1
EHI_096200A	1	1
EHI_098440A	1	1
EHI_098470A	1	1
EHI_099720A	1	1
EHI_099860A	1	1
EHI_103310A	1	1
EHI_103900A	1	1
EHI_109880A	1	1
EHI_112800A	1	1
EHI_117850A	1	1
EHI_119540A	1	1
EHI_134840A	1	1
EHI_140640A	1	1
EHI_147570A	1	1
EHI_148470A	1	1
EHI_159820A	1	1
EHI_163670A	1	1
EHI_169350A	1	1
EHI_179390A	1	1
EHI_181610A	1	1
EHI_188960A	1	1
EHI_194430A	1	1
EHI_195110A	1	1
EHI_196580A	1	1
EHI_000130A	1	0
EHI_000560A	1	0
EHI_000620A	1	0
EHI_000730A	1	0
EHI_000740A	1	0
EHI_001060A	1	0
EHI_001130A	1	0
EHI_001400A	1	0
EHI_002180A	1	0
EHI_002190A	1	0
EHI_003240.mRNA	1	0
EHI_003260A	1	0
EHI_004230A	1	0
EHI_004530A	1	0
EHI_004570A	1	0
EHI_004600A	1	0
EHI_004790A	1	0
EHI_004880A	1	0
EHI_005010A	1	0
EHI_005060A	1	0
EHI_005100A	1	0
EHI_005140A	1	0
EHI_005890A	1	0
EHI_005910A	1	0
EHI_005960A	1	0
EHI_006150A	1	0
EHI_006170A	1	0
EHI_006700A	1	0
EHI_006810A	1	0
EHI_006860A	1	0
EHI_006940A	1	0
EHI_006960A	1	0
EHI_007030A	1	0
EHI_007510A	1	0
EHI_007620A	1	0
EHI_007930A	1	0
EHI_008090A	1	0
EHI_008200A	1	0
EHI_008610A	1	0
EHI_008620A	1	0
EHI_008630A	1	0
EHI_008730A	1	0
EHI_009490A	1	0
EHI_009500A	1	0
EHI_009530A	1	0
EHI_009570A	1	0
EHI_009800A	1	0
EHI_009940A	1	0
EHI_010020A	0	1
EHI_010030A	1	0
EHI_010510A	1	0
EHI_010540A	1	0
EHI_010560A	1	0
EHI_010650A	1	0
EHI_011210A	1	0
EHI_012020A	1	0
EHI_012260A	1	0
EHI_012420A	1	0
EHI_012480A	1	0
EHI_012570A	1	0
EHI_012980A	1	0
EHI_013895A	1	0
EHI_013900A	1	0
EHI_013930A	1	0
EHI_013960A	1	0
EHI_014000A	1	0
EHI_014010A	1	0
EHI_014070A	1	0
EHI_014230A	1	0
EHI_014240A	1	0
EHI_014400A	1	0
EHI_015230A	1	0
EHI_015250A	1	0
EHI_015290A	1	0
EHI_015320A	1	0
EHI_015440A	1	0
EHI_016010A	1	0
EHI_016130A	1	0
EHI_016370A	1	0
EHI_017030A	1	0
EHI_017560A	1	0
EHI_017580A	1	0
EHI_017650A	1	0
EHI_017660A	1	0
EHI_017720A	1	0
EHI_019060A	1	0
EHI_019190A	1	0
EHI_019860A	1	0
EHI_020990A	1	0
EHI_021190A	1	0
EHI_021260A	1	0
EHI_022010A	1	0
EHI_022130A	1	0
EHI_022870A	1	0
EHI_022960A	1	0
EHI_023000A	1	0
EHI_023220A	1	0
EHI_023360A	1	0
EHI_023420A	1	0
EHI_023450A	1	0
EHI_023490A	1	0
EHI_023600A	1	0
EHI_024240A	1	0
EHI_024500A	1	0
EHI_024510A	1	0
EHI_024670A	1	0
EHI_025360A	1	0
EHI_025480A	1	0
EHI_025600A	1	0
EHI_025830A	1	0
EHI_025840A	1	0
EHI_025850A	1	0
EHI_026310A	1	0
EHI_026330A	1	0
EHI_026350A	1	0
EHI_026440A	1	0
EHI_027380A	1	0
EHI_027600A	1	0
EHI_027650A	1	0
EHI_027810A	1	0
EHI_028930A	1	0
EHI_028990A	1	0
EHI_029090A	1	0
EHI_029210A	1	0
EHI_029560A	1	0
EHI_030150A	1	0
EHI_030600A	1	0
EHI_030780A	1	0
EHI_030790A	1	0
EHI_030880A	1	0
EHI_031260A	1	0
EHI_032780A	1	0
EHI_033850A	1	0
EHI_035160A	1	0
EHI_035530A	1	0
EHI_035970A	1	0
EHI_036900A	1	0
EHI_038300A	1	0
EHI_038600A	1	0
EHI_038860A	1	0
EHI_038900A	1	0
EHI_039020A	1	0
EHI_039060A	1	0
EHI_039070A	1	0
EHI_039330A	1	0
EHI_039830A	1	0
EHI_040310A	1	0
EHI_040340A	1	0
EHI_040820A	1	0
EHI_041960A	1	0
EHI_042140A	1	0
EHI_042690A	1	0
EHI_042920A	1	0
EHI_044180A	1	0
EHI_044510A	1	0
EHI_044610A	1	0
EHI_044640A	1	0
EHI_044730A	1	0
EHI_044830A	1	0
EHI_044930A	1	0
EHI_044970A	1	0
EHI_044980A	1	0
EHI_045430A	1	0
EHI_045540A	1	0
EHI_045590A	1	0
EHI_045930A	1	0
EHI_046600A	1	0
EHI_046650A	1	0
EHI_048410A	1	0
EHI_048580A	1	0
EHI_048990A	1	0
EHI_049000A	1	0
EHI_049430A	1	0
EHI_049660A	1	0
EHI_049670A	1	0
EHI_049740A	1	0
EHI_049950A	1	0
EHI_050000A	1	0
