NOISeq	DESeq2
EHI_000130A	0.0206491807684113	0.0414370352193977
EHI_000620A	0.0357812356093173	0.0753843975361507
EHI_001060A	0.0444727244894185	0.376257738750811
EHI_001130A	0.0292407914127881	0.490161448272834
EHI_001940A	0.0208646449331511	0.285456022962457
EHI_002190A	0.0318069982926582	0.540157618023561
EHI_002200A	0.049632779173168	0.336226944873853
EHI_004430A	0.0475131445102146	0.149432646570814
EHI_004490A	0.0367460107945464	0.417398729928177
EHI_004530A	0.0488362264514881	0.312877772838474
EHI_005070A	0.0456203132844327	0.194817028936689
EHI_005100A	0.0442647473837362	0.203586214295929
EHI_005890A	0.00917672545491299	0.378455974422793
EHI_005910A	0.0457808887241369	0.474054695167747
EHI_005960A	0.0372965668185347	0.0984893703915806
EHI_006160A	0.0463051971898552	0.146961943330418
EHI_006170A	0.047138894122293	0.377933565910577
EHI_006680A	0.0347002684277017	5.6606356602675e-05
EHI_006770A	0.0307120232755098	0.0102342104082464
EHI_006810A	0.0198889911415212	0.0856848607023847
EHI_006940A	0.0414939508765356	0.240447373418423
EHI_006960A	0.03633273489045	0.309395094791746
EHI_007510A	0.00203585044531551	0.182048692995164
EHI_007620A	0.000109209384008158	0.159763124287565
EHI_008630A	0.0413517527035641	0.479976049204162
EHI_009620A	0.036207553564047	0.337640763305113
EHI_009940A	0.0298374176971714	0.0281395000819023
EHI_010020A	0.0259034086547392	0.00318137913162882
EHI_010030A	0.0210364368127035	0.0984893703915806
EHI_010350A	0.040557109559674	0.345875625704616
EHI_011880A	0.0258477103532183	0.0753843975361507
EHI_012020A	0.0337185176225261	0.378801279407309
EHI_012260A	0.049518562006155	0.377933565910577
EHI_012420A	0.025436375915148	0.0434013828034417
EHI_012570A	0.0315102060546922	0.0753843975361507
EHI_013220A	0.017405870749468	0.238324927643544
EHI_013340A	0.0366669811369075	0.0752043484049131
EHI_013550A	0.0472493745519886	0.65857287089553
EHI_013900A	7.325474115083e-07	0.171345151800034
EHI_014250A	0.0452255424320306	0.136993841506221
EHI_014400A	0.0300031251822336	0.189933989289243
EHI_015250A	0.0466955413586889	0.224788484963017
EHI_015440A	0.0358349465717468	0.240447373418423
