NOISeq	DESeq2
EHI_000130A	2.00834898875729	-2.01941969097578
EHI_000620A	1.95913196541359	-2.18419518940518
EHI_001060A	1.82442020973437	-2.21337737510001
EHI_001130A	-2.65646816880514	1.81980960811753
EHI_001940A	1.35477294128229	-1.34832152451828
EHI_002190A	-2.33337798015583	1.7617875386788
EHI_002200A	-1.45016848660096	1.41232860413406
EHI_004430A	-1.32190786495704	1.37233574884442
EHI_004490A	1.39968187708118	-1.31517383469789
EHI_004530A	-1.7541582565729	1.67112005014769
EHI_005070A	1.27962218011579	-1.28189488752964
EHI_005100A	1.14691568775351	-1.16292776461476
EHI_005890A	-1.33408740819051	1.27028940237808
EHI_005910A	-1.72072542713023	1.48209004241255
EHI_005960A	2.01954045219265	-2.08818307999255
EHI_006160A	1.22721322689571	-1.24307005960231
EHI_006170A	1.1717473814897	-1.16950975004614
EHI_006680A	4.37564539361561	-7.59307905922104
EHI_006770A	-3.72083036997195	5.78222987140838
EHI_006810A	1.39503649791193	-1.37505057523676
EHI_006940A	1.11657500586685	-1.11421439726456
EHI_006960A	1.50585282401523	-1.71920028945755
EHI_007510A	-2.34345372226284	2.12068657220395
EHI_007620A	-2.13402104829335	2.00460744127577
EHI_008630A	-2.0977424603906	1.72050152498623
EHI_009620A	1.22068339773998	-1.18559073063713
EHI_009940A	2.31647102528199	-2.35985005621132
EHI_010020A	2.44677037917004	-2.45197098407111
EHI_010030A	1.79485870056687	-1.78832704163338
EHI_010350A	1.54152542409163	-1.47215154825782
EHI_011880A	1.7022056333047	-1.80930543246793
EHI_012020A	-1.9326074227763	1.64616510571875
EHI_012260A	-1.9669918869231	2.23444725985796
EHI_012420A	1.77765427431349	-1.79872044652266
EHI_012570A	1.39534887575669	-1.3997577851378
EHI_013220A	1.25923411254099	-1.25045628071521
EHI_013340A	1.34316258096166	-1.36194596953258
EHI_013550A	-2.55361860808753	1.51589669454189
EHI_013900A	-1.35156163330925	1.34626400209377
EHI_014250A	-2.32294471152921	2.22916573520027
EHI_014400A	1.1014704002064	-1.0809753585851
EHI_015250A	-1.8001390413018	1.83656287916515
EHI_015440A	1.15579547559555	-1.15145607691683
EHI_016010A	-2.55412949818159	2.03257323999987
EHI_016110A	1.95290748096675	-2.1115092081363
EHI_017660A	2.25231185574809	-2.25255958413875
EHI_017690A	-1.41825838127306	1.40908970457616
EHI_017750A	1.85684127392734	-1.8481977945949
EHI_017890A	1.53946129191283	-1.67719976618555
EHI_019860A	2.5366995456848	-2.80899754170929
EHI_022130A	-1.44739742817524	1.13149043205133
EHI_022970A	1.04860241165016	-1.03751646264047
EHI_023070A	1.43851137191582	-1.43889906233826
EHI_023400A	-1.48272965730169	1.50578592933959
EHI_025360A	1.38278917927882	-1.35686647032296
EHI_025450A	-1.07488003493828	1.08968031466545
EHI_025480A	-2.56880532259279	2.17655249779737
EHI_025600A	-1.45612218984802	1.37773537045412
EHI_025850A	-1.91489893082338	1.70780724194175
EHI_026310A	-1.46861751388719	1.44919441482322
EHI_028990A	1.46513475042835	-1.42917275039077
EHI_029560A	1.37257536988737	-1.415463773182
EHI_029600A	-2.42719694229085	2.04490237817994
EHI_030150A	-2.13935787818207	2.55011658402855
EHI_030820A	1.0302484545283	-1.01468086698222
EHI_031240A	1.84613974946698	-1.8379259737164
EHI_032670A	2.58401622881177	-2.81527154410789
EHI_032780A	2.0281518339175	-2.08988943876184
EHI_033240A	1.56705778143625	-1.90944754221508
EHI_033740A	1.1305019203647	-1.1176246335362
EHI_035160A	-2.50922760997874	2.26983970824255
EHI_035510A	1.4053682910822	-1.39304693154117
EHI_035670A	2.0070786101429	-2.0203906020983
EHI_036630A	4.31097635909995	-6.77259420631254
EHI_039020A	2.94779052540623	-2.89404670560742
EHI_039330A	-2.11731279012531	1.624824297641
EHI_040280A	1.36835586217864	-1.3895061181836
EHI_040310A	1.41962633687994	-1.3927555966156
EHI_044610A	2.30353750930529	-2.58612463278325
EHI_044830A	-1.12563393746144	1.12592302667506
EHI_044930A	-2.10079295347335	1.64960507069137
EHI_044980A	-2.377303443272	1.88485383592423
EHI_045540A	-2.58730687317951	2.1254318388955
EHI_046600A	1.69299450519401	-1.72276220438267
EHI_048140A	1.60070866602956	-1.58599183629713
EHI_048580A	-1.92732101612829	1.70381796103138
