NOISeq	DESeq2
EHI_000130A	1	1
EHI_006680A	1	1
EHI_006770A	1	1
EHI_009940A	1	1
EHI_010020A	1	1
EHI_012420A	1	1
EHI_017750A	1	1
EHI_019860A	1	1
EHI_035670A	1	1
EHI_044610A	1	1
EHI_050000A	1	1
EHI_062500A	1	1
EHI_075040A	1	1
EHI_089770A	1	1
EHI_099860A	1	1
EHI_110570A	1	1
EHI_119540A	1	1
EHI_138790A	1	1
EHI_140640A	1	1
EHI_142900A	1	1
EHI_148190A	1	1
EHI_163670A	1	1
EHI_169350A	1	1
EHI_172280A	1	1
EHI_176820A	1	1
EHI_178340A	1	1
EHI_179390A	1	1
EHI_181610A	1	1
EHI_187780A	1	1
EHI_194430A	1	1
EHI_000620A	1	0
EHI_001060A	1	0
EHI_001130A	1	0
EHI_001940A	1	0
EHI_002190A	1	0
EHI_002200A	1	0
EHI_004430A	1	0
EHI_004490A	1	0
EHI_004530A	1	0
EHI_005070A	1	0
EHI_005100A	1	0
EHI_005890A	1	0
EHI_005910A	1	0
EHI_005960A	1	0
EHI_006160A	1	0
EHI_006170A	1	0
EHI_006810A	1	0
EHI_006940A	1	0
EHI_006960A	1	0
EHI_007510A	1	0
EHI_007620A	1	0
EHI_008630A	1	0
EHI_009620A	1	0
EHI_010030A	1	0
EHI_010350A	1	0
EHI_011880A	1	0
EHI_012020A	1	0
EHI_012260A	1	0
EHI_012570A	1	0
EHI_013220A	1	0
EHI_013340A	1	0
EHI_013550A	1	0
EHI_013900A	1	0
EHI_014250A	1	0
EHI_014400A	1	0
EHI_015250A	1	0
EHI_015440A	1	0
EHI_016010A	1	0
EHI_016110A	1	0
EHI_017660A	1	0
EHI_017690A	1	0
EHI_017890A	1	0
EHI_022130A	1	0
EHI_022970A	1	0
EHI_023070A	1	0
EHI_023400A	1	0
EHI_025360A	1	0
EHI_025450A	1	0
EHI_025480A	1	0
EHI_025600A	1	0
EHI_025850A	1	0
EHI_026310A	1	0
EHI_028990A	1	0
