NOISeq_EhMyb10_1	NOISeq_EhMyb10_2	NOISeq_EhMyb10_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_EhMyb10_1	DESeq2_EhMyb10_2	DESeq2_EhMyb10_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_000640A	37.0292092853025	53.872968686612	52.8902439739844	15.4458227217152	7.32114125802778	11.0145592843499	4.48256750506606	7.19927567416186	677.345164549826	1.18227702390944	0	116.937855597593
EHI_000690A	5.53167597922717	1.28684921409306	7.85990424082206	33.1146402575748	83.534042423802	7.5478931871046	15.2407295172246	0	0	108.769486199668	279.826682257309	0
EHI_001070A	227.139216157472	155.610910246049	44.5958096753883	218.059342313019	253.566551131368	841.548197180861	575.561667650482	404.059347212334	9.4075717298587	527.295552663609	611.299228689624	179.524313523065
EHI_001130A	437.8243633394	668.28204456531	1193.8547648356	293.529503883292	551.90200071079	147.81067191258	1421.87041260695	2232.67536844945	200.694863570319	908.579892874402	1705.25253348749	21.4111566587142
EHI_004430A	2.23377058540422	2.25949684052914	8.98855073593706	66.0149534986883	80.800332247701	12.0154623133077	0	0	9.4075717298587	46.6999424444227	57.2799584486437	12.0780883715824
EHI_004860A	188.460736659228	142.531618980708	123.982807272699	349.447132293893	338.817144136374	421.158062544819	235.783050766475	182.681620231857	78.3964310821558	419.117204975895	404.715771989597	242.659775465428
EHI_005020A	614.885031276699	386.456314636365	543.380407580875	869.823968552901	1420.33572509987	937.713979452063	686.72934177612	442.755453960954	413.933156113783	928.087463768908	1510.87628104701	642.334699761427
EHI_005870A	76.5636382517679	73.897196272661	8.39550375004762	63.4486605463772	85.2707919797667	578.278896492046	284.194779821188	281.671660751583	0	224.041496030838	301.424043639584	70.2725141619339
EHI_005970A	19761.361487045	25378.9437798234	31964.7785241273	14182.7571994385	13851.8714247718	10207.8234647008	10951.8089283774	14455.2456442577	66144.6368326365	7502.13885521733	7298.96913149685	18956.0106951817
EHI_006810A	478.848230541848	418.860564354558	259.948191094739	622.519785383067	849.831943661332	1261.8717651382	332.606508875902	298.769940477717	385.710440924207	413.205819856348	562.470411651436	1689.28535997086
EHI_007510A	11786.8357606296	21116.8639423274	17072.897966979	8602.50252809357	5758.19697101269	5404.13376413361	31579.6880731904	58147.649710746	3803.7948361062	21998.6285838829	14667.4254257019	1079.89090122284
EHI_008040A	12.7183932063328	22.7441308948335	16.2498667587242	44.8877969622819	67.7224798216143	57.1761982288593	8.0686215091189	16.1983702668642	18.8151434597174	31.3303411336001	47.8898013259153	64.7824739930328
EHI_008450A	383.412636805617	389.196149878692	1176.52871659862	278.332680917143	337.868362777482	105.513641521092	205.301591732025	214.178451306315	2527.5009380887	141.873242869132	171.839875345931	200.93547018178
EHI_009490A	25.4343033032193	9.00377336511547	3.98874138321395	55.7963186177375	63.2259569568049	238.863244759587	47.5152155537002	15.2984608075939	0	102.858101080121	116.437948321833	71.9195262126042
EHI_009810A	759.553955881961	434.043672826594	460.500151436069	1080.46447749644	1252.93645339261	1443.06204691194	572.872127147442	335.666228307797	611.492162440815	778.529420244364	899.577052357388	1724.42161705183
EHI_011950A	879.31253891068	1279.21885812328	1681.25924978825	649.59950628454	555.103078916934	411.667990436439	355.915859902245	532.746399887977	5393.67445845232	250.642729068801	213.156566685936	1182.55465238129
EHI_012480A	3631.78910494264	4193.21661587338	2498.81529786919	6106.54725925227	5993.18085242278	9240.37661921482	3090.28203799254	3667.1310465262	2815.99980447104	4960.834392324	4850.01615388926	9351.18541968921
