NOISeq	DESeq2
EHI_000640A	0.0422397431382848	0.0454040107663475
EHI_000690A	0.0195141896354778	0.769971623039504
EHI_001070A	0.0470411243150992	0.574508416377298
EHI_001130A	0.04362172315727	0.46504584016168
EHI_004430A	0.0410520118691688	0.0454040107663475
EHI_004860A	0.015899365451749	0.187580725852206
EHI_005020A	0.0256596762377579	0.436685971041406
EHI_005870A	0.0477346565484231	0.700228913433198
EHI_005970A	0.000157306422019166	0.294180774760338
EHI_006810A	0.0162637763990193	0.389698345925856
EHI_007510A	0.00554557415225998	0.149903672551082
EHI_008040A	0.0334984790583048	0.165656161226574
EHI_008450A	0.0416265530045854	0.464213221158091
EHI_009490A	0.0249510493338124	0.131978601999611
EHI_009810A	0.0423765611819753	0.318885674987473
EHI_011950A	0.0347898083994257	0.211548832297361
EHI_012480A	0.00247563076934476	0.444461941294496
EHI_014110A	0.0249133890763429	0.663444321442519
EHI_015310A	1.77635683940025e-15	0.346626535015231
EHI_017750A	0.00622942776101398	0.0964256764944252
EHI_018630A	0.0651873138646527	0.0370268651936343
EHI_023000A	0.0494365395127586	0.347696401522783
EHI_023230A	0.0185139480626524	0.346626535015231
EHI_025230A	0.0248151040877125	0.523994879491541
EHI_025380A	0.0430866969766792	0.0885440527468378
EHI_025600A	2.89529289432267e-10	0.905179489597426
EHI_025830A	0.0494410697380004	0.324653541509544
EHI_026360A	0.0392314196092984	0.389698345925856
EHI_027570A	0.044467440416402	0.160083381735403
EHI_028990A	0.0398894702570493	0.457442137977479
EHI_029370A	0.0427902907305591	0.464213221158091
EHI_029530A	0.0365680044315465	0.519567689358784
EHI_030070A	0.0454278014244394	0.730559718886246
EHI_030800A	0.0259826261262061	0.457442137977479
EHI_035090A	1.06587421744297e-06	0.358059088544849
EHI_035440A	0.014437682768583	0.664988983140954
EHI_035460A	0.0340244036340968	0.61345106106884
EHI_036560A	0.0355974110185886	0.149903672551082
EHI_036630A	0.02122433951016	0.660926798831206
EHI_038300A	0.0375712671665273	0.170769123450792
EHI_039020A	0.0497177659645983	0.692289316658485
EHI_044770A	0	0.460762360772361
EHI_048140A	0.0110015614986727	0.097840933664119
EHI_048440A	0.0485929294571418	0.303871513829515
EHI_049000A	0.00668773694445002	0.512168377437142
EHI_049360A	0.0344246597845604	0.0454040107663475
EHI_049690A	0	0.0454040107663475
EHI_050640A	0.0523629350633082	0.0454040107663475
EHI_050740A	0.0155242850765279	0.190214066865727
EHI_056490A	0.0285453448393502	0.324653541509544
EHI_057550A	0.0328038580978647	0.00520570881253129
EHI_057670A	0.0224741161053732	0.346626535015231
EHI_057850A	0.0179667941194881	0.318885674987473
EHI_058080A	0.0137804734752641	0.486504302225041
EHI_058320A	0.0341373499510349	0.165656161226574
EHI_065820A	0.0399346512507819	0.407718160628121
EHI_066770A	0.0153562279203145	0.389698345925856
EHI_067520A	0.0240113083935554	0.67657924038853
EHI_068480A	0.0114007842511831	0.325158828383379
EHI_069200A	0.0485054184592175	0.165656161226574
EHI_073540A	0.040909391303017	0.128357456453173
EHI_083260A	0.0464644541739418	0.464213221158091
EHI_083270A	6.83897383169096e-14	0.318885674987473
EHI_083410A	6.83897383169096e-14	0.318885674987473
EHI_083560A	0.03741208840124	0.914681274175251
EHI_086060A	0.0362395935886271	0.567473288432076
EHI_086080A	0.0284928480392401	0.324653541509544
EHI_086530A	0.0488649052946889	0.324653541509544
EHI_086540A	0.0438686536206407	0.260589332682177
EHI_087760A	0.0461716109870512	0.0996316842041143
EHI_088020A	0.0338530312294866	0.389698345925856
EHI_088600A	0.0158562683387449	0.219588388373026
EHI_090020A	0.0474516688927097	0.570180154745389
EHI_090270A	0.0457452769891685	0.464213221158091
EHI_092430A	0.0327327769328034	0.601084258174314
EHI_092470A	8.56739216237301e-08	0.549753697428416
EHI_093580A	0.0428870961838723	0.464213221158091
EHI_095070A	0.0344176637619927	0.318885674987473
EHI_095830A	0.0187860104972553	0.318885674987473
EHI_097930A	0.0469945565694366	0.294392518078395
