NOISeq	DESeq2
EHI_000640A	-2.13051349764103	2.70468792175565
EHI_000690A	2.99674663933682	-3.16942306904031
EHI_001070A	1.62170437366425	-1.23188760785009
EHI_001130A	-1.29052934528526	1.31110433304581
EHI_004430A	3.46940823563379	-5.51661285255189
EHI_004860A	1.25435863664255	-1.17334682453671
EHI_005020A	1.01483974006039	-0.954116237835131
EHI_005870A	2.20953671233899	-1.04198595024862
EHI_005970A	-1.06592031815195	1.11757597834838
EHI_006810A	1.21506368865545	-1.1154223197279
EHI_007510A	-1.38567440829762	1.46529820059095
EHI_008040A	1.66744385178474	-1.72509335470386
EHI_008450A	-1.51178272624378	1.40547012109057
EHI_009490A	3.22903036038568	-2.55431203870914
EHI_009810A	1.15963811567152	-1.08664967845902
EHI_011950A	-1.3044514810303	1.35278798748383
EHI_012480A	1.01937374931397	-0.930064234086289
EHI_014110A	1.21854155016435	-1.20539898927921
EHI_015310A	1.51971255476668	-1.45201156449382
EHI_017750A	1.57234318896773	-1.52600051549896
EHI_018630A	-3.28025940360791	4.30773265911805
EHI_023000A	1.98290006313391	-1.9856769834883
EHI_023230A	-1.31827873168341	1.33217380137805
EHI_025230A	1.27612545084228	-1.23848487516191
EHI_025380A	-1.95985362292842	2.61117796124396
EHI_025600A	5.60392566311398	-1.19655955163096
EHI_025830A	1.45489841909698	-1.38926316862657
EHI_026360A	2.65696279577559	-1.92236748172901
EHI_027570A	-1.368466920353	1.40913894560497
EHI_028990A	1.52569672802303	-1.51926171450145
EHI_029370A	-1.33624702466582	1.27203451923508
EHI_029530A	1.0126677259692	-0.936498123413
EHI_030070A	1.04204268425067	-0.916070896633447
EHI_030800A	-1.88686718561432	1.65418639879185
EHI_033240A	2.90884459670303	-5.59916235235181
EHI_033850A	2.19557946535214	-2.19265196526413
EHI_035090A	1.1162090293054	-1.05050289842532
EHI_035440A	1.07870492009818	-0.921906339707423
EHI_035460A	-1.26160379011324	1.11788866842881
EHI_036560A	3.25386955785326	-2.39589664529902
EHI_036630A	3.30114739705093	-3.45736583489354
EHI_038300A	1.73806480832042	-1.80177771227437
EHI_039020A	1.52713779221144	-1.36595631077433
EHI_044770A	1.13708293491548	-1.07227373188119
EHI_048140A	2.17989673673213	-2.17619397638744
EHI_048440A	1.54032849579551	-1.50872263254781
EHI_049000A	1.61653956624261	-1.52477763799026
EHI_049360A	-2.17787002729229	2.62671431349339
EHI_049690A	1.53159287034477	-1.46277648616911
EHI_050640A	-3.17861171247154	3.91297989591441
EHI_050740A	1.20652441111563	-1.14543806238252
EHI_053420A	1.66349463585789	-1.69992335331045
EHI_056490A	-1.67571189575957	1.61670827976625
EHI_057550A	-1.93866443198412	2.01130923905715
EHI_057670A	-1.34162188727986	1.35178491805389
EHI_057850A	1.10890765984183	-1.04520902717913
EHI_058080A	1.04772918449662	-0.986316797180422
EHI_058320A	1.78048689121112	-1.81420715150405
EHI_065820A	-1.39441772329576	1.37370166210303
EHI_066770A	1.63406619482262	-1.59486478320089
EHI_067520A	1.04327771832402	-0.980014404393438
EHI_068480A	-1.32692613349153	1.36624532870218
EHI_069200A	-2.2390007279953	2.51991099631561
EHI_073540A	-2.23380789582521	2.98825141721445
EHI_083260A	2.48279943883216	-1.61679773620817
EHI_083270A	1.74232242326886	-1.65795051111832
EHI_083410A	1.74232242326886	-1.65795051111832
