NOISeq	DESeq2
EHI_000640A	1	1
EHI_004430A	1	1
EHI_049360A	1	1
EHI_049690A	1	1
EHI_057550A	1	1
EHI_103400A	1	1
EHI_126980A	1	1
EHI_152800A	1	1
EHI_178340A	1	1
EHI_181610A	1	1
EHI_188960A	1	1
EHI_000690A	1	0
EHI_001070A	1	0
EHI_001130A	1	0
EHI_004860A	1	0
EHI_005020A	1	0
EHI_005870A	1	0
EHI_005970A	1	0
EHI_006810A	1	0
EHI_007510A	1	0
EHI_008040A	1	0
EHI_008450A	1	0
EHI_009490A	1	0
EHI_009810A	1	0
EHI_011950A	1	0
EHI_012480A	1	0
EHI_014110A	1	0
EHI_015310A	1	0
EHI_017750A	1	0
EHI_018630A	0	1
EHI_023000A	1	0
EHI_023230A	1	0
EHI_025230A	1	0
EHI_025380A	1	0
EHI_025600A	1	0
EHI_025830A	1	0
EHI_026360A	1	0
EHI_027570A	1	0
EHI_028990A	1	0
EHI_029370A	1	0
EHI_029530A	1	0
EHI_030070A	1	0
EHI_030800A	1	0
EHI_033240A	1	0
EHI_033850A	1	0
EHI_035090A	1	0
EHI_035440A	1	0
EHI_035460A	1	0
EHI_036560A	1	0
EHI_036630A	1	0
EHI_038300A	1	0
EHI_039020A	1	0
EHI_044770A	1	0
EHI_048140A	1	0
EHI_048440A	1	0
EHI_049000A	1	0
EHI_050640A	0	1
EHI_050740A	1	0
EHI_053420A	1	0
EHI_056490A	1	0
EHI_057670A	1	0
EHI_057850A	1	0
EHI_058080A	1	0
EHI_058320A	1	0
EHI_065820A	1	0
EHI_066770A	1	0
EHI_067520A	1	0
EHI_068480A	1	0
EHI_069200A	1	0
EHI_073540A	1	0
EHI_083260A	1	0
EHI_083270A	1	0
EHI_083410A	1	0
EHI_083560A	1	0
EHI_086060A	1	0
EHI_086080A	1	0
EHI_086530A	1	0
EHI_086540A	1	0
EHI_087760A	1	0
EHI_088020A	1	0
EHI_088600A	1	0
EHI_090020A	1	0
EHI_090270A	1	0
EHI_092430A	1	0
EHI_092470A	1	0
EHI_092720A	1	0
EHI_093580A	1	0
EHI_093840A	1	0
EHI_095070A	1	0
EHI_095830A	1	0
EHI_097930A	1	0
EHI_098190A	1	0
EHI_098440A	1	0
EHI_098800A	1	0
EHI_099860A	1	0
EHI_100350A	1	0
EHI_103310A	1	0
EHI_103370A	1	0
EHI_105140A	1	0
EHI_105280A	1	0
EHI_105350A	1	0
EHI_105860A	1	0
EHI_106670A	1	0
EHI_107100A	1	0
EHI_108500A	1	0
EHI_110360A	1	0
EHI_110720A	1	0
EHI_110740A	1	0
EHI_111050A	1	0
EHI_111760A	1	0
EHI_112990A	1	0
EHI_113950A	1	0
EHI_114920A	1	0
EHI_117850A	1	0
EHI_118170A	1	0
EHI_118640A	1	0
EHI_122780A	1	0
EHI_124880A	1	0
EHI_126110A	1	0
EHI_126210A	1	0
EHI_126870A	1	0
EHI_127360A	1	0
EHI_130260A	1	0
EHI_131940A	1	0
EHI_132040A	1	0
EHI_134490A	1	0
EHI_134810A	1	0
EHI_134840A	1	0
EHI_135060A	1	0
EHI_135090A	1	0
EHI_139570.mRNA	1	0
EHI_140540A	1	0
EHI_140550A	1	0
EHI_140640A	1	0
EHI_140770A	1	0
EHI_141940A	1	0
EHI_142710A	1	0
EHI_146950A	1	0
EHI_148470A	1	0
EHI_150100A	1	0
EHI_150530A	1	0
EHI_151390A	1	0
EHI_152080A	1	0
EHI_152380A	1	0
EHI_152670A	1	0
EHI_153250A	1	0
EHI_153540A	1	0
EHI_153650A	1	0
EHI_153940.mRNA	1	0
EHI_155420A	1	0
EHI_155680A	1	0
EHI_158570A	1	0
EHI_159680A	1	0
EHI_159820A	1	0
EHI_160740A	1	0
EHI_160980A	1	0
EHI_161040A	1	0
EHI_162230A	1	0
EHI_165810.mRNA	1	0
EHI_166970A	1	0
EHI_167060A	1	0
EHI_167080A	1	0
EHI_167270A	1	0
EHI_168340A	1	0
EHI_169310A	1	0
EHI_170050A	1	0
EHI_170060A	1	0
EHI_170130A	1	0
EHI_172280A	1	0
EHI_174180A	1	0
EHI_174880A	1	0
EHI_176140A	1	0
EHI_177460A	1	0
EHI_177520A	1	0
EHI_178640A	1	0
EHI_178770A	1	0
EHI_179000A	1	0
EHI_179390A	1	0
EHI_182850A	1	0
EHI_183460A	1	0
EHI_186720A	1	0
EHI_186840A	1	0
EHI_186950A	1	0
EHI_192800A	1	0
EHI_194240A	1	0
EHI_197480A	1	0
EHI_197990A	1	0
EHI_198580A	1	0
EHI_198670A	1	0
EHI_199150A	1	0
EHI_199650A	1	0
EHI_201200A	1	0
EHI_201940A	1	0
EHI_202040A	1	0
EHI_202460A	1	0
