NOISeq_U2AF84_1	NOISeq_U2AF84_2	NOISeq_U2AF84_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_U2AF84_1	DESeq2_U2AF84_2	DESeq2_U2AF84_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_004430A	2.36630081488964	2.35640523359027	12.4524775361591	73.9774505337177	88.5335704055813	10.8783807782395	0	0	16.5032027720583	46.9184453177603	57.5068024226115	12.6103403911926
EHI_005020A	432.055577652726	556.264669641049	542.228510700149	875.877102572594	1397.23773651543	973.156796919049	483.02270397264	633.405406620335	412.580069301457	932.429862644096	1516.85975570462	670.640829895244
EHI_007510A	12357.8694622448	13385.8506686074	14173.9121911331	8751.0228417362	5722.33365714536	5528.2089461184	32849.5859011351	36206.5708166653	3199.2637373833	22101.5572665206	14725.5123580523	1127.47907043072
EHI_007620A	3375.96551637535	3691.28357412359	3977.05221261694	2393.53857979854	1578.27744931783	1514.65145445589	7820.31946871184	8701.04453179273	1089.21138295585	5267.33786738248	3538.08245068953	374.297830702218
EHI_015310A	2995.82235442658	4714.94353458632	4538.72944360059	7364.51830112379	10385.0983018132	7083.72786973338	3239.68784296294	5189.37043920647	3651.9230134169	7569.90511417939	10878.213002533	5154.19003625473
EHI_017750A	409.950307341862	464.731892026142	537.14999454403	1016.85375064564	1466.18928075451	1058.75444639676	238.47982873963	275.303657125832	1027.91377265963	564.209152555345	829.606330031117	1834.23132962802
EHI_022970A	376.500258374382	374.407317157646	351.4135710386	646.405727289647	785.602872028137	796.836633424	251.616429475287	254.604134033664	551.678492665948	411.575729179846	510.019346075948	1133.78424062632
EHI_025230A	244.784341568388	494.4884800952	266.997183677281	599.102000163174	910.056287345237	934.574503840011	276.879123197706	571.306837343831	198.038433264699	646.761860139758	1002.12673729895	630.517019559632
EHI_030170A	55.150131229698	52.4593293750293	54.9421511685052	95.6992371403089	157.700622649651	118.785182291238	53.556910691527	51.7488077304195	47.1520079201665	89.6795600377443	151.780249017057	94.004355643436
EHI_033850A	7.6670379774912	9.38683318940186	3.48511729687229	18.4361737492782	19.284849842816	49.3528035171939	11.1155852378641	14.4896661645175	0	29.1013141844336	31.1102373761669	16.0495241342452
