NOISeq	DESeq2
EHI_004430A	3.29523254133257	-5.38130478945122
EHI_005020A	1.06798496019888	-0.991066006578698
EHI_007510A	-1.0107805380719	1.1047275028518
EHI_007620A	-1.02344504296188	1.11559813736942
EHI_015310A	1.00127298855627	-0.920052894942663
EHI_017750A	1.31023934843355	-1.23677234498423
EHI_022970A	1.00572920751677	-0.922342454236371
EHI_025230A	1.26965920833001	-1.1904045780712
EHI_030170A	1.18102766892637	-1.13182758603144
EHI_033850A	2.09091159425229	-1.69788769485679
EHI_035440A	1.15184646375568	-0.916822032612842
EHI_035670A	1.40018066499423	-1.4962609776124
EHI_036560A	3.06970831164914	-2.19945905518311
EHI_037810A	1.64946727084358	-1.55246445622826
EHI_039020A	1.67321826292033	-1.66164765179201
EHI_048140A	1.63322722683409	-1.56219710980868
EHI_048860A	2.05945269486729	-2.66950971022128
EHI_049000A	1.27702960837022	-1.19064132413413
EHI_049690A	1.2682510840286	-1.17763444229046
EHI_050000A	2.58907107560787	-2.67329491396638
EHI_052110A	1.64946727084358	-1.55246445622826
EHI_054230A	1.25525319189073	-1.18611060394
EHI_056250A	1.44416266643997	-1.43334217634223
EHI_066770A	1.24116666274115	-1.16186428950402
EHI_077770A	1.76675799017006	-1.84161929027943
EHI_080590A	2.07276645713343	-2.17580339090169
EHI_083270A	1.3053406677271	-1.21363192581139
EHI_083410A	1.3053406677271	-1.21363192581139
EHI_083560A	3.17511949915885	-1.79223685280977
EHI_086080A	1.48907983885041	-1.42752592531923
EHI_090020A	1.17557041800655	-1.09791214268831
EHI_098800A	1.35243237715946	-1.2602122936404
EHI_103310A	1.62766348599125	-1.55251882408676
EHI_112810A	2.18310936080718	-1.99644735774465
EHI_112990A	1.76156905486693	-0.825339300303588
EHI_114180A	-2.80671828431947	3.97397699118151
EHI_114920A	1.65958602290935	-1.56923480000866
EHI_117850A	1.32105894286648	-1.2370514397675
EHI_124880A	1.14715006101784	-1.08557302176997
EHI_126980A	3.29623156672955	-3.78006063980387
EHI_134810A	1.28530876935002	-1.2106471678009
EHI_134840A	1.64497340147274	-1.62751543145984
EHI_135060A	1.189550431976	-1.13464200474704
EHI_140550A	1.02638903284982	-0.945649654977943
EHI_146950A	1.36838703036991	-1.21350702529399
EHI_148400A	2.28190000019143	-2.78815890851382
EHI_148470A	1.28461587293188	-1.21275026671747
EHI_151360A	1.4115935957298	-1.42547693307241
EHI_152080A	1.0027353596349	-0.9050654002728
EHI_152800A	1.94978196131497	-1.86675772547948
EHI_155680A	1.4998717051145	-1.47244292214945
EHI_160740A	1.26965920833001	-1.1904045780712
EHI_160980A	1.18756018619513	-1.09823894606306
EHI_166490A	1.00279575400748	-0.926285421533533
EHI_167060A	1.26186506834386	-1.13738013315562
EHI_168290A	1.5331923648502	-1.42089986306039
EHI_170050A	1.48648014267433	-1.33586411682306
EHI_174180A	1.24116666274115	-1.16186428950402
EHI_174880A	1.93703045961236	-2.15641879350181
EHI_175070A	1.21455399408603	-1.13009176334073
EHI_177520A	1.09545546580633	-1.02104563204855
EHI_180390A	2.52018172861426	-2.80397830401977
EHI_186720A	1.09909784580655	-1.01400608723682
EHI_188960A	1.46592864597754	-1.38449794666185
EHI_195110A	-5.2808707036544	9.75039113694324
EHI_202460A	1.61612732172729	-1.54902835530677
