logFC	AveExpr	t	P.Value	adj.P.Val	B	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_004230A	-1.99287226570148	4.80192991990902	-3.35282731821077	0.0140412722668778	0.367305026866252	-2.78321184619059	132	272	35	640	543	519	22.2761959705441	37.930838796358	3.00772866029165	57.626171968325	75.7082943646764	41.5487218583765	63.27	UP_pEhEx_DOWN_CDC5
EHI_004880A	-1.52782432470546	5.09730592999749	-3.81282990006643	0.00788778705132986	0.367305026866252	-2.40850140237104	151	175	153	474	496	823	25.4826181178194	24.4040323138333	13.1480710007035	42.6793836140407	69.1552744104594	65.8855454517222	63.27	UP_pEhEx_DOWN_CDC5
EHI_005070A	-2.16581419234019	3.48529000138972	-4.66379017611253	0.00295321317414702	0.367305026866252	-1.97724366203574	33	48	46	174	154	476	5.56904899263603	6.69367743465141	3.95301481066902	15.6671155038884	21.4715972967959	38.1063422053703	63.27	UP_pEhEx_DOWN_CDC5
EHI_005100A	-1.21800252262595	3.16305963343547	-3.70291075528041	0.00902674845987157	0.367305026866252	-2.58077841632579	31	32	98	108	86	268	5.23153087187021	4.46245162310094	8.42164024881661	9.72441651965485	11.9906322566522	21.4548313257127	63.27	UP_pEhEx_DOWN_CDC5
EHI_006810A	-1.84193262425878	5.85300101726342	-3.76721244331614	0.00834002700090797	0.367305026866252	-2.43878991448732	196	231	312	699	599	3077	33.0767758350504	32.2133226542599	26.8117526288855	62.938584696655	83.5161479271476	246.330283541858	63.27	UP_pEhEx_DOWN_CDC5
EHI_006940A	-1.34252628536212	4.18438568406583	-4.10681624804101	0.00554913458649469	0.367305026866252	-2.2464228314424	52	68	205	204	186	630	8.77547113991132	9.48270969908949	17.6166964388511	18.3683423149036	25.9332279039223	50.4348646835784	63.27	UP_pEhEx_DOWN_CDC5
EHI_006960A	-1.9601702538663	0.375243174529292	-3.86637840924824	0.00739110958632961	0.367305026866252	-3.0780056187732	3	4	8	25	22	30	0.50627718114873	0.557806452887617	0.687480836638091	2.2510223425127	3.06737104239941	2.40166022302754	63.27	UP_pEhEx_DOWN_CDC5
EHI_007620A	2.49191464979648	9.37537454482409	3.37182490922103	0.013702156646404	0.367305026866252	-2.74630523474604	10224	10657	17811	8869	3753	653	1725.39263335487	1486.13584210583	1530.59014767013	798.572686229804	523.265614642045	52.2761375212328	63.27	DOWN_pEhEx_UP_CDC5
EHI_009940A	-1.86933817291515	3.68601883387955	-3.56787480507801	0.0106804253860583	0.367305026866252	-2.67643125594201	20	29	256	72	146	1357	3.3751812076582	4.04409678343522	21.9993867724189	6.48294434643657	20.3561896450143	108.635097421612	63.27	UP_pEhEx_DOWN_CDC5
EHI_010020A	-2.29245563480329	6.02616596992105	-4.53149544110166	0.00341642065699709	0.367305026866252	-1.93637260704614	96	128	1013	610	1264	3885	16.2008697967594	17.8498064924038	87.0522609392982	54.9249451573098	176.234408981493	311.014998882067	63.27	UP_pEhEx_DOWN_CDC5
EHI_010560A	-1.22950558897213	2.77893534009826	-3.28830534846957	0.015262994322017	0.367305026866252	-2.91055901422937	27	31	52	82	73	186	4.55649463033857	4.32300000987903	4.46862543814759	7.38335328344165	10.1780948225071	14.8902933827708	63.27	UP_pEhEx_DOWN_CDC5
EHI_012420A	-1.37160941036277	3.56184853331501	-3.35867531520459	0.0139359188513965	0.367305026866252	-2.82157269555187	43	27	174	113	78	717	7.25663959646513	3.76519355699142	14.9527081968785	10.1746209881574	10.8752246048706	57.3996793303582	63.27	UP_pEhEx_DOWN_CDC5
EHI_013900A	1.51725960922446	11.3984804381258	3.31406188960415	0.0147619550813731	0.367305026866252	-2.78942819408636	30453	32207	48109	30971	17307	7527	5139.21966584076	4491.31810703787	4134.25194622774	2788.65651879843	2413.04502867303	602.57654995761	63.27	DOWN_pEhEx_UP_CDC5
EHI_014070A	2.35923323351318	0.981960432182509	3.44029738409908	0.0125520302092652	0.367305026866252	-3.05530555276229	25	18	89	20	4	7	4.21897650957275	2.51012903799428	7.64822430759876	1.80081787401016	0.557703825890802	0.560387385373093	63.27	DOWN_pEhEx_UP_CDC5
EHI_014250A	2.7832121419184	4.2561110483887	3.65263796360203	0.00960702607792005	0.367305026866252	-2.56760326386754	315	326	638	117	167	18	53.1591040206167	45.4612259103408	54.8265967218877	10.5347845629594	23.284134730941	1.44099613381652	63.27	DOWN_pEhEx_UP_CDC5
EHI_014400A	-1.53899013458259	6.17243262784332	-3.27622700703529	0.015504294055318	0.367305026866252	-2.82620779865275	274	319	427	850	656	3308	46.2399825449174	44.4850646177875	36.6942896555581	76.5347596454317	91.4634274460915	264.82306725917	63.27	UP_pEhEx_DOWN_CDC5
EHI_015320A	1.05480886962036	10.5799305846251	3.63673028326872	0.00979908685883526	0.367305026866252	-2.52931316759171	11518	12490	36902	9253	6695	19235	1943.76685749036	1741.75064914158	3171.17722920235	833.148389410799	933.45677858473	1539.86447966449	63.27	DOWN_pEhEx_UP_CDC5
EHI_015440A	-1.31592582606567	5.00744546835472	-3.68316604311939	0.00924992665634805	0.367305026866252	-2.51161789561841	90	107	425	401	405	808	15.1883154344619	14.9213226147438	36.5224194463986	36.1063983739037	56.4675123714437	64.6847153402084	63.27	UP_pEhEx_DOWN_CDC5
EHI_016370A	1.26359860260687	8.00418019250157	3.9571471019041	0.0066262202966127	0.367305026866252	-2.30061251553241	2600	2701	4429	2381	1260	1508	438.773556995566	376.658807312364	380.606578183763	214.387367900909	175.676705155603	120.723453877518	63.27	DOWN_pEhEx_UP_CDC5
EHI_017650A	-2.32119311682612	-0.578656702462163	-3.28660196073438	0.0152967758359789	0.367305026866252	-3.58954775652828	3	2	1	16	10	19	0.50627718114873	0.278903226443809	0.0859351045797613	1.44065429920813	1.394259564727	1.52105147458411	63.27	UP_pEhEx_DOWN_CDC5
EHI_017750A	-1.68926174829901	6.27626251811037	-4.16816543392953	0.00516502233493031	0.367305026866252	-2.15428297269865	176	141	1594	950	880	3200	29.7015946273922	19.6626774642885	136.98055670014	85.5388490154825	122.694841695976	256.177090456271	63.27	UP_pEhEx_DOWN_CDC5
EHI_019860A	-2.44999308351408	1.6369791837483	-3.64952507290281	0.00964428159442146	0.367305026866252	-2.84436988107568	13	8	14	41	27	234	2.19386778497783	1.11561290577523	1.20309146411666	3.69167664172082	3.76450082476291	18.7329497396148	63.27	UP_pEhEx_DOWN_CDC5
