logFC	AveExpr	t	P.Value	adj.P.Val	B	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000250A	1.11831647035746	5.96697046929102	2.97183649337011	0.0194853282003209	0.57749795563435	-3.80226817688706	461	685	588	438	278	917	51.0434565792679	73.23660731846	210.999460341469	33.6431389396775	33.562569258698	66.842417896625	42.25	DOWN_pEhEx_UP_EhMyb10
EHI_000640A	2.51133172088505	0.492555274814921	4.87465695582251	0.00154467463073443	0.57749795563435	-3.70243919517316	5	8	216	2	0	213	0.553616665718741	0.855318041675445	77.5100058397232	0.153621638993961	0	15.5261014307319	42.25	DOWN_pEhEx_UP_EhMyb10
EHI_000690A	-4.58736855831715	-0.255243205993753	-2.69123250823109	0.0294878951685199	0.57749795563435	-4.1265410014065	17	0	0	184	298	0	1.88229666344372	0	0	14.1331907874444	35.9771425866619	0	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_004430A	-4.7215639177396	-0.309200150203636	-3.7910138192398	0.00613678700490998	0.57749795563435	-4.0013585763284	0	0	3	79	61	22	0	0	1.07652785888504	6.06805474026146	7.36444865028984	1.60363488955916	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_004530A	1.46236979355654	2.68855564652006	3.31375381507029	0.0119002783660038	0.57749795563435	-3.72577117250303	138	170	14	109	63	10	15.2798199738373	18.1755083856032	5.02379667479687	8.37237932517088	7.60590598308623	0.728924949799618	42.25	DOWN_pEhEx_UP_EhMyb10
EHI_004860A	-1.32000417235179	4.83109539430869	-3.60942200881083	0.00786543733637696	0.57749795563435	-3.57821672474499	263	203	25	709	431	442	29.1202366168058	21.7036953075144	8.9710654907087	54.4588710233592	52.0340552176217	32.2184827811431	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_004880A	-1.01456066506886	5.16223428058416	-2.67721021999443	0.0301104181425615	0.57749795563435	-3.90307326086112	258	186	78	474	496	823	28.566619951087	19.8861444689541	27.9897243310111	36.4083284415688	59.8814185335043	59.9905233685086	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_005020A	-1.07579526224308	6.43807972891034	-2.67476863132535	0.0302201968587795	0.57749795563435	-3.93489981020834	766	492	132	1570	1609	1170	84.8140731881111	52.6020595630399	47.3672257909419	120.592986610259	194.252424234694	85.2842191265553	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_005070A	-1.11975759380473	3.80765480594825	-2.73230692060697	0.02774003422559	0.57749795563435	-3.87526400405966	56	45	79	174	154	476	6.2005066560499	4.81116398442438	28.3485669506395	13.3650825924746	18.5922146253219	34.6968276104618	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_005100A	-1.16749931925393	2.98791643049015	-3.09723373338604	0.0162350608737832	0.57749795563435	-3.75413168407336	52	37	17	108	86	268	5.75761332347491	3.95584594274893	6.10032453368192	8.2955685056739	10.3826653102447	19.5351886546298	42.25	UP_pEhEx_DOWN_EhMyb10
