logFC	AveExpr	t	P.Value	adj.P.Val	B	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_114180A	3.56475860565115	-0.160204130171008	8.3819097691442	8.39557718564406e-05	0.398454093230667	-3.89617589394357	4	8	193	0	0	75	0.519694783394066	1.05060087556529	56.1067157904384	0	0	5.50753788868629	60.15	DOWN_pEhEx_UP_U2AF84
EHI_000250A	0.907306192015799	5.90733939513523	2.91323976160468	0.0235549690170103	0.5753435730758	-3.99149783746692	422	393	682	438	278	917	54.827799648074	51.6107680121449	198.263109684347	35.4622572654901	34.6582095893853	67.3388299190044	42.47	DOWN_pEhEx_UP_U2AF84
EHI_000260A	1.49297041460172	3.67540700665873	2.53390836043045	0.0402828972276479	0.5753435730758	-4.09366759988458	103	106	179	147	57	70	13.3821406723972	13.9204616012401	52.0367985828418	11.9017164795138	7.10617966401065	5.14036869610721	42.47	DOWN_pEhEx_UP_U2AF84
EHI_000690A	-4.5961963368628	-0.146313039526815	-2.74525971957809	0.0298179428875125	0.5753435730758	-4.28609377841103	0	21	0	184	298	0	0	2.75782729835889	0	14.8973866138132	37.1516059627224	0	42.47	UP_pEhEx_DOWN_U2AF84
EHI_000900A	-1.13652689198796	1.53634297945371	-2.79180988645054	0.027923135060505	0.5753435730758	-4.17283769101236	9	11	13	27	35	112	1.16931326263665	1.44457620390227	3.77920883562538	2.18602955746172	4.36344365333987	8.22458991377153	42.47	UP_pEhEx_DOWN_U2AF84
EHI_001040A	2.42423583716297	0.595890972780613	3.33181690996799	0.0132930434797848	0.5753435730758	-4.1639279503472	2	8	160	6	2	58	0.259847391697033	1.05060087556529	46.5133395153893	0.485784346102604	0.249339637333707	4.2591626339174	42.47	DOWN_pEhEx_UP_U2AF84
EHI_001820A	-3.37416134530895	-0.245102058950055	-3.41866690082349	0.0118409725511526	0.5753435730758	-4.29445894762479	14	0	0	34	21	36	1.81893174187923	0	0	2.75277796124809	2.61806619200392	2.64361818656942	42.47	UP_pEhEx_DOWN_U2AF84
EHI_003240.mRNA	2.5800726830522	0.358959259202868	3.05481024398016	0.0193608053690012	0.5753435730758	-4.12942503542173	141	83	0	74	5	0	18.3192411146408	10.8999840839899	0	5.99134026859879	0.623349093334268	0	42.47	DOWN_pEhEx_UP_U2AF84
EHI_004230A	-0.901423892945595	5.2262935414246	-2.61852566754523	0.0356942263305573	0.5753435730758	-4.07607064966442	295	337	41	640	543	519	38.3274902753124	44.2565618831879	11.9190432508185	51.8169969176111	67.6957115361015	38.1121621897091	42.47	UP_pEhEx_DOWN_U2AF84
EHI_004430A	-4.30300088148797	-0.0665109944377333	-3.11606503031562	0.0178001173747856	0.5753435730758	-4.31894958456814	0	0	7	79	61	22	0	0	2.03495860379828	6.39616055701762	7.60485893867807	1.61554444734798	42.47	UP_pEhEx_DOWN_U2AF84
