logFC	AveExpr	t	P.Value	adj.P.Val	B	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000130A	-0.402662319300343	5.10764255670873	-0.500789024375163	0.629713937047529	0.999593478972769	-4.61622842217779	44	632	562	236	368	666	5.86618345520525	52.5215368907767	89.0263916536754	20.8993623524895	50.0405725754645	57.5682617699607	0.04	UP_pEhEx_DOWN_UmasM
EHI_000140A	-0.530993194228135	4.05606346271292	-1.04657667602862	0.325230205339825	0.999593478972769	-4.59349899585052	98	547	28	476	290	54	13.0655904229572	45.4577225937577	4.4354785877276	42.1529511855296	39.4341468665346	4.66769690026709	0.04	UP_pEhEx_DOWN_UmasM
EHI_000240A	-0.00116661025021368	7.65957193575745	-0.00216363442789608	0.99832550444194	0.999593478972769	-4.62156807479291	620	1719	4551	1584	1644	2955	82.6598577778922	142.855256195008	720.923680455296	140.273686298065	223.550818788217	255.426747042393	0.04	UP_pEhEx_DOWN_UmasM
EHI_000250A	0.498117480795322	5.85916424274696	1.04306309717475	0.326760370823652	0.999593478972769	-4.59368115197255	587	314	1011	438	278	917	78.2602201864882	26.0945610501644	160.152459006879	38.7877996202982	37.8023890651607	79.264408473054	0.04	DOWN_pEhEx_UP_UmasM
EHI_000260A	0.608947537212652	3.40044729342148	1.56771465330924	0.154753104414697	0.999593478972769	-4.56367598767626	99	142	89	147	57	70	13.1989127742118	11.8007250609024	14.0984855109913	13.0178231602371	7.75084955652576	6.05071820404993	0.04	DOWN_pEhEx_UP_UmasM
EHI_000280A	-0.486158397493049	2.71847537992559	-1.2865169640906	0.233474415296118	0.999593478972769	-4.58070079902072	48	88	22	74	71	86	6.39947286022391	7.31312538985498	3.4850188903574	6.55318989018737	9.65456699146191	7.43373950783277	0.04	UP_pEhEx_DOWN_UmasM
EHI_000290A	0.110822210221481	1.8271555851673	0.284156640333527	0.783350414529966	0.999593478972769	-4.61861140550292	22	29	45	25	12	113	2.93309172760263	2.41000723074766	7.1284477302765	2.21391550344168	1.63175780137384	9.76758795796631	0.04	DOWN_pEhEx_UP_UmasM
EHI_000300A	-0.605366903787221	2.9023689887067	-1.55336051071516	0.158111989336178	0.999593478972769	-4.56652848109297	67	170	10	180	98	44	8.93259753406254	14.127628594038	1.584099495617	15.9401916247801	13.3260220445531	3.80330858540281	0.04	UP_pEhEx_DOWN_UmasM
EHI_000410A	0.151738972420575	2.15824786547446	0.384503558440458	0.710408247691692	0.999593478972769	-4.61769225264619	17	36	89	38	21	91	2.2664799713293	2.99173311403158	14.0984855109913	3.36515156523135	2.85557615240423	7.8659336652649	0.04	DOWN_pEhEx_UP_UmasM
EHI_000430A	0.596295525438702	1.23382121335845	1.41352665643348	0.194404460164906	0.999593478972769	-4.57699959067233	26	53	9	35	12	15	3.46638113262128	4.40449597343538	1.4256895460553	3.09948170481835	1.63175780137384	1.29658247229641	0.04	DOWN_pEhEx_UP_UmasM
