baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_000140A	210.941838489068	-1.40909253320689	0.366388773429516	-3.84589440341563	0.000120113486894178	0.00342323437648408	78	124	476	290	102.188307055328	128.29318699928	307.411060513123	305.874799388541	99.66	UP_pEhEx_DOWN_CDC5
EHI_000690A	108.285972784421	-9.97789656987514	1.5466168792926	-6.45143390290612	1.10796772193714e-10	2.1272980261193e-08	0	0	184	298	0	0	118.83116624877	314.312724888915	100	UP_pEhEx_DOWN_CDC5
EHI_001940A	703.836314039011	-1.74871981773032	0.377746572191628	-4.62934662142534	3.66821308129331e-06	0.000193936830732724	298	247	1316	1251	390.411737211381	255.55175152276	849.901167300988	1319.48060012091	99.98	UP_pEhEx_DOWN_CDC5
EHI_005020A	922.920994382771	-1.46609340789602	0.355204871751193	-4.12745861470887	3.66794417089174e-05	0.00131182944464834	375	473	1570	1609	491.289937766	489.376431053706	1013.93984244875	1697.07776626263	99.87	UP_pEhEx_DOWN_CDC5
EHI_005070A	91.9246024839505	-1.55809937157228	0.469848420565469	-3.31617454347742	0.000912588126184024	0.0174299554152844	33	48	174	154	43.233514523408	49.6618788384311	112.372950691772	162.430065882191	98.26	UP_pEhEx_DOWN_CDC5
EHI_007510A	35429.8318842384	1.32099802921701	0.316505196651112	4.17370091611217	2.99691127916436e-05	0.00112982022989945	41255	45584	37214	15620	54048.4436867635	47162.2309368967	24033.6033738138	16475.0495394794	99.89	DOWN_pEhEx_UP_CDC5
EHI_007940A	419.834412804055	-1.49199300417251	0.349257108032452	-4.27190447913196	1.93810598516901e-05	0.000785578959321838	139	249	884	634	182.104803598597	257.620996474361	570.906255238657	668.705595904604	99.92	UP_pEhEx_DOWN_CDC5
EHI_010020A	496.336319751625	-2.73999839271671	0.514108583731528	-5.32961027965944	9.84237411832037e-08	7.32754709870055e-06	96	128	610	1264	125.770224068096	132.431676902483	393.951148976902	1333.19222905902	100	UP_pEhEx_DOWN_CDC5
EHI_010030A	380.816367425661	-2.30924798804125	0.511236940877579	-4.51698185987351	6.27272767583034e-06	0.000309228521100393	146	63	704	770	191.275549103563	65.1812159754408	454.658375212687	812.150329410954	99.97	UP_pEhEx_DOWN_CDC5
EHI_013220A	982.760590294942	-1.537858562059	0.355821760572568	-4.32199132392681	1.54627270716695e-05	0.000641000322243754	371	503	1690	1738	486.049511763163	520.415105327726	1091.43842913273	1833.13931495615	99.94	UP_pEhEx_DOWN_CDC5
EHI_013340A	66.6323621685706	-1.57320766738456	0.504301129683483	-3.11957989935886	0.00181109135171623	0.0303067029865174	25	33	136	106	32.7526625177333	34.1425417014214	87.8317315751781	111.802512879949	96.97	UP_pEhEx_DOWN_CDC5
EHI_015310A	6736.74843679364	-1.64011199545894	0.324229443992544	-5.05849183609819	4.22585337888784e-07	2.8547987270709e-05	2271	3450	12746	11539	2975.2518631109	3569.44754151223	8231.64154895015	12170.6527936013	100	UP_pEhEx_DOWN_CDC5
EHI_015440A	228.689653066639	-1.58341020098077	0.402603372171877	-3.93292831214735	8.39172703925806e-05	0.00270911683532862	90	107	401	405	117.90958506384	110.704604910669	258.974443835635	427.169978456411	99.73	UP_pEhEx_DOWN_CDC5
EHI_017030A	77.5957862568663	-2.2358058874357	0.534403344653326	-4.18374231711835	2.86749130331824e-05	0.0011011166604742	20	27	142	156	26.2021300141867	27.9348068466175	91.7066609093771	164.539547257284	99.89	UP_pEhEx_DOWN_CDC5
EHI_017660A	188.992050731667	-2.88008638237028	0.512956937191371	-5.61467478759487	1.96932274950296e-08	1.89054983952284e-06	30	49	293	452	39.30319502128	50.6965013142317	189.225715820053	476.742790771105	100	UP_pEhEx_DOWN_CDC5
EHI_017750A	479.540699042168	-2.03600878375167	0.38848434748899	-5.24090300397334	1.59792697524332e-07	1.16584752113753e-05	176	141	950	880	230.578744124843	145.881769087891	613.530477914847	928.17180504109	100	UP_pEhEx_DOWN_CDC5
EHI_020080A	544.114593306198	-1.40630046007455	0.342232339190953	-4.10919804773297	3.97035475785949e-05	0.00137941468158776	261	246	1073	841	341.937796685136	254.517129046959	692.966529265927	887.036918226769	99.86	UP_pEhEx_DOWN_CDC5
EHI_022010A	2332.5100172637	-1.88258797751193	0.283718530860647	-6.63540718260872	3.2360795164217e-11	9.08093698146643e-09	743	983	5923	3332	973.409130027035	1017.03389371204	3825.20107441014	3514.39597090558	100	UP_pEhEx_DOWN_CDC5
EHI_023000A	77.3958540306836	-2.33783106002022	0.518305281047151	-4.51052911384004	6.46661250166219e-06	0.000314536032080849	20	24	157	149	26.2021300141867	24.8309394192155	101.393984244875	157.156362444457	99.97	UP_pEhEx_DOWN_CDC5
EHI_023400A	2258.43712472244	2.2421199503622	0.420034997980989	5.33793603185342	9.40106127607578e-08	7.14480656981759e-06	2623	3888	1723	438	3436.40935136058	4022.61218591292	1112.75054047082	461.976421145452	100	DOWN_pEhEx_UP_CDC5
EHI_025360A	268.513875961921	-1.22121282571169	0.343819216604165	-3.55190392722482	0.000382454475436824	0.008665800785053	126	152	545	379	165.073419089376	157.262616321698	351.972747856412	399.746720580197	99.13	UP_pEhEx_DOWN_CDC5
EHI_027610A	491.370176598069	-2.02983561970481	0.320425600112298	-6.33481101071022	2.37632369152959e-10	4.12801372699998e-08	153	180	1143	797	200.446294608528	186.232045644117	738.174038164916	840.628327974715	100	UP_pEhEx_DOWN_CDC5
EHI_028990A	276.451657211835	-2.79683200024519	0.469556766299965	-5.95632349690922	2.57975442536219e-09	3.48553486804491e-07	58	61	450	641	75.9861770411413	63.1119710238395	290.619700064927	676.08878071743	100	UP_pEhEx_DOWN_CDC5
EHI_030070A	11372.6525001904	-1.58987253929044	0.323161968118681	-4.91973900439474	8.66596903437378e-07	5.09894436087025e-05	3730	6240	22124	18829	4886.69724764581	6456.04424899604	14288.1560983032	19859.7124058167	99.99	UP_pEhEx_DOWN_CDC5
EHI_035060A	66.3445679261982	-9.27716407268559	1.52663517032	-6.07687039644254	1.22550731044325e-09	1.83251521826453e-07	0	0	228	112	0	0	147.247314699563	118.13095700523	100	UP_pEhEx_DOWN_CDC5
EHI_035220A	58.3650820881089	-3.40077073212545	0.63082546324419	-5.39098519364781	7.00724487956783e-08	5.55704985231814e-06	4	14	166	101	5.24042600283733	14.4847146612091	107.206378246173	106.528809442216	100	UP_pEhEx_DOWN_CDC5
EHI_035510A	78.8816773259153	-1.52206602190161	0.472073711564976	-3.22421262742168	0.00126319569193361	0.0223487052746331	33	37	168	119	43.233514523408	38.281031604624	108.498021357573	125.514141818057	97.77	UP_pEhEx_DOWN_CDC5
EHI_035600A	2989.80926160576	-1.19480774000609	0.298924702949636	-3.99701907609623	6.41451336867244e-05	0.00208929864008188	1435	1697	5632	4443	1880.00282851789	1755.7543414337	3637.26700170149	4686.21287476996	99.79	UP_pEhEx_DOWN_CDC5
EHI_035650A	88.785025972797	-1.65152714147617	0.459212293279742	-3.59643495099139	0.000322608209128917	0.007742597019094	33	41	187	141	43.233514523408	42.4195215078266	120.76863091587	148.718436944084	99.23	UP_pEhEx_DOWN_CDC5
EHI_035670A	143.978848946019	-2.58970437611974	0.484434422098028	-5.34583063875609	9.00033364653002e-08	6.98579088139181e-06	40	29	284	294	52.4042600283733	30.0040517982188	183.413321818754	310.093762138728	100	UP_pEhEx_DOWN_CDC5
EHI_036560A	89.9085727389497	-1.74629068527616	0.456273998490459	-3.82728512046183	0.000129564405246305	0.00358068901771606	29	43	225	125	37.9930885205707	44.4887664594279	145.309850032464	131.842585943337	99.64	UP_pEhEx_DOWN_CDC5
EHI_037810A	47.3869196304704	-1.99813321732116	0.598106143358819	-3.34076691822646	0.000835473296545834	0.0164746301935092	13	20	93	87	17.0313845092213	20.692449516013	60.061404680085	91.7624398165623	98.35	UP_pEhEx_DOWN_CDC5
EHI_038300A	48.7638918674975	-2.65552816556664	0.596872939421073	-4.44906778340852	8.62437972246059e-06	0.000393271715344203	11	12	138	75	14.4111715078027	12.4154697096078	89.1233746865777	79.105551566002	99.96	UP_pEhEx_DOWN_CDC5
EHI_044550A	86265.8602741136	1.12184376738511	0.286121693242096	3.92086232495447	8.82326638263545e-05	0.00275328226845989	98905	103273	80340	53808	129576.083452657	106848.56694336	51885.303784925	56753.4869155125	99.72	DOWN_pEhEx_UP_CDC5
EHI_044820A	132.391764853147	-2.09898990069102	0.498153174083566	-4.21354316280822	2.5139551783475e-05	0.000996837879414313	27	62	238	262	35.372875519152	64.1465934996402	153.705530256562	276.342060137234	99.9	UP_pEhEx_DOWN_CDC5
EHI_044830A	39629.8692957268	1.06157311750597	0.28434471307439	3.73340198953598	0.000188910725060312	0.00491510624677643	42177	50178	36062	26602	55256.3618804175	51915.2865907249	23289.6169416476	28058.2117701171	99.51	DOWN_pEhEx_UP_CDC5
EHI_045280A	37.153581963842	-1.88197579228468	0.641219659842431	-2.93499390325484	0.00333554241665878	0.0468002259075816	14	13	78	63	18.3414910099307	13.4500921854084	50.3740813445874	66.4486633154417	95.32	UP_pEhEx_DOWN_CDC5
