CmasM_1	CmasM_2	pEhEx_1	pEhEx_2
EHI_000130A	41.5504580735159	96.0489589892982	162.783731546791	414.015818637905
EHI_000140A	60.5449531928375	283.037889787613	328.326509390985	326.262465774436
EHI_000240A	642.251366222061	1142.36953351101	1092.58233377168	1849.57066804542
EHI_000250A	648.187145946849	383.174038521136	302.115569565654	312.761949949287
EHI_000260A	86.6623839819047	97.0707564253545	101.394951429569	64.127450169458
EHI_000280A	53.4220175230919	44.95908718648	51.0423565019598	79.8780519654653
EHI_000290A	24.9302748441096	13.2833666687327	17.2440393587702	13.5005158251491
EHI_000300A	55.7963294130071	127.724679507045	124.157083383145	110.254212572051
EHI_000410A	14.2458713394912	19.4141512850709	26.2109398253307	23.6259026940109
EHI_000430A	24.9302748441096	24.5231384653527	24.1416551022783	13.5005158251491
EHI_000440A	335.965132423	264.645535938598	375.92005802119	264.385101575836
EHI_000480A	20.1816510642792	25.5449359014091	23.4518935279275	21.3758167231527
EHI_000510A	10177.4879161215	10519.4046042003	8668.92346644096	11592.4429218613
EHI_000520A	15.4330272844488	10.2179743605636	15.8645162100686	19.1257307522945
EHI_000540A	23.743118899152	19.4141512850709	30.3495092714356	12.37547283972
EHI_000550A	240.992656826392	291.212269276064	267.627490848114	253.134671721545
EHI_000560A	37.9889902386431	75.6130102681709	43.4549791841009	46.1267624025926
EHI_000570A	75.9779804772863	36.7847076980291	46.2140254815042	46.1267624025926
EHI_000580A	180.447703633555	137.942653867609	128.985414403601	112.504298542909
EHI_000590A	14308.7906045739	11623.9676325772	9649.07466359346	11068.1728906514
EHI_000610A	1480.38346336213	1237.39669506426	1346.41459313278	2563.97296379289
EHI_000620A	4.74862377983039	6.13078461633818	17.2440393587702	31.5012035920145
EHI_000650A	80.7266042571167	74.5912128321145	71.0454421581332	59.6272782277417
EHI_000660A	17.807339174364	18.3923538490145	22.7621319535767	10.1253868688618
EHI_000670A	18.9944951193216	5.10898718028182	7.58737731785889	11.2504298542909
EHI_000690A	0	100.136148733524	126.916129680549	335.262809657868
EHI_000700A	71.2293566974559	64.3732384715509	54.4911643737139	58.5022352423126
EHI_000710A	35.6146783487279	25.5449359014091	31.7290324201372	29.2511176211563
EHI_000720A	131.774309890293	136.920856431553	150.368023208476	120.379599440912
EHI_000730A	485.546781487658	460.83064366142	631.82160210534	939.410892833289
EHI_000740A	146.020181229785	87.8745795008473	85.5304352195002	88.878395848898
EHI_000780A	22.5559629541944	37.8065051340854	19.3133240818226	32.6262465774436
EHI_000790A	78.3522923672015	41.8936948783109	48.9730717789074	45.0017194171635
EHI_000800A	382.264214276347	224.7954359324	237.277981576678	237.384069925538
EHI_000900A	13.0587153945336	10.2179743605636	18.6235625074718	39.3765044900181
EHI_001040A	10.6844035046184	8.17437948845091	4.13856944610485	2.25008597085818
EHI_001050A	487.921093377573	504.767933411844	533.875458547526	555.77123480197
EHI_001060A	5.93577972478799	0	15.1747546357178	18.0006877668654
EHI_001070A	403.633021285583	694.822256518327	615.267324320921	732.402983514337
EHI_001100A	26.1174307890672	13.2833666687327	17.2440393587702	21.3758167231527
EHI_001120A	47.4862377983039	71.5258205239454	72.4249653068349	101.253868688618
EHI_001130A	1646.58529565619	2265.32491573696	1060.16353977719	2043.07806153922
EHI_001140A	20.1816510642792	23.5013410292964	39.3164097379961	33.7512895628727
EHI_001150A	93.7853196516503	102.179743605636	79.3225810503429	52.8770203151672
EHI_001400A	2096.51739879512	1758.513387453	1649.21992427278	2148.83210216956
EHI_001410A	24.9302748441096	20.4359487211273	24.1416551022783	15.7506017960072
EHI_001420A	6507.98889025755	8846.72220137599	8354.39218853699	12034.584815135
EHI_001430A	8.31009161470319	16.3487589769018	8.2771388922097	18.0006877668654
EHI_001635A	173.324767963809	568.119374447338	377.989342744243	236.259026940109
EHI_001780A	6889.06594858894	3252.3812389674	4366.19076564062	2805.85720566015
EHI_001810A	586.455036809054	579.359146243958	584.228053475135	502.894214486803
EHI_001820A	22.5559629541944	13.2833666687327	23.4518935279275	23.6259026940109
EHI_001830A	40.3633021285583	29.6321256456345	48.2833102045566	43.8766764317345
EHI_001840A	185.196327413385	120.572097454651	115.190182916585	139.505330193207
EHI_001850A	182.82201552347	180.858146181976	162.09396997244	147.380631091211
EHI_001870A	13.0587153945336	3.06539230816909	8.96690046656051	3.37512895628727
EHI_001910A	26.1174307890672	12.2615692326764	15.1747546357178	10.1253868688618
EHI_001940A	244.554124661265	728.541571908187	907.726231845664	1407.42877477179
EHI_001950A	146.020181229785	254.427561578034	233.139412130573	300.386477109567
EHI_001990A	29.67889862394	30.6539230816909	37.2471250149436	9.00034388343271
EHI_002110A	128.212842055421	191.07612054254	156.575877377633	100.128825703189
EHI_002130A	156.704584734403	124.659287198876	156.575877377633	132.755072280632
EHI_002140A	365.64403104694	258.51475132226	247.62440519194	261.009972619549
EHI_002150A	24.9302748441096	24.5231384653527	24.8314166766291	22.5008597085818
EHI_002160A	1906.5724476019	1366.14317200736	1331.23983849706	1723.56585367736
EHI_002180A	675.491732680873	668.255523180862	540.773074291034	337.512895628727
EHI_002190A	130.587153945336	506.811528283956	127.6058912549	397.140173856468
EHI_002200A	251.677060331011	240.122397473245	174.509678310754	139.505330193207
EHI_002210A	23.743118899152	19.4141512850709	18.6235625074718	22.5008597085818
