baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1.1	CmasM_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_075040A	92.143219590097	7.73567970472671	1.15001966693927	6.72656296854026	1.73717491067787e-11	8.08133768447343e-08	117	223	1	1	138.897245560039	227.860828240569	0.689761574350808	1.12504298542909	100	DOWN_pEhEx_UP_CmasM
EHI_155900A	57.1730064668542	-9.13513126431824	1.61307555692504	-5.66317630014326	1.48596347707964e-08	3.45635104768725e-05	0	0	82	153	0	0	56.5604490967663	172.131576770651	100	UP_pEhEx_DOWN_CmasM
EHI_006770A	31.0567778115336	8.58231018931103	1.58095944440035	5.42854544416617	5.68151803084282e-08	8.81014062649359e-05	53	60	0	0	62.9192650827527	61.3078461633818	0	0	99.99	DOWN_pEhEx_UP_CmasM
EHI_036630A	34.481286635818	-8.4060705360978	1.58790165782221	-5.29382313740173	1.19785287710965e-07	0.000139310289607852	0	0	76	76	0	0	52.4218796506614	85.5032668926107	99.99	UP_pEhEx_DOWN_CmasM
EHI_006680A	30.6708762684525	-8.23972954242539	1.58335795262961	-5.20395879449811	1.95087281139166e-07	0.00018150920637188	0	0	80	60	0	0	55.1809259480647	67.5025791257453	99.98	UP_pEhEx_DOWN_CmasM
EHI_169350A	1415.745959052	-3.40350566969359	0.688202074275931	-4.9455033585513	7.59473609958904e-07	0.000588845205588137	175	275	1248	3834	207.75229036758	280.9942949155	860.822444789809	4313.41480613513	99.94	UP_pEhEx_DOWN_CmasM
EHI_089770A	18.6385861954773	-7.52198385207833	1.63515328638408	-4.60017046396438	4.22145346047118e-06	0.00280545735687313	0	0	51	35	0	0	35.1778402918912	39.3765044900181	99.72	UP_pEhEx_DOWN_CmasM
EHI_140640A	19.8623906590273	-7.605742566523	1.68151481360983	-4.52314930856612	6.0926228929423e-06	0.00354286021224595	0	0	32	51	0	0	22.0723703792259	57.3771922568835	99.65	UP_pEhEx_DOWN_CmasM
EHI_178340A	1915.69333900667	-2.91527501336799	0.661168240834201	-4.40927865756191	1.03715501681832e-05	0.00536093904248759	287	544	1876	4864	340.713756202831	555.857805214662	1293.99271348212	5472.20908112709	99.46	UP_pEhEx_DOWN_CmasM
EHI_123020A	13.9299775130132	7.4236249872325	1.69285916708928	4.38525846187002	1.15848141690112e-05	0.00538925555142399	28	22	0	0	33.2403664588128	22.47954359324	0	0	99.46	DOWN_pEhEx_UP_CmasM
EHI_057550A	473.401572170214	1.84954489890784	0.449148635036618	4.11789050356804	3.82356277728861e-05	0.0127051528856762	774	552	341	156	918.858701397181	564.032184703113	235.208696853626	175.506705726938	98.73	DOWN_pEhEx_UP_CmasM
EHI_099860A	73.6512854934138	-3.03639997945251	0.730018312715741	-4.15934768561736	3.19157765566258e-05	0.0127051528856762	6	24	117	162	7.12293566974559	24.5231384653527	80.7021041990446	182.256963639512	98.73	UP_pEhEx_DOWN_CmasM
EHI_179390A	174.917696762796	-2.22865992951081	0.538524239603358	-4.13845796644604	3.49647913045487e-05	0.0127051528856762	37	77	300	329	43.9247699634311	78.67840257634	206.928472305242	370.13914220617	98.73	UP_pEhEx_DOWN_CmasM
EHI_188880A	47.5107550888692	-3.12076488002021	0.756213672668875	-4.12682948326789	3.67798902325132e-05	0.0127051528856762	6	12	68	110	7.12293566974559	12.2615692326764	46.903787055855	123.7547283972	98.73	UP_pEhEx_DOWN_CmasM
EHI_172280A	97.0807559633279	-3.11442130518667	0.779012587242313	-3.99790883509553	6.39045528816206e-05	0.0198189320003533	6	32	135	227	7.12293566974559	32.6975179538036	93.1178125373591	255.384757692403	98.02	UP_pEhEx_DOWN_CmasM
EHI_116040A	11.5785889330302	-6.83168022036633	1.72306382689392	-3.96484454826114	7.34437934470123e-05	0.0213537829447188	0	0	28	24	0	0	19.3133240818226	27.0010316502981	97.86	UP_pEhEx_DOWN_CmasM
EHI_010020A	551.182351202298	-2.34659111616107	0.608961345950436	-3.85343196537152	0.000116473638223649	0.0318726685303774	131	202	610	1264	155.517428789445	206.403082083385	420.754560353993	1422.05433358237	96.81	UP_pEhEx_DOWN_CmasM
EHI_023400A	2339.01637997558	2.18958310656264	0.575324256870961	3.80582442059929	0.000141332622348261	0.0365266310646728	4388	2413	1723	438	5209.24028647394	2465.59721320401	1188.45919260644	492.768827617941	96.35	DOWN_pEhEx_UP_CmasM
EHI_062500A	81.5455083977783	-2.0326195818429	0.540171662230426	-3.76291413261111	0.000167944877996625	0.041119977496858	21	38	157	137	24.9302748441096	38.8283025701418	108.292567173077	154.130889003785	95.89	UP_pEhEx_DOWN_CmasM
