baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1.1	U2AF84_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_010030A	405.794174382101	-2.18030147087099	0.385013733719953	-5.66291869592597	1.48819683239697e-08	1.73499249408733e-05	124	135	704	770	139.267334178242	153.813932812455	478.597106823231	851.498323714476	100	UP_pEhEx_DOWN_U2AF84
EHI_155900A	56.2348771254946	-9.07193621025122	1.59200890268805	-5.69842052700433	1.20922478862324e-08	1.73499249408733e-05	0	0	82	153	0	0	55.7456857379331	169.193822764045	100	UP_pEhEx_DOWN_U2AF84
EHI_195110A	205.094596024176	11.3286116716681	2.01601157980251	5.61931875052913	1.91711877799705e-08	1.73499249408733e-05	559	169	0	0	627.826127464816	192.552256631889	0	0	100	DOWN_pEhEx_UP_U2AF84
EHI_035670A	151.081206611717	-2.58621962006624	0.471936475750115	-5.48001638558578	4.25286447949996e-08	2.53072193903785e-05	28	48	284	294	31.4474625563772	54.6893983333175	193.070423775281	325.117541781891	100	UP_pEhEx_DOWN_U2AF84
EHI_155680A	323.14785918457	-2.20758172119793	0.404038202757221	-5.46379452767844	4.66062972198498e-08	2.53072193903785e-05	95	108	550	623	106.696747959137	123.051146249964	373.903989705649	688.939552823531	100	UP_pEhEx_DOWN_U2AF84
EHI_172280A	95.0313661866488	-3.19354487776435	0.60623918830432	-5.26779683559694	1.38070789441592e-07	6.24770322223204e-05	17	16	135	227	19.0931022663719	18.2297994444392	91.7764338368411	251.026129198943	99.99	UP_pEhEx_DOWN_U2AF84
EHI_010020A	530.882255679015	-2.54132380602288	0.528151148357914	-4.81173583343359	1.49625039425218e-06	0.00056024008046734	140	135	610	1264	157.237312781886	153.813932812455	414.693515855356	1397.78426126636	99.94	UP_pEhEx_DOWN_U2AF84
EHI_188880A	45.3614160194657	-3.61991022777794	0.755397983828879	-4.79205704181222	1.65079950045625e-06	0.00056024008046734	6	6	68	110	6.73874197636654	6.83617479166468	46.2281296363348	121.642617673497	99.94	UP_pEhEx_DOWN_U2AF84
EHI_156660A	6227.48240948594	-1.13290923407774	0.242905746119614	-4.66398696686188	3.10141032321152e-06	0.000935592114168807	3568	3330	12553	7754	4007.30522861264	3794.0770093739	8533.84869595457	8574.69870400266	99.91	UP_pEhEx_DOWN_U2AF84
EHI_103510A	1873.56496867768	-2.08089052331998	0.455200383538472	-4.57137251762468	4.84540031024209e-06	0.00131552618423073	474	790	2698	3823	532.360616132957	900.096347569183	1834.16902586517	4227.63388514343	99.87	UP_pEhEx_DOWN_U2AF84
EHI_057550A	430.524313658264	1.70135106918975	0.376671877303018	4.51679876228475	6.27815167932481e-06	0.00154956198266971	731	436	341	156	821.00339745399	496.762034860967	231.820473617502	172.511348700595	99.85	DOWN_pEhEx_UP_U2AF84
EHI_017750A	546.775676398139	-1.5093915479226	0.336523936229301	-4.48524275816782	7.28309663792571e-06	0.00164780061433069	236	266	950	880	265.057184403751	303.070415763801	645.83416403703	973.140941387973	99.84	UP_pEhEx_DOWN_U2AF84
EHI_119540A	2407.61588931868	-1.66129511384864	0.382270190785517	-4.34586623255893	1.38727096655396e-05	0.00283474183994395	839	1203	3831	4262	942.300753028588	1370.65304572877	2604.4112446588	4713.09851385857	99.72	UP_pEhEx_DOWN_U2AF84
EHI_141800A	1061.10515652768	-1.56299623962455	0.363073251313931	-4.30490605950231	1.6705660935213e-05	0.00283474183994395	369	578	1890	1706	414.432631546542	658.551504930365	1284.87007371578	1886.56641591805	99.72	UP_pEhEx_DOWN_U2AF84
EHI_165810.mRNA	652.617368076189	1.36127435913587	0.315769489762866	4.31097494618036	1.62536322515281e-05	0.00283474183994395	902	761	627	275	1013.05754378044	867.054836076137	426.25054826444	304.106544183742	99.72	DOWN_pEhEx_UP_U2AF84
EHI_187780A	57.9364005934852	-2.5353415602727	0.588458795474525	-4.30844364936076	1.64407351135218e-05	0.00283474183994395	14	16	99	118	15.7237312781886	18.2297994444392	67.3027181470168	130.489353504296	99.72	UP_pEhEx_DOWN_U2AF84
EHI_188960A	4319.99528683587	-1.51948364458747	0.355900826172183	-4.26940184694133	1.95997875432771e-05	0.00313020136352926	1556	2388	7493	6979	1747.58041920439	2720.79756708254	5093.9319906626	7717.67117039394	99.69	UP_pEhEx_DOWN_U2AF84
EHI_170060A	436.334553320556	-1.60908955659792	0.387138124360356	-4.15637069910519	3.23343030692509e-05	0.00487709071294534	137	243	839	673	153.867941793703	276.86507906242	570.373540660072	744.231651766029	99.51	UP_pEhEx_DOWN_U2AF84
EHI_028990A	316.027638480037	-2.02299812832728	0.491016608462489	-4.12001975790974	3.78839911289423e-05	0.00540357950799755	81	139	450	641	90.9730166809483	158.371382673565	305.921446122804	708.84470844283	99.46	UP_pEhEx_DOWN_U2AF84
EHI_098470A	2226.54992694853	-14.385165509058	3.50794307996418	-4.10074085615006	4.11829544092643e-05	0.00540357950799755	0	0	486	7755	0	0	330.395161812628	8575.80454598151	99.46	UP_pEhEx_DOWN_U2AF84
EHI_179390A	175.969015781645	-2.05840173247868	0.502377279839921	-4.0973225006007	4.17956426032959e-05	0.00540357950799755	38	82	300	329	42.6786991836548	93.4277221527507	203.947630748536	363.82201104164	99.46	UP_pEhEx_DOWN_U2AF84
EHI_134810A	610.915791451649	-1.555775012692	0.384787170567866	-4.04320916000395	5.27245468713692e-05	0.00650668839798943	193	354	1181	923	216.762866906457	403.334312708216	802.873839713403	1020.69214647852	99.35	UP_pEhEx_DOWN_U2AF84
