baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1.1	U2AF84_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_000130A	177.782398703027	-1.97693572050539	0.507306584240388	-3.89692501914901	9.74217647199563e-05	0.0085322610069252	59	68	236	368	66.2642961009377	77.4766476388664	160.438802855515	406.949848216789	99.15	UP_pEhEx_DOWN_U2AF84
EHI_001940A	803.144096322188	-1.28465778234523	0.362954068510716	-3.53945001254974	0.000400961699122295	0.0213453139826869	336	489	1316	1251	377.369550676526	557.148245520672	894.650273550244	1383.40831554131	97.87	UP_pEhEx_DOWN_U2AF84
EHI_005020A	1020.19215443848	-1.2048933204702	0.357501644445226	-3.37031546341545	0.000750821757048994	0.0313425732648597	478	612	1570	1609	536.853110783868	697.289828749798	1067.32593425067	1779.2997439696	96.87	UP_pEhEx_DOWN_U2AF84
EHI_010020A	530.882255679015	-2.54132380602288	0.528151148357914	-4.81173583343359	1.49625039425218e-06	0.00056024008046734	140	135	610	1264	157.237312781886	153.813932812455	414.693515855356	1397.78426126636	99.94	UP_pEhEx_DOWN_U2AF84
EHI_010030A	405.794174382101	-2.18030147087099	0.385013733719953	-5.66291869592597	1.48819683239697e-08	1.73499249408733e-05	124	135	704	770	139.267334178242	153.813932812455	478.597106823231	851.498323714476	100	UP_pEhEx_DOWN_U2AF84
EHI_015310A	7684.71586565639	-1.20184180846544	0.353382557639723	-3.40096527823179	0.000671483562434252	0.0298595713318189	3206	5014	12746	11539	3600.73446270519	5712.76340090112	8665.05500506946	12760.3105939498	97.01	UP_pEhEx_DOWN_U2AF84
EHI_017750A	546.775676398139	-1.5093915479226	0.336523936229301	-4.48524275816782	7.28309663792571e-06	0.00164780061433069	236	266	950	880	265.057184403751	303.070415763801	645.83416403703	973.140941387973	99.84	UP_pEhEx_DOWN_U2AF84
EHI_020080A	594.526390086394	-1.20636732656102	0.300460401922303	-4.0150626133855	5.94300154037666e-05	0.00672709081565343	299	336	1073	841	335.813975155599	382.825788333222	729.45269264393	930.013104212824	99.33	UP_pEhEx_DOWN_U2AF84
EHI_022010A	2794.65190077201	-1.15323988572645	0.328024631945012	-3.51571124061127	0.000438577708050067	0.0220507125436283	1177	1883	5923	3332	1321.91655103057	2145.41952211743	4026.60605641192	3684.6654735281	97.79	UP_pEhEx_DOWN_U2AF84
EHI_027610A	583.503483365043	-1.29530698484615	0.374365286938608	-3.4600082594158	0.000540158819423729	0.0253879124047876	212	384	1143	797	238.102216498284	437.51518666654	777.040473151921	881.356057143425	97.46	UP_pEhEx_DOWN_U2AF84
EHI_028990A	316.027638480037	-2.02299812832728	0.491016608462489	-4.12001975790974	3.78839911289423e-05	0.00540357950799755	81	139	450	641	90.9730166809483	158.371382673565	305.921446122804	708.84470844283	99.46	UP_pEhEx_DOWN_U2AF84
