"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","pEhEx_1","pEhEx_2","CDC5_1.1","CDC5_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"1","EHI_114920A",1052.401332,-4.084250647,0.413869447,-9.868451689,5.70382050102981e-23,2.08075371877568e-19,92,110,1963,2567,120.5297981,113.8084723,1267.747714,2707.519345,100,"UP_pEhEx_DOWN_CDC5"
"2","EHI_083270A",2098.484982,-2.775752351,0.306979251,-9.042149737,1.53620468308945e-19,1.86802489463677e-16,353,586,5365,3660,462.4675948,606.2887708,3464.832646,3860.350916,100,"UP_pEhEx_DOWN_CDC5"
"3","EHI_083410A",2098.484982,-2.775752351,0.306979251,-9.042149737,1.53620468308945e-19,1.86802489463677e-16,353,586,5365,3660,462.4675948,606.2887708,3464.832646,3860.350916,100,"UP_pEhEx_DOWN_CDC5"
"4","EHI_195110A",454.7378192,12.54764551,1.510480581,8.307055163,9.81063462419278e-17,8.94729877726381e-14,958,545,0,0,1255.082028,563.8692493,0,0,100,"DOWN_pEhEx_UP_CDC5"
"5","EHI_049000A",3114.139348,-2.480641958,0.321096491,-7.725534305,1.11385138572708e-14,8.12665971026474e-12,660,993,6747,5885,864.6702905,1027.380118,4357.358036,6207.148946,100,"UP_pEhEx_DOWN_CDC5"
"6","EHI_188960A",3609.381564,-2.446621704,0.328632742,-7.444850714,9.70541068159887e-14,5.90088969441211e-11,798,1152,7493,6979,1045.464988,1191.885092,4839.140917,7361.035258,100,"UP_pEhEx_DOWN_CDC5"
"7","EHI_152800A",529.4789081,-3.898965634,0.554543832,-7.030942209,2.05143464688706e-12,1.06909051312057e-09,72,38,755,1419,94.32766805,39.31565408,487.5952746,1496.677036,100,"UP_pEhEx_DOWN_CDC5"
"8","EHI_155680A",285.024037,-2.982390122,0.425526229,-7.008710436,2.40524657045417e-12,1.0967924361271e-09,47,64,550,623,61.57500553,66.21583845,355.2018556,657.1034483,100,"UP_pEhEx_DOWN_CDC5"
"9","EHI_090020A",9271.083366,-2.67578037,0.388841918,-6.881409246,5.9263325240075e-12,2.34043670430084e-09,1723,2668,16174,20499,2257.313501,2760.372765,10445.51784,21621.12935,100,"UP_pEhEx_DOWN_CDC5"
"10","EHI_094020A",146.532054,-10.42124703,1.516898784,-6.870100459,6.41567079029836e-12,2.34043670430084e-09,0,0,594,192,0,0,383.6180041,202.510212,100,"UP_pEhEx_DOWN_CDC5"
"11","EHI_117850A",3724.406721,-2.509140322,0.372939245,-6.728013627,1.71994817811316e-11,5.70397359432438e-09,716,1244,7024,7714,938.0362545,1287.07036,4536.250607,8136.269664,100,"UP_pEhEx_DOWN_CDC5"
"12","EHI_103900A",173.6268002,2.560337529,0.382045639,6.701653595,2.06074091709064e-11,6.26465238795553e-09,233,279,79,47,305.2548147,288.6596707,51.0199029,49.57281231,100,"DOWN_pEhEx_UP_CDC5"
"13","EHI_022010A",2332.510017,-1.882587978,0.283718531,-6.635407183,3.2360795164217e-11,9.08093698146643e-09,743,983,5923,3332,973.40913,1017.033894,3825.201074,3514.395971,100,"UP_pEhEx_DOWN_CDC5"
"14","EHI_134810A",531.2302959,-2.158556048,0.328246136,-6.576028814,4.83178954906924e-11,1.25902630535747e-08,149,187,1181,923,195.2058686,193.474403,762.7152573,973.5256546,100,"UP_pEhEx_DOWN_CDC5"
"15","EHI_126870A",32107.26241,-2.140400498,0.329039177,-6.505001973,7.76923601718186e-11,1.57456516614886e-08,7469,13491,68859,57090,9785.185454,13958.09182,44470.6265,60215.14585,100,"UP_pEhEx_DOWN_CDC5"
"16","EHI_158570A",4226.613625,-3.577204515,0.549417481,-6.510904077,7.46998367029943e-11,1.57456516614886e-08,439,707,4325,12142,575.1367538,731.4780904,2793.178228,12806.66143,100,"UP_pEhEx_DOWN_CDC5"
"17","EHI_178340A",1719.10298,-3.568952144,0.54748421,-6.518822058,7.08616555424918e-11,1.57456516614886e-08,243,209,1876,4864,318.3558797,216.2360974,1211.561238,5130.258704,100,"UP_pEhEx_DOWN_CDC5"
"18","EHI_197480A",11789.94622,-2.311030925,0.354224286,-6.52420236,6.8364359772336e-11,1.57456516614886e-08,2603,4348,22670,23333,3410.207221,4498.538525,14640.77467,24610.26446,100,"UP_pEhEx_DOWN_CDC5"
"19","EHI_000690A",108.2859728,-9.97789657,1.546616879,-6.451433903,1.10796772193714e-10,2.1272980261193e-08,0,0,184,298,0,0,118.8311662,314.3127249,100,"UP_pEhEx_DOWN_CDC5"
"20","EHI_186720A",8178.990466,-2.056160508,0.322381328,-6.37803846,1.79370475306377e-10,3.27171746958831e-08,2057,3524,17410,14346,2694.889072,3646.009605,11243.75328,15131.3099,100,"UP_pEhEx_DOWN_CDC5"
"21","EHI_027610A",491.3701766,-2.02983562,0.3204256,-6.334811011,2.37632369152959e-10,4.12801372699998e-08,153,180,1143,797,200.4462946,186.2320456,738.1740382,840.628328,100,"UP_pEhEx_DOWN_CDC5"
"22","EHI_172280A",86.53225409,-4.054745639,0.662995425,-6.115797311,9.60753773355522e-10,1.5931044387277e-07,7,10,135,227,9.170745505,10.34622476,87.18591002,239.4261361,100,"UP_pEhEx_DOWN_CDC5"
"23","EHI_135060A",1014.950465,-2.57812754,0.422278919,-6.105271713,1.02625942476431e-09,1.62773668762617e-07,279,210,1817,2184,365.5197137,217.2707199,1173.457767,2303.553662,100,"UP_pEhEx_DOWN_CDC5"
"24","EHI_035060A",66.34456793,-9.277164073,1.52663517,-6.076870396,1.22550731044325e-09,1.83251521826453e-07,0,0,228,112,0,0,147.2473147,118.130957,100,"UP_pEhEx_DOWN_CDC5"
"25","EHI_118270A",21710.5547,-3.063072266,0.50437984,-6.072947459,1.2558355388326e-09,1.83251521826453e-07,3612,4396,25137,58145,4732.104681,4548.200404,16234.01645,61327.89728,100,"UP_pEhEx_DOWN_CDC5"
"26","EHI_170060A",386.6087559,-2.085824555,0.344523325,-6.054233202,1.41088096378721e-09,1.97957452149836e-07,116,138,839,673,151.9723541,142.7779017,541.8442852,709.8404827,100,"UP_pEhEx_DOWN_CDC5"
"27","EHI_028990A",276.4516572,-2.796832,0.469556766,-5.956323497,2.57975442536219e-09,3.48553486804491e-07,58,61,450,641,75.98617704,63.11197102,290.6197001,676.0887807,100,"UP_pEhEx_DOWN_CDC5"
"28","EHI_099860A",65.05550081,-4.148592387,0.6992113,-5.933245628,2.97004001432611e-09,3.8695378472363e-07,5,7,117,162,6.550532504,7.242357331,75.56112202,170.8679914,100,"UP_pEhEx_DOWN_CDC5"
"29","EHI_193940A",59.34803568,-6.103048927,1.039760628,-5.869667271,4.36670594689767e-09,5.493014929063e-07,0,3,108,156,0,3.103867427,69.74872802,164.5395473,100,"UP_pEhEx_DOWN_CDC5"
"30","EHI_103510A",1700.986301,-2.486956047,0.428182521,-5.808168071,6.31600973162559e-09,7.68026783365672e-07,326,582,2698,3823,427.0947192,602.1502809,1742.426557,4032.273648,100,"UP_pEhEx_DOWN_CDC5"
"31","EHI_103310A",1610.802117,-2.468139611,0.426944903,-5.780932378,7.42877487139456e-09,8.3548361976677e-07,237,652,3240,3191,310.4952407,674.5738542,2092.46184,3365.677534,100,"UP_pEhEx_DOWN_CDC5"
"32","EHI_105140A",6099.030542,-1.971245456,0.341226488,-5.77694149,7.60707238048125e-09,8.3548361976677e-07,1784,2532,11325,11496,2337.229997,2619.664109,7313.929118,12125.29894,100,"UP_pEhEx_DOWN_CDC5"
"33","EHI_167270A",6099.030542,-1.971245456,0.341226488,-5.77694149,7.60707238048125e-09,8.3548361976677e-07,1784,2532,11325,11496,2337.229997,2619.664109,7313.929118,12125.29894,100,"UP_pEhEx_DOWN_CDC5"
