baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,pEhEx_1,pEhEx_2,CmasM_1.1,CmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_075040A,92.14321959,7.735679705,1.150019667,6.726562969,1.73717491067787e-11,8.08133768447343e-08,117,223,1,1,138.8972456,227.8608282,0.689761574,1.125042985,100,DOWN_pEhEx_UP_CmasM
EHI_155900A,57.17300647,-9.135131264,1.613075557,-5.6631763,1.48596347707964e-08,3.45635104768725e-05,0,0,82,153,0,0,56.5604491,172.1315768,100,UP_pEhEx_DOWN_CmasM
EHI_006770A,31.05677781,8.582310189,1.580959444,5.428545444,5.68151803084282e-08,8.81014062649359e-05,53,60,0,0,62.91926508,61.30784616,0,0,99.99,DOWN_pEhEx_UP_CmasM
EHI_036630A,34.48128664,-8.406070536,1.587901658,-5.293823137,1.19785287710965e-07,0.00013931,0,0,76,76,0,0,52.42187965,85.50326689,99.99,UP_pEhEx_DOWN_CmasM
EHI_006680A,30.67087627,-8.239729542,1.583357953,-5.203958794,1.95087281139166e-07,0.000181509,0,0,80,60,0,0,55.18092595,67.50257913,99.98,UP_pEhEx_DOWN_CmasM
EHI_169350A,1415.745959,-3.40350567,0.688202074,-4.945503359,7.59473609958904e-07,0.000588845,175,275,1248,3834,207.7522904,280.9942949,860.8224448,4313.414806,99.94,UP_pEhEx_DOWN_CmasM
EHI_089770A,18.6385862,-7.521983852,1.635153286,-4.600170464,4.22145346047118e-06,0.002805457,0,0,51,35,0,0,35.17784029,39.37650449,99.72,UP_pEhEx_DOWN_CmasM
EHI_140640A,19.86239066,-7.605742567,1.681514814,-4.523149309,6.0926228929423e-06,0.00354286,0,0,32,51,0,0,22.07237038,57.37719226,99.65,UP_pEhEx_DOWN_CmasM
EHI_178340A,1915.693339,-2.915275013,0.661168241,-4.409278658,1.03715501681832e-05,0.005360939,287,544,1876,4864,340.7137562,555.8578052,1293.992713,5472.209081,99.46,UP_pEhEx_DOWN_CmasM
EHI_123020A,13.92997751,7.423624987,1.692859167,4.385258462,1.15848141690112e-05,0.005389256,28,22,0,0,33.24036646,22.47954359,0,0,99.46,DOWN_pEhEx_UP_CmasM
EHI_057550A,473.4015722,1.849544899,0.449148635,4.117890504,3.82356277728861e-05,0.012705153,774,552,341,156,918.8587014,564.0321847,235.2086969,175.5067057,98.73,DOWN_pEhEx_UP_CmasM
