"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EhMyb10_1","EhMyb10_2","pEhEx_1","pEhEx_2","EhMyb10_1.1","EhMyb10_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"1","EHI_035060A",73.67007073,-9.571180314,1.538528846,-6.220995036,4.94011796155903e-10,2.27344228590946e-06,0,0,228,112,0,0,162.9007699,131.779513,100,"UP_pEhEx_DOWN_EhMyb10"
"2","EHI_155680A",318.6714215,-2.919183839,0.497389547,-5.869009227,4.38407040306801e-09,1.00877459974595e-05,74,67,550,623,78.53727476,70.16248639,392.9623835,733.0235412,100,"UP_pEhEx_DOWN_EhMyb10"
"3","EHI_155900A",59.65183665,-9.259413829,1.615230447,-5.732565189,9.89229954006555e-09,1.51747874944606e-05,0,0,82,153,0,0,58.587119,180.0202276,100,"UP_pEhEx_DOWN_EhMyb10"
"4","EHI_049990A",33.52486807,-8.429886726,1.582646257,-5.326450359,1.00150634234202e-07,0.000115223,0,0,79,66,0,0,56.44368782,77.65578446,99.99,"UP_pEhEx_DOWN_EhMyb10"
"5","EHI_004430A",32.05411458,-8.365962711,1.582895447,-5.285227606,1.25548559954142e-07,0.000115555,0,0,79,61,0,0,56.44368782,71.77277048,99.99,"UP_pEhEx_DOWN_EhMyb10"
"6","EHI_172280A",98.53800001,-3.566030446,0.679893594,-5.244983155,1.56296606749555e-07,0.000119879,17,12,135,227,18.04234691,12.56641547,96.45440323,267.0888344,99.99,"UP_pEhEx_DOWN_EhMyb10"
"7","EHI_169350A",1447.71481,-3.798811727,0.734504133,-5.171940574,2.31675270518163e-07,0.00015231,119,250,1248,3834,126.2964283,261.8003224,891.6673721,4511.095115,99.98,"UP_pEhEx_DOWN_EhMyb10"
"8","EHI_092930A",401.2686791,-2.227878559,0.434207669,-5.130905599,2.8835150399929e-07,0.000165874,112,156,814,630,118.8672267,163.3634012,581.5843276,741.2597607,99.98,"UP_pEhEx_DOWN_EhMyb10"
"9","EHI_178340A",1941.521576,-3.329009416,0.659123794,-5.050658835,4.4028882715154e-07,0.000202621,301,366,1876,4864,319.4556717,383.2756719,1340.358966,5722.995994,99.98,"UP_pEhEx_DOWN_EhMyb10"
"10","EHI_179390A",172.7978589,-2.742422053,0.5422592,-5.057400688,4.25009632612172e-07,0.000202621,52,33,300,329,55.18835524,34.55764255,214.3431183,387.1023195,99.98,"UP_pEhEx_DOWN_EhMyb10"
"11","EHI_188960A",4184.093585,-2.096646196,0.427399064,-4.905593792,9.31451172610609e-07,0.000389685,1658,1348,7493,6979,1759.659481,1411.627338,5353.576618,8211.510905,99.96,"UP_pEhEx_DOWN_EhMyb10"
