"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","U2AF84_1","U2AF84_2","pEhEx_1","pEhEx_2","U2AF84_1.1","U2AF84_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"1","EHI_010030A",405.7941744,-2.180301471,0.385013734,-5.662918696,1.48819683239697e-08,1.73499249408733e-05,124,135,704,770,139.2673342,153.8139328,478.5971068,851.4983237,100,"UP_pEhEx_DOWN_U2AF84"
"2","EHI_155900A",56.23487713,-9.07193621,1.592008903,-5.698420527,1.20922478862324e-08,1.73499249408733e-05,0,0,82,153,0,0,55.74568574,169.1938228,100,"UP_pEhEx_DOWN_U2AF84"
"3","EHI_195110A",205.094596,11.32861167,2.01601158,5.619318751,1.91711877799705e-08,1.73499249408733e-05,559,169,0,0,627.8261275,192.5522566,0,0,100,"DOWN_pEhEx_UP_U2AF84"
"4","EHI_035670A",151.0812066,-2.58621962,0.471936476,-5.480016386,4.25286447949996e-08,2.53072193903785e-05,28,48,284,294,31.44746256,54.68939833,193.0704238,325.1175418,100,"UP_pEhEx_DOWN_U2AF84"
"5","EHI_155680A",323.1478592,-2.207581721,0.404038203,-5.463794528,4.66062972198498e-08,2.53072193903785e-05,95,108,550,623,106.696748,123.0511462,373.9039897,688.9395528,100,"UP_pEhEx_DOWN_U2AF84"
"6","EHI_172280A",95.03136619,-3.193544878,0.606239188,-5.267796836,1.38070789441592e-07,6.24770322223204e-05,17,16,135,227,19.09310227,18.22979944,91.77643384,251.0261292,99.99,"UP_pEhEx_DOWN_U2AF84"
"7","EHI_010020A",530.8822557,-2.541323806,0.528151148,-4.811735833,1.49625039425218e-06,0.00056024,140,135,610,1264,157.2373128,153.8139328,414.6935159,1397.784261,99.94,"UP_pEhEx_DOWN_U2AF84"
"8","EHI_188880A",45.36141602,-3.619910228,0.755397984,-4.792057042,1.65079950045625e-06,0.00056024,6,6,68,110,6.738741976,6.836174792,46.22812964,121.6426177,99.94,"UP_pEhEx_DOWN_U2AF84"
"9","EHI_156660A",6227.482409,-1.132909234,0.242905746,-4.663986967,3.10141032321152e-06,0.000935592,3568,3330,12553,7754,4007.305229,3794.077009,8533.848696,8574.698704,99.91,"UP_pEhEx_DOWN_U2AF84"
"10","EHI_103510A",1873.564969,-2.080890523,0.455200384,-4.571372518,4.84540031024209e-06,0.001315526,474,790,2698,3823,532.3606161,900.0963476,1834.169026,4227.633885,99.87,"UP_pEhEx_DOWN_U2AF84"
"11","EHI_057550A",430.5243137,1.701351069,0.376671877,4.516798762,6.27815167932481e-06,0.001549562,731,436,341,156,821.0033975,496.7620349,231.8204736,172.5113487,99.85,"DOWN_pEhEx_UP_U2AF84"
"12","EHI_017750A",546.7756764,-1.509391548,0.336523936,-4.485242758,7.28309663792571e-06,0.001647801,236,266,950,880,265.0571844,303.0704158,645.834164,973.1409414,99.84,"UP_pEhEx_DOWN_U2AF84"
"13","EHI_119540A",2407.615889,-1.661295114,0.382270191,-4.345866233,1.38727096655396e-05,0.002834742,839,1203,3831,4262,942.300753,1370.653046,2604.411245,4713.098514,99.72,"UP_pEhEx_DOWN_U2AF84"
"14","EHI_141800A",1061.105157,-1.56299624,0.363073251,-4.30490606,1.6705660935213e-05,0.002834742,369,578,1890,1706,414.4326315,658.5515049,1284.870074,1886.566416,99.72,"UP_pEhEx_DOWN_U2AF84"
"15","EHI_165810.mRNA",652.6173681,1.361274359,0.31576949,4.310974946,1.62536322515281e-05,0.002834742,902,761,627,275,1013.057544,867.0548361,426.2505483,304.1065442,99.72,"DOWN_pEhEx_UP_U2AF84"
"16","EHI_187780A",57.93640059,-2.53534156,0.588458795,-4.308443649,1.64407351135218e-05,0.002834742,14,16,99,118,15.72373128,18.22979944,67.30271815,130.4893535,99.72,"UP_pEhEx_DOWN_U2AF84"
"17","EHI_188960A",4319.995287,-1.519483645,0.355900826,-4.269401847,1.95997875432771e-05,0.003130201,1556,2388,7493,6979,1747.580419,2720.797567,5093.931991,7717.67117,99.69,"UP_pEhEx_DOWN_U2AF84"
"18","EHI_170060A",436.3345533,-1.609089557,0.387138124,-4.156370699,3.23343030692509e-05,0.004877091,137,243,839,673,153.8679418,276.8650791,570.3735407,744.2316518,99.51,"UP_pEhEx_DOWN_U2AF84"
"19","EHI_028990A",316.0276385,-2.022998128,0.491016608,-4.120019758,3.78839911289423e-05,0.00540358,81,139,450,641,90.97301668,158.3713827,305.9214461,708.8447084,99.46,"UP_pEhEx_DOWN_U2AF84"
"20","EHI_098470A",2226.549927,-14.38516551,3.50794308,-4.100740856,4.11829544092643e-05,0.00540358,0,0,486,7755,0,0,330.3951618,8575.804546,99.46,"UP_pEhEx_DOWN_U2AF84"
"21","EHI_179390A",175.9690158,-2.058401732,0.50237728,-4.097322501,4.17956426032959e-05,0.00540358,38,82,300,329,42.67869918,93.42772215,203.9476307,363.822011,99.46,"UP_pEhEx_DOWN_U2AF84"
"22","EHI_134810A",610.9157915,-1.555775013,0.384787171,-4.04320916,5.27245468713692e-05,0.006506688,193,354,1181,923,216.7628669,403.3343127,802.8738397,1020.692146,99.35,"UP_pEhEx_DOWN_U2AF84"
"23","EHI_020080A",594.5263901,-1.206367327,0.300460402,-4.015062613,5.94300154037666e-05,0.006727091,299,336,1073,841,335.8139752,382.8257883,729.4526926,930.0131042,99.33,"UP_pEhEx_DOWN_U2AF84"
"24","EHI_048140A",1013.230628,-2.21442642,0.551549345,-4.014919863,5.94659961604723e-05,0.006727091,181,452,1320,2204,203.285383,514.9918343,897.3695753,2437.275721,99.33,"UP_pEhEx_DOWN_U2AF84"
"25","EHI_148190A",1180.273408,-1.640829369,0.41078374,-3.994387341,6.48617530751838e-05,0.007043986,440,572,1695,2191,494.1744116,651.7153301,1152.304114,2422.899776,99.3,"UP_pEhEx_DOWN_U2AF84"
"26","EHI_157010A",808.2323966,1.054865487,0.265240453,3.977015861,6.97855120504173e-05,0.007287218,1009,921,787,466,1133.231776,1049.352831,535.022618,515.3223621,99.27,"DOWN_pEhEx_UP_U2AF84"
"27","EHI_136740A",190.4666189,-2.43064788,0.616523557,-3.942506094,8.06346005809698e-05,0.008108257,39,66,199,459,43.80182285,75.19792271,135.2852617,507.5814683,99.19,"UP_pEhEx_DOWN_U2AF84"
"28","EHI_092170A",101.8734784,-1.565525988,0.398229908,-3.931211487,8.45188811379601e-05,0.008195313,45,46,230,134,50.54056482,52.4106734,156.3598502,148.1828252,99.18,"UP_pEhEx_DOWN_U2AF84"
"29","EHI_000130A",177.7823987,-1.976935721,0.507306584,-3.896925019,9.74217647199563e-05,0.008532261,59,68,236,368,66.2642961,77.47664764,160.4388029,406.9498482,99.15,"UP_pEhEx_DOWN_U2AF84"
"30","EHI_083100A",49.92797767,-2.801552583,0.718136676,-3.901141211,9.57402799702091e-05,0.008532261,7,15,70,115,7.861865639,17.09043698,47.58778051,127.1718276,99.15,"UP_pEhEx_DOWN_U2AF84"
"31","EHI_152800A",621.93722,-2.360555573,0.605546768,-3.898221735,9.69016673407288e-05,0.008532261,90,267,755,1419,101.0811296,304.2097782,513.2682041,1569.189768,99.15,"UP_pEhEx_DOWN_U2AF84"
"32","EHI_135060A",1172.084753,-1.813910926,0.47630799,-3.808273145,0.000139941,0.011873089,282,633,1817,2184,316.7208729,721.2164405,1235.242817,2415.158882,98.81,"UP_pEhEx_DOWN_U2AF84"
"33","EHI_147570A",1923.211857,-1.309267467,0.34604884,-3.783475959,0.000154653,0.012723746,856,1097,3071,3069,961.3938553,1249.880624,2087.743913,3393.829033,98.73,"UP_pEhEx_DOWN_U2AF84"
"34","EHI_058090A",2086.734942,-1.297462701,0.343674081,-3.775270737,0.000159834,0.012763213,1047,1086,3209,3393,1175.910475,1237.347637,2181.559824,3752.121834,98.72,"UP_pEhEx_DOWN_U2AF84"
"35","EHI_062500A",84.08638794,-1.720756002,0.45976315,-3.742700998,0.000182053,0.014117504,31,38,157,137,34.81683354,43.29577368,106.7325934,151.5003511,98.59,"UP_pEhEx_DOWN_U2AF84"
