baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,UmasM_1,UmasM_2,pEhEx_1,pEhEx_2,UmasM_1.1,UmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_088600A,94.46796993,10.00229709,1.605976868,6.228170086,4.71914589616324e-10,2.32323552468117e-06,220,140,0,0,273.1618796,104.7100001,0,0,100,DOWN_pEhEx_UP_UmasM
EHI_098180A,40.81416748,3.679981049,0.963366266,3.819918946,0.000133496,0.328599261,69,89,14,0,85.67349862,66.56564291,11.01752838,0,67.14,DOWN_pEhEx_UP_UmasM
EHI_156560A,10.99517609,6.887420423,1.891017578,3.642176837,0.000270342,0.443631634,30,9,0,0,37.24934722,6.731357148,0,0,55.64,DOWN_pEhEx_UP_UmasM
EHI_152290A,30.42009943,3.186495466,0.927946404,3.433921887,0.000594916,0.585753909,20,113,6,6,24.83289815,84.51592863,4.721797877,7.609773069,41.42,DOWN_pEhEx_UP_UmasM
EHI_195110A,105.8271227,10.16908935,2.926504868,3.474823999,0.000511189,0.585753909,309,53,0,0,383.6682764,39.64021431,0,0,41.42,DOWN_pEhEx_UP_UmasM
EHI_013100A,7.651559725,6.380613569,1.885948649,3.38323823,0.000716365,0.587777176,12,21,0,0,14.89973889,15.70650001,0,0,41.22,DOWN_pEhEx_UP_UmasM
EHI_166800A,42.61541607,2.287131568,0.69259314,3.302272917,0.000959047,0.674484106,61,88,19,11,75.74033936,65.81771433,14.95235994,13.95125063,32.55,DOWN_pEhEx_UP_UmasM
EHI_006850A,52.70237204,-2.576920387,0.80091739,-3.217460902,0.001293307,0.691384095,7,28,61,105,8.691514352,20.94200002,48.00494508,133.1710287,30.86,UP_pEhEx_DOWN_UmasM
EHI_022240A,15.91286306,3.755530736,1.169776919,3.210467462,0.001325193,0.691384095,24,40,5,0,29.79947778,29.91714288,3.934831564,0,30.86,DOWN_pEhEx_UP_UmasM
EHI_101730A,30.48865876,3.231273181,1.020576117,3.166126591,0.001544835,0.691384095,52,62,14,0,64.56553519,46.37157146,11.01752838,0,30.86,DOWN_pEhEx_UP_UmasM
EHI_156310A,419.7731243,-2.564738474,0.804435208,-3.188247416,0.00143138,0.691384095,57,229,266,968,70.77375973,171.275643,209.3330392,1227.710055,30.86,UP_pEhEx_DOWN_UmasM
EHI_107170A,658.299907,2.76699898,0.889929318,3.109234549,0.001875727,0.769517205,1604,408,355,45,1991.598432,305.1548574,279.3730411,57.07329802,23.05,DOWN_pEhEx_UP_UmasM
EHI_180390A,98.03496297,-3.137450543,1.038823215,-3.020196795,0.002526105,0.956616503,14,30,19,266,17.3830287,22.43785716,14.95235994,337.3666061,4.34,UP_pEhEx_DOWN_UmasM
EHI_000010A,8.213433194,0.925395333,1.23682454,0.748202597,0.454337965,0.999745166,6,19,11,2,7.449869445,14.21064287,8.656629441,2.536591023,0.03,DOWN_pEhEx_UP_UmasM
EHI_000130A,294.9450079,-0.302986696,0.869134666,-0.348607308,0.727384141,0.999745166,44,632,236,368,54.63237593,472.6908575,185.7240498,466.7327483,0.03,UP_pEhEx_DOWN_UmasM
EHI_000140A,318.2999483,-0.480578022,0.655539748,-0.733102796,0.463495735,0.999745166,98,547,476,290,121.6812009,409.1169289,374.5959649,367.8056984,0.03,UP_pEhEx_DOWN_UmasM
EHI_000240A,1346.78538,-0.695771904,0.549715294,-1.26569501,0.205622296,0.999745166,620,1719,1584,1644,769.8198426,1285.689215,1246.55464,2085.077821,0.03,UP_pEhEx_DOWN_UmasM
EHI_000250A,415.2431324,0.464954366,0.63743696,0.729412311,0.465749489,0.999745166,587,314,438,278,728.8455607,234.8495716,344.691245,352.5861522,0.03,DOWN_pEhEx_UP_UmasM
EHI_000260A,104.2763988,0.279024091,0.582028392,0.479399449,0.631654485,0.999745166,99,142,147,57,122.9228458,106.2058572,115.684048,72.29284416,0.03,DOWN_pEhEx_UP_UmasM
EHI_000280A,68.42528959,-0.23451382,0.615127886,-0.381244006,0.703022198,0.999745166,48,88,74,71,59.59895556,65.81771433,58.23550715,90.04898132,0.03,UP_pEhEx_DOWN_UmasM
EHI_000290A,20.97495513,0.477013009,0.817859239,0.583245852,0.559727808,0.999745166,22,29,25,12,27.31618796,21.68992859,19.67415782,15.21954614,0.03,DOWN_pEhEx_UP_UmasM
EHI_000300A,119.0712406,-0.335002563,0.56714466,-0.590682742,0.554733014,0.999745166,67,170,180,98,83.1902088,127.1478572,141.6539363,124.2929601,0.03,UP_pEhEx_DOWN_UmasM
EHI_000410A,26.14307941,-0.231396961,0.758252042,-0.305171564,0.760235489,0.999745166,17,36,38,21,21.10796343,26.92542859,29.90471989,26.63420574,0.03,UP_pEhEx_DOWN_UmasM
EHI_000430A,28.67158725,0.738070635,0.767454193,0.961712949,0.336193816,0.999745166,26,53,35,12,32.28276759,39.64021431,27.54382095,15.21954614,0.03,DOWN_pEhEx_UP_UmasM
EHI_000440A,402.2167911,0.278766713,0.534452007,0.521593538,0.601953363,0.999745166,282,711,545,235,350.1438639,531.7772147,428.8966405,298.0494452,0.03,DOWN_pEhEx_UP_UmasM
EHI_000470A,8.393530351,0.575125602,1.141160188,0.503983234,0.614273158,0.999745166,9,12,9,5,11.17480417,8.975142864,7.082696816,6.341477558,0.03,DOWN_pEhEx_UP_UmasM
EHI_000480A,22.35475054,-0.403328325,0.791826555,-0.509364485,0.610496766,0.999745166,16,25,34,19,19.86631852,18.6982143,26.75685464,24.09761472,0.03,UP_pEhEx_DOWN_UmasM
EHI_000510A,10483.29563,-0.275064868,0.506559596,-0.543005936,0.587125715,0.999745166,9230,10046,12568,10304,11460.3825,7513.690434,9890.59262,13068.51695,0.03,UP_pEhEx_DOWN_UmasM
EHI_000520A,21.91998319,0.279102813,0.797886466,0.349802667,0.726486798,0.999745166,20,31,23,17,24.83289815,23.18578573,18.1002252,21.5610237,0.03,DOWN_pEhEx_UP_UmasM
EHI_000540A,28.62197636,0.414407543,0.810201757,0.511486848,0.609010195,0.999745166,32,35,44,11,39.73263704,26.17750002,34.62651777,13.95125063,0.03,DOWN_pEhEx_UP_UmasM
EHI_000550A,285.5482877,-0.100853632,0.508148209,-0.198472867,0.842675111,0.999745166,252,319,388,225,312.8945167,238.5892145,305.3429294,285.3664901,0.03,UP_pEhEx_DOWN_UmasM
EHI_000560A,55.49256285,0.241073287,0.628316018,0.383681586,0.701214462,0.999745166,56,68,63,41,69.53211482,50.85914289,49.57887771,52.00011597,0.03,DOWN_pEhEx_UP_UmasM
EHI_000570A,61.13371081,0.413621584,0.609580104,0.678535244,0.497432386,0.999745166,62,84,67,41,76.98198426,62.82600005,52.72674296,52.00011597,0.03,DOWN_pEhEx_UP_UmasM
EHI_000580A,146.4312561,0.183787977,0.531134296,0.346029202,0.729320769,0.999745166,133,196,187,100,165.1387727,146.5940001,147.1627005,126.8295512,0.03,DOWN_pEhEx_UP_UmasM
