pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_013900A	19727.3699066586	38041.5655976386	-2.60697644629087	1	-0.947377995595339	30453	32207	30971	17307	41069.0177970332	35439.7659004566	20914.8498570395	18202.8619532121	100	DOWN_pEhEx_UP_CDC5
EHI_014110A	10554.893783455	4848.88420820978	2.00689366740039	1	1.12218735298474	2849	5438	13354	11368	3842.17094223057	5983.83727036616	9018.01378679751	11956.4415949682	100	UP_pEhEx_DOWN_CDC5
EHI_015310A	10435.565854307	3394.50407832873	2.60254970945633	1	1.62023610702072	2271	3450	12746	11539	3062.67820631998	3796.29249407195	8607.42876490348	12136.2930651248	100	UP_pEhEx_DOWN_CDC5
EHI_020990A	22.1074221348572	0.0609275189815029	2.89166700793437	1	8.50322109843675	0	0	17	31	0.67430167466314	0.550187317981442	11.480173309537	32.6046524845192	100	UP_pEhEx_DOWN_CDC5
EHI_022010A	3784.34972629489	1033.0523806532	3.69338452269712	1	1.87313201229302	743	983	5923	3332	1002.01228854943	1081.66826715151	3999.82744190517	3504.47426059413	100	UP_pEhEx_DOWN_CDC5
EHI_025840A	0.0434205305702744	18.6555734221716	-4.03994499563535	1	-8.7470136352216	14	17	0	0	18.8804468905679	18.706368811369	0.337652156162854	0.525881491685794	100	DOWN_pEhEx_UP_CDC5
EHI_025850A	9179.0113539103	16412.9767767222	-2.88267880453298	1	-0.838426241836632	12587	14608	14656	7892	16974.8703579699	16074.2726821458	9897.26000144559	8300.51346476858	100	DOWN_pEhEx_UP_CDC5
EHI_027610A	811.080697238366	200.801021049556	2.34719488953678	1	2.01407885508709	153	180	1143	797	206.336312446921	198.067434473319	771.872828988285	838.255097747156	100	UP_pEhEx_DOWN_CDC5
EHI_030070A	17484.149542701	5880.40256583696	2.95662540665209	1	1.57206079386587	3730	6240	22124	18829	5030.29049298702	6866.33772840839	14940.432605894	19803.6452139036	100	UP_pEhEx_DOWN_CDC5
EHI_035090A	6088.54539059926	3372.88565054296	1.98609165495671	1	0.852114188074877	2028	3723	8525	6019	2734.96759243369	4096.69476968982	5756.96926257667	6330.56139691359	100	UP_pEhEx_DOWN_CDC5
EHI_035600A	4267.13561843528	1887.99227614444	2.50781384286751	1	1.17641510052747	1435	1697	5632	4443	1935.24580628321	1867.33575722901	3803.31388701839	4672.98293511997	100	UP_pEhEx_DOWN_CDC5
EHI_041880A	16.9888384516604	0.0609275189815029	4.20762880782646	1	8.12327750784712	0	0	25	16	0.67430167466314	0.550187317981442	16.8826078081427	16.8282077339454	100	UP_pEhEx_DOWN_CDC5
EHI_042720A	62610.4079546546	82377.6121811692	-2.56953397640484	1	-0.395849806969401	62883	73695	91671	59270	84804.2244156844	81092.1087972847	61905.82161521	62337.9920244341	100	DOWN_pEhEx_UP_CDC5
EHI_049000A	5406.95862510205	981.384610471777	3.41459444651048	1	2.46192676357869	660	993	6747	5885	890.078210555344	1092.67201351114	4556.27819526156	6189.6251571418	100	UP_pEhEx_DOWN_CDC5
EHI_050960A	3952.0655787734	1986.8866009711	2.05212107807784	1	0.992097351594263	1617	1648	5271	4079	2180.69161586059	1813.41740006683	3559.52903026881	4290.14120917271	100	UP_pEhEx_DOWN_CDC5
