pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_000140A	315.787296470492	119.51690725719	1.13684095206085	0.975061437987509	1.40173841439775	78	124	476	290	105.19106124745	136.446454859398	321.444852667037	305.011265177761	97.51	UP_pEhEx_DOWN_CDC5
EHI_000690A	219.592292389316	0.0609275189815029	4.47656741336539	0.999999999999993	11.8154458028758	0	0	184	298	0.67430167466314	0.550187317981442	124.25599346793	313.425369044733	100	UP_pEhEx_DOWN_CDC5
EHI_001940A	1108.72917081229	335.998255304794	1.58287298125205	0.998752268555771	1.72238135469126	298	247	1316	1251	401.883798099231	271.792535082832	888.700475020633	1315.75549219786	99.88	UP_pEhEx_DOWN_CDC5
EHI_005020A	1383.86417618502	509.088083868065	1.47040450891415	0.998706938657876	1.44271514975308	375	473	1570	1609	505.726255997355	520.477202810444	1060.22777035136	1692.28664024489	99.87	UP_pEhEx_DOWN_CDC5
EHI_005070A	140.611386754607	48.1915030645459	0.940337649823258	0.968017568918484	1.54486272534288	33	48	174	154	44.5039105277672	52.8179825262184	117.502950344673	161.971499439225	96.8	UP_pEhEx_DOWN_CDC5
EHI_007510A	20988.7557103886	52574.1335905452	-3.06538251833547	0.999999999999993	-1.32473652890801	41255	45584	37214	15620	55636.6311764556	50159.4774057321	25130.7746788889	16428.5378002642	100	DOWN_pEhEx_UP_CDC5
EHI_007940A	636.524235108097	227.893666704774	1.45629880845357	0.999515136285231	1.48185461269386	139	249	884	634	187.455865556353	273.993284354758	596.969012095926	666.817731457587	99.95	UP_pEhEx_DOWN_CDC5
EHI_010020A	872.820822856659	134.003429589561	1.41878250748385	0.999260970851639	2.70341559592048	96	128	610	1264	129.465921535323	140.847953403249	411.935630518682	1329.42841098169	99.93	UP_pEhEx_DOWN_CDC5
EHI_010030A	645.984867208293	133.75600445595	1.34484027369529	0.983232109727284	2.2718967116982	146	63	704	770	196.896089001637	69.3236020656617	475.414235877299	809.857497196123	98.32	UP_pEhEx_DOWN_CDC5
EHI_013220A	1492.79487638715	522.300387566187	1.54714973467372	0.993848454861106	1.5150642602958	371	503	1690	1738	500.33184260005	553.48844188933	1141.26428783045	1827.96406509982	99.38	UP_pEhEx_DOWN_CDC5
EHI_013340A	102.365753706224	34.7194077770203	0.993585719080678	0.971338105136643	1.55991890034052	25	33	136	106	33.715083733157	36.3123629867752	91.8413864762964	111.486876237388	97.13	UP_pEhEx_DOWN_CDC5
EHI_015310A	10435.565854307	3394.50407832873	2.60254970945633	1	1.62023610702072	2271	3450	12746	11539	3062.67820631998	3796.29249407195	8607.42876490348	12136.2930651248	100	UP_pEhEx_DOWN_CDC5
EHI_015440A	350.33106709959	118.712786775026	1.08836212181241	0.986160397971659	1.5612435922257	90	107	401	405	121.374301439365	117.740086048029	270.797029242609	425.964008265493	98.62	UP_pEhEx_DOWN_CDC5
EHI_017030A	130.658748560543	28.0946998430864	1.15440932733365	0.97629139594886	2.21743383480008	20	27	142	156	26.9720669865256	29.7101151709979	95.8932123502506	164.075025405968	97.63	UP_pEhEx_DOWN_CDC5
EHI_017660A	337.856183199898	46.6636760687902	1.42037072106805	0.999337577601411	2.85603738905325	30	49	293	452	40.4581004797884	53.9183571621813	197.864163511433	475.396868483958	99.93	UP_pEhEx_DOWN_CDC5
EHI_017750A	788.267872130394	195.846405562464	1.62711557850465	0.999977430346132	2.00896332477001	176	141	950	880	237.354189481425	155.152823670767	641.539096709423	925.551425366998	100	UP_pEhEx_DOWN_CDC5
EHI_020080A	810.096694330688	310.062308546691	1.45014947728133	0.999685280068512	1.3855359591719	261	246	1073	841	351.985474174159	270.692160446869	724.601527125485	884.532669015506	99.97	UP_pEhEx_DOWN_CDC5
EHI_022010A	3784.34972629489	1033.0523806532	3.69338452269712	1	1.87313201229302	743	983	5923	3332	1002.01228854943	1081.66826715151	3999.82744190517	3504.47426059413	100	UP_pEhEx_DOWN_CDC5
EHI_023000A	132.143642138682	26.4988317357356	1.3023982760448	0.978689217504945	2.31810635235356	20	24	157	149	26.9720669865256	26.4089912631092	106.022777035136	156.712684522367	97.87	UP_pEhEx_DOWN_CDC5
EHI_023400A	822.156652227473	3869.1820310359	-3.01933175874847	0.999999999999999	-2.23454339027685	2623	3888	1723	438	3537.38658528283	4278.25658462369	1163.5493301372	460.672186716756	100	DOWN_pEhEx_UP_CDC5
EHI_025360A	386.19968828742	167.368204763761	1.15707782393594	0.97690113041957	1.20632151728053	126	152	545	379	169.924022015111	167.256944666358	368.040850217511	398.618170697832	97.69	UP_pEhEx_DOWN_CDC5
EHI_027610A	811.080697238366	200.801021049556	2.34719488953678	1	2.01407885508709	153	180	1143	797	206.336312446921	198.067434473319	771.872828988285	838.255097747156	100	UP_pEhEx_DOWN_CDC5
EHI_028990A	490.983944598477	72.2717901258942	1.53783473081569	0.992683333321892	2.7641713140341	58	61	450	641	78.2189942609242	67.1228527937359	303.886940546569	674.180072341188	99.27	UP_pEhEx_DOWN_CDC5
EHI_030070A	17484.149542701	5880.40256583696	2.95662540665209	1	1.57206079386587	3730	6240	22124	18829	5030.29049298702	6866.33772840839	14940.432605894	19803.6452139036	100	UP_pEhEx_DOWN_CDC5
EHI_035060A	137.143673546751	0.0609275189815029	5.49871216053473	1	11.1363064577573	0	0	228	112	0.67430167466314	0.550187317981442	153.969383210262	117.797454137618	100	UP_pEhEx_DOWN_CDC5
EHI_035220A	110.056967695979	10.1937618763562	1.38932267219579	0.995595511268324	3.43249202212558	4	14	166	101	5.39441339730512	15.4052449034804	112.100515846068	106.22806132053	99.56	UP_pEhEx_DOWN_CDC5
EHI_035510A	120.187436622748	42.3399866709263	0.996422496007762	0.972105153969855	1.50519337652066	33	37	168	119	44.5039105277672	40.7138615306267	113.451124470719	125.159795021219	97.21	UP_pEhEx_DOWN_CDC5
EHI_035600A	4267.13561843528	1887.99227614444	2.50781384286751	1	1.17641510052747	1435	1697	5632	4443	1935.24580628321	1867.33575722901	3803.31388701839	4672.98293511997	100	UP_pEhEx_DOWN_CDC5
EHI_035650A	138.261047183945	44.4678108140607	1.11065722458816	0.981457345899897	1.63656147119878	33	41	187	141	44.5039105277672	45.1153600744782	126.281906404908	148.298580655394	98.15	UP_pEhEx_DOWN_CDC5
EHI_035670A	251.874643454133	42.8904987915827	1.33934910376115	0.981900314463536	2.55397589251925	40	29	284	294	53.9441339730512	31.9108644429236	191.786424700501	309.218317111247	98.19	UP_pEhEx_DOWN_CDC5
EHI_036560A	142.932089416493	42.7853455102421	1.12759032477694	0.976522727516348	1.74014120343534	29	43	225	125	39.1094971304621	47.316109346404	151.943470273284	131.470372921449	97.65	UP_pEhEx_DOWN_CDC5
EHI_037810A	77.6145689717259	19.564847185676	1.0450967727377	0.982414256790216	1.98806364313563	13	20	93	87	17.5318435412416	22.0074927192577	62.8033010462909	91.5033795533282	98.24	UP_pEhEx_DOWN_CDC5
EHI_038300A	86.79067653962	13.9360102117142	1.51197575426267	0.992999519022756	2.63872248374978	11	12	138	75	14.8346368425891	13.2044956315546	93.1919951009478	78.8822237528692	99.3	UP_pEhEx_DOWN_CDC5
EHI_044550A	55849.3422152274	122844.309261614	-3.13779664653601	0.999999999999996	-1.13721883259904	98905	103273	80340	53808	133383.614265116	113638.989779795	54253.9484522474	56593.2626092584	100	DOWN_pEhEx_UP_CDC5
EHI_044820A	219.272197070444	51.5193215024376	1.07456484265635	0.986076023113824	2.08953739631191	27	62	238	262	36.4122904318095	68.2232274296988	160.722426333519	275.561901643356	98.61	UP_pEhEx_DOWN_CDC5
EHI_044830A	26353.8792635391	55650.9796039615	-5.52073199260053	0.999999999999989	-1.07839174232799	42177	50178	36062	26602	56880.0434645345	55214.5984833456	24352.8241110897	27978.998883651	100	DOWN_pEhEx_UP_CDC5
EHI_045280A	59.8669829671668	16.5277492790372	0.96002026034809	0.966608574653907	1.85687029234935	14	13	78	63	18.8804468905679	14.3048702675175	52.6737363614053	66.2610679524101	96.66	UP_pEhEx_DOWN_CDC5
EHI_048140A	1610.05104269896	276.07898014024	1.594427990923	0.999456825873216	2.54395347158681	227	226	1320	2204	306.132960297065	248.684667727612	891.401692269935	2318.08561535098	99.95	UP_pEhEx_DOWN_CDC5
EHI_048300A	75.6050724120894	0.713192145635637	1.68541013225528	0.999999996279893	6.72804840447997	1	0	78	93	1.34860334932628	0.550187317981442	52.6737363614053	97.8139574535577	100	UP_pEhEx_DOWN_CDC5
EHI_049000A	5406.95862510205	981.384610471777	3.41459444651048	1	2.46192676357869	660	993	6747	5885	890.078210555344	1092.67201351114	4556.27819526156	6189.6251571418	100	UP_pEhEx_DOWN_CDC5
EHI_049690A	3103.45651457533	1277.4799798649	4.28897011521369	0.999999999999997	1.28057524909127	927	1205	4559	2928	1250.15530482546	1325.95143633527	3078.71235989291	3079.56201531201	100	UP_pEhEx_DOWN_CDC5
EHI_050520A	1040.6285878006	341.336378148687	1.50651251152747	0.993704616245562	1.60818916229255	219	359	1211	1190	295.344133502455	395.034494310675	817.793522226433	1251.59795021219	99.37	UP_pEhEx_DOWN_CDC5
EHI_052110A	77.6145689717259	19.564847185676	1.0450967727377	0.982414256790216	1.98806364313563	13	20	93	87	17.5318435412416	22.0074927192577	62.8033010462909	91.5033795533282	98.24	UP_pEhEx_DOWN_CDC5
EHI_056460A	293.057462131136	101.770607598523	1.09803809304194	0.984823672879172	1.5258626168343	63	110	387	305	84.9620110075556	121.041209955917	261.342768870049	320.787709928335	98.48	UP_pEhEx_DOWN_CDC5
EHI_056690A	249.435388517118	85.9665648330777	1.0817356994868	0.98638985833043	1.53681859787269	64	79	312	271	86.3106143568819	86.9295962410678	210.694945445621	285.027768493701	98.64	UP_pEhEx_DOWN_CDC5
EHI_057550A	199.076466912249	847.15848866019	-1.70229066872976	0.999999506077736	-2.08930920974506	738	640	341	156	995.269271802794	704.239767016245	230.278770503067	164.075025405968	100	DOWN_pEhEx_UP_CDC5
EHI_057850A	813.668145999312	335.985888849001	1.67818270817166	0.999999986719217	1.27603987007074	236	327	1149	798	318.270390441002	359.822505959863	775.924654862239	839.306860730528	100	UP_pEhEx_DOWN_CDC5
EHI_065340A	507.362233961197	122.894210721804	1.51819593464024	0.992398039600607	2.0455991797885	62	151	696	511	83.6134076582293	166.156570030395	470.011801378693	537.450884502882	99.24	UP_pEhEx_DOWN_CDC5
EHI_066770A	1061.36374867474	300.765453978047	2.13020488174211	1	1.81920840564483	194	315	1430	1086	261.629049769298	346.618010328308	965.685166625763	1142.21459994155	100	UP_pEhEx_DOWN_CDC5
EHI_068610A	69.2031381944966	204.438116103573	-1.20275089400661	0.964388374676506	-1.56275483490338	149	192	96	69	200.941899049616	211.271930104874	64.829213983268	72.5716458526396	96.44	DOWN_pEhEx_UP_CDC5
EHI_069280A	107.143494378396	35.7152787369924	1.03384803085331	0.980830450303793	1.58493096811761	28	31	156	102	37.7608937811358	34.1116137148494	105.347472722811	107.279824303902	98.08	UP_pEhEx_DOWN_CDC5
EHI_073180A	398.120327656812	98.3067069374412	1.69372518629592	0.99999999922894	2.01784278363532	75	88	540	405	101.145251199471	96.8329679647337	364.664328655883	425.964008265493	100	UP_pEhEx_DOWN_CDC5
EHI_076020A	636.38789511967	256.14918808382	1.24027770576197	0.989575867778225	1.31292207520749	191	235	789	696	257.583239721319	258.588039451278	532.815102424984	732.027036426626	98.96	UP_pEhEx_DOWN_CDC5
EHI_077770A	112.567354926076	25.8122373918891	1.11606362419202	0.979757356902918	2.12466139552574	19	24	126	132	25.6234636371993	26.4089912631092	85.0883433530393	138.83271380505	97.98	UP_pEhEx_DOWN_CDC5
EHI_083270A	3764.57484673735	554.094040346989	6.2538695974486	1	2.7642841878634	353	586	5365	3660	476.056982312177	644.81953667425	3623.00763562743	3849.45251914001	100	UP_pEhEx_DOWN_CDC5
EHI_083410A	3764.57484673735	554.094040346989	6.2538695974486	1	2.7642841878634	353	586	5365	3660	476.056982312177	644.81953667425	3623.00763562743	3849.45251914001	100	UP_pEhEx_DOWN_CDC5
EHI_087410A	146.384984169961	43.6946192737464	1.10945953013147	0.981823823248265	1.74424003625281	28	46	203	146	37.7608937811358	50.6172332542926	137.086775402119	153.557395572252	98.18	UP_pEhEx_DOWN_CDC5
