pEhEx_mean	CmasM_mean	theta	prob	log2FC	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_017700A	19598.1502457813	26342.0290896165	-2.07549099688515	1	-0.426648985393366	22439	24306	28733	16503	26947.6529352775	25580.8663625867	20832.0760337979	18459.2149605248	100	DOWN_pEhEx_UP_CmasM
EHI_036630A	69.7404369541826	0.0565053346868306	4.50411352976864	1	10.2693926086563	0	0	76	76	0.600464658302008	0.526225342766945	55.1017220119251	85.0088067018047	100	UP_pEhEx_DOWN_CmasM
EHI_075040A	0.917637328344508	188.06495173667	-3.17362449587791	1	-7.67909121466519	117	223	1	1	140.50873004267	234.696502874057	0.725022658051645	1.1185369302869	100	DOWN_pEhEx_UP_CmasM
EHI_116040A	23.4801663352516	0.0565053346868306	4.10766098604307	1	8.69883983404477	0	0	28	24	0.600464658302008	0.526225342766945	20.3006344254461	26.8448863268857	100	UP_pEhEx_DOWN_CmasM
EHI_155900A	114.539060660753	0.0565053346868306	3.69858245565567	1	10.9851649773152	0	0	82	153	0.600464658302008	0.526225342766945	59.4518579602349	171.136150333896	100	UP_pEhEx_DOWN_CmasM
EHI_156660A	8863.24017234971	4840.26253359917	2.61270859947282	1	0.872748906627535	3553	5119	12553	7754	4266.90186189407	5387.49505924798	9101.20942652231	8673.13535744465	100	UP_pEhEx_DOWN_CmasM
EHI_174150A	15.9782387835622	0.0565053346868306	3.10561749538523	1	8.14350560000927	0	0	15	19	0.600464658302008	0.526225342766945	10.8753398707747	21.2522016754512	100	UP_pEhEx_DOWN_CmasM
EHI_105180A	10526.4580441504	12612.2703421571	-1.65982231841079	1	-0.260807921247901	10771	11606	14541	9451	12935.2096691419	12214.7426563063	10542.554470729	10571.2925281415	100	DOWN_pEhEx_UP_CmasM
EHI_156690A	32186.1337316175	56230.6636779682	-2.09970272524857	1	-0.804917787229219	52002	47186	46465	27579	62450.7263220421	49660.9380476021	33688.1778063697	30848.1300003825	100	DOWN_pEhEx_UP_CmasM
EHI_160990A	16486.4316557453	21515.2582932891	-1.63914876127084	1	-0.384080986307232	18098	20115	24564	13624	21734.4187718995	21170.0455395142	17809.4565723806	15238.9471382288	100	DOWN_pEhEx_UP_CmasM
EHI_025850A	9705.56173467187	14609.9904043958	-1.65458102988474	0.999999999999999	-0.590071610400789	11171	14940	14656	7892	13415.5813957835	15723.6132418763	10625.9320764049	8827.49345382424	100	DOWN_pEhEx_UP_CmasM
EHI_006770A	0.0458818664172254	63.5833649565915	-4.63052070112867	0.999999999999999	-10.436509573828	53	60	0	0	63.6492537800129	63.1470411320334	0.362511329025823	0.559268465143452	100	DOWN_pEhEx_UP_CmasM
EHI_102170A	109183.133498462	123513.324276537	-2.45102649438223	0.999999999999999	-0.177916676785108	102708	116835	146157	101099	123345.048249765	122963.075844352	105967.136632854	113082.965115076	100	DOWN_pEhEx_UP_CmasM
EHI_182920A	16168.7953993316	20063.6150290545	-2.0482599196897	0.999999999999999	-0.311369372015885	16827	18815	23154	13978	20208.0376104958	19801.8596483201	16787.1746245278	15634.9092115503	100	DOWN_pEhEx_UP_CmasM
EHI_025600A	72112.3029827274	105491.396706226	-2.13943529722138	0.999999999999998	-0.548808023684358	92546	94263	90687	70620	111141.204534435	99207.1589704811	65750.1297907296	78991.0780168611	100	DOWN_pEhEx_UP_CmasM
EHI_007620A	5307.23020520077	10535.3304717561	-1.98511567175967	0.999999999999998	-0.989204536027165	9342	9300	8869	3753	11219.0816757147	9787.79137546518	6430.22595426004	4197.86909936675	100	DOWN_pEhEx_UP_CmasM
EHI_013900A	20858.2187158819	36972.7023819473	-1.78178355987996	0.999999999999997	-0.825844538300118	34929	30182	30971	17307	41947.2600996617	31765.0665907839	22454.6767425175	19358.5186524754	100	DOWN_pEhEx_UP_CmasM
EHI_089770A	37.9447883119916	0.0565053346868306	4.96480737328861	0.999999999999997	9.39129895157484	0	0	51	35	0.600464658302008	0.526225342766945	36.9761555606339	39.1487925600416	100	UP_pEhEx_DOWN_CmasM
EHI_006680A	62.3425919755877	0.0565053346868306	5.20039699773378	0.999999999999996	10.1076153435629	0	0	80	60	0.600464658302008	0.526225342766945	58.0018126441316	67.1122158172142	100	UP_pEhEx_DOWN_CmasM
EHI_158270A	3012.83133385157	6079.45607158719	-2.12056356275622	0.999999999999996	-1.01282234227586	5573	5158	4054	2776	6692.77908143418	5428.5406359838	2939.24185574137	3105.05851847644	100	DOWN_pEhEx_UP_CmasM
EHI_143430A	126897.997856057	188373.615957464	-2.437482734943	0.999999999999994	-0.569927604794957	147971	188119	160534	123647	177702.711907213	197985.97051195	116390.787387663	138303.735819185	100	DOWN_pEhEx_UP_CmasM
EHI_005890A	13873.2767870227	18898.2031699182	-4.32570607090616	0.999999999999989	-0.445940486307711	15820	17756	19395	12304	18998.7017886755	18687.3143723398	14061.8144529117	13762.4783902501	100	DOWN_pEhEx_UP_CmasM
EHI_042720A	66189.3793539587	83010.2072299238	-2.61007238464408	0.999999999999989	-0.326689003298829	71372	75837	91671	59270	85712.7271846618	79814.7026388336	66463.5520862524	66295.6838581048	100	DOWN_pEhEx_UP_CmasM
EHI_044830A	27856.4868346565	47130.6596539314	-2.34055248954847	0.999999999999989	-0.758652552237564	42643	40630	36062	26602	51211.2288479451	42761.071353242	26145.7670946584	29755.3194194922	100	DOWN_pEhEx_UP_CmasM
EHI_044550A	59039.6510914665	116151.757327024	-2.3305863587939	0.999999999999987	-0.976254881083749	108717	95980	80340	53808	130561.432513239	101014.216797543	58248.3203478692	60186.2351448777	100	DOWN_pEhEx_UP_CmasM
EHI_007510A	22198.4102199694	43455.23475287	-2.32188341342248	0.999999999999985	-0.969073620031886	37582	39449	37214	15620	45133.3255766121	41518.1270936264	26980.9931967339	17471.5468510814	100	DOWN_pEhEx_UP_CmasM
EHI_140640A	39.8793690843985	0.0565053346868306	3.2969874720746	0.999999999999985	9.46303979101471	0	0	32	51	0.600464658302008	0.526225342766945	23.2007250576527	57.0453834446321	100	UP_pEhEx_DOWN_CmasM
EHI_020300A	17475.5038293103	26880.2776874358	-1.55960664897302	0.999999999999772	-0.621213992025753	24662	22782	26491	14143	29617.3188060882	23976.9315178331	19206.5752344461	15819.4678050477	100	DOWN_pEhEx_UP_CmasM
EHI_087110A	11997.7551950199	17975.9996362937	-1.55464769030801	0.999999999999224	-0.583307500603884	13736	18392	18494	9508	16495.9650928728	19356.6730083393	13408.5690380071	10635.0491331679	100	DOWN_pEhEx_UP_CmasM
EHI_069110A	29458.1281256516	34346.8683057259	-1.54292793666759	0.999999999986922	-0.221512803033192	27535	33665	41631	25831	33067.5887326916	35430.7523284984	30183.4182773481	28892.927446241	100	DOWN_pEhEx_UP_CmasM
EHI_023400A	869.944783478328	3918.44708320365	-1.53182996370576	0.999999999833483	-2.17128627496905	4388	2413	1723	438	5269.67784125842	2539.56350419328	1249.21403982299	489.919175465664	100	DOWN_pEhEx_UP_CmasM
EHI_146570A	31373.5040621786	35767.6867062306	-1.50635661234684	0.9999999697964	-0.189110143553289	30008	33530	41438	29419	36037.4869326533	35288.6714859513	30043.4889043441	32906.2379521104	100	DOWN_pEhEx_UP_CmasM
EHI_191770A	6243.91485178551	8488.16292646543	-1.49552856600566	0.999999786512718	-0.443001484970369	7269	7788	9274	5179	8729.55520239459	8196.48593893794	6723.86013077096	5792.90276195587	100	DOWN_pEhEx_UP_CmasM
EHI_123020A	0.0458818664172254	28.4820929772957	-3.7385474909799	0.999999615534307	-9.27791537023616	28	22	0	0	33.6260208649125	23.1539150817456	0.362511329025823	0.559268465143452	100	DOWN_pEhEx_UP_CmasM
EHI_148850A	12042.013014974	14775.0821498107	-1.47960527992549	0.999997069380063	-0.29508957004817	12696	13507	17210	10433	15246.9986036046	14215.4514095063	12477.6399450688	11669.6957936833	100	DOWN_pEhEx_UP_CmasM
EHI_153070A	101673.591967984	167805.730828201	-1.45555613111274	0.999916479339128	-0.722846975210265	163058	131800	142101	90199	195821.132506818	138713.000353367	103026.444731797	100890.912574948	99.99	DOWN_pEhEx_UP_CmasM
EHI_188960A	6591.39876798169	2252.21595465913	1.76182746381497	0.999678170970459	1.5492394861622	1117	2996	7493	6979	1341.43804664669	3153.14225385953	5432.59477678098	7806.2692364723	99.97	UP_pEhEx_DOWN_CmasM
